date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2025-07-26,CSCO,USD,0000858877,2025-09-03,2025-09-03 16:52:59,2025,FY,56654000000,19864000000,36790000000,0.6493804497,9300000000,2980000000,10966000000,13946000000,1784000000,25030000000,44894000000,1001000000,1593000000,2862000000,15378000000,0.2714371448,11760000000,0.2075758111,-660000000,11100000000,0.1959261482,920000000,10180000000,0.1796872242,2.56,2.55,3976000000,3998000000,https://www.sec.gov/Archives/edgar/data/858877/000085887725000111/0000858877-25-000111-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887725000111/csco-20250726.htm
2024-07-31,CSCO,USD,0000858877,2024-09-05,2024-09-05 16:41:20,2024,FY,53803000000,18975000000,34828000000,0.6473244986,7983000000,2813000000,10364000000,13177000000,1487000000,22647000000,41622000000,1365000000,1006000000,2507000000,15747000000,0.2926788469,12181000000,0.2264000149,53000000,12234000000,0.2273850901,1914000000,10320000000,0.1918108656,2.55,2.54,4043000000,4062000000,https://www.sec.gov/Archives/edgar/data/858877/000085887724000017/0000858877-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887724000017/csco-20240727.htm
2023-07-31,CSCO,USD,0000858877,2023-09-07,2023-09-07 16:30:09,2023,FY,56998000000,21245000000,35753000000,0.6272676234,7551000000,2478000000,9880000000,12358000000,813000000,20722000000,41967000000,962000000,427000000,1726000000,17471000000,0.306519527,15031000000,0.2637110074,287000000,15318000000,0.2687462718,2705000000,12613000000,0.2212884663,3.08,3.07,4093000000,4105000000,https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/0000858877-23-000023-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/csco-20230729.htm
2022-07-31,CSCO,USD,0000858877,2022-09-08,2022-09-08 16:47:54,2022,FY,51557000000,19309000000,32248000000,0.6254824757,6774000000,2101000000,9085000000,11186000000,319000000,18279000000,37588000000,476000000,360000000,1957000000,16794000000,0.3257365634,13969000000,0.27094284,508000000,14477000000,0.2807960122,2665000000,11812000000,0.2291056501,2.83,2.82,4170000000,4192000000,https://www.sec.gov/Archives/edgar/data/858877/000085887722000013/0000858877-22-000013-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887722000013/csco-20220730.htm
2021-07-31,CSCO,USD,0000858877,2021-09-09,2021-09-09 16:39:49,2021,FY,49818000000,17924000000,31894000000,0.6402103657,6549000000,2152000000,9259000000,11411000000,1101000000,19061000000,36985000000,618000000,434000000,1862000000,15558000000,0.3122967602,12833000000,0.2575976555,429000000,13262000000,0.2662090008,2671000000,10591000000,0.2125938416,2.51,2.5,4222000000,4236000000,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/0000858877-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/csco-20210731.htm
2020-07-31,CSCO,USD,0000858877,2020-09-03,2020-09-03 17:05:55,2020,FY,49301000000,17618000000,31683000000,0.6426441654,6347000000,1925000000,9169000000,11094000000,622000000,18063000000,35681000000,920000000,585000000,1808000000,16363000000,0.3318999615,13620000000,0.2762621448,350000000,13970000000,0.2833613923,2756000000,11214000000,0.2274598893,2.65,2.64,4236000000,4254000000,https://www.sec.gov/Archives/edgar/data/858877/000085887720000010/0000858877-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887720000010/csco-2020725x10k.htm
2019-07-31,CSCO,USD,0000858877,2019-09-05,2019-09-05 17:17:18,2019,FY,51904000000,19238000000,32666000000,0.6293541924,6577000000,1827000000,9571000000,11398000000,472000000,18447000000,37685000000,1308000000,859000000,1897000000,17334000000,0.3339627004,14219000000,0.273948058,352000000,14571000000,0.2807298089,2950000000,11621000000,0.2238941122,2.63,2.61,4419000000,4453000000,https://www.sec.gov/Archives/edgar/data/858877/000085887719000012/0000858877-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887719000012/csco-2019727x10k.htm
2018-07-31,CSCO,USD,0000858877,2018-09-06,2018-09-06 17:14:48,2018,FY,49330000000,18724000000,30606000000,0.6204338131,6332000000,2144000000,9242000000,11386000000,579000000,18297000000,37021000000,1508000000,943000000,2191000000,16172000000,0.3278329617,12309000000,0.2495236165,730000000,13039000000,0.2643219136,12929000000,110000000,0.0022298804,0.0227,0.0225,4837000000,4881000000,https://www.sec.gov/Archives/edgar/data/858877/000085887718000011/0000858877-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887718000011/csco-2018728x10k.htm
2017-07-31,CSCO,USD,0000858877,2017-09-07,2017-09-07 17:18:41,2017,FY,48005000000,17781000000,30224000000,0.6296010832,6059000000,1993000000,9184000000,11177000000,1015000000,18251000000,36032000000,1338000000,861000000,2239000000,15383000000,0.3204457869,11973000000,0.2494115196,314000000,12287000000,0.2559525049,2678000000,9609000000,0.2001666493,1.92,1.9,5010000000,5049000000,https://www.sec.gov/Archives/edgar/data/858877/000085887717000016/0000858877-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887717000016/csco-2017729x10k.htm
2016-07-31,CSCO,USD,0000858877,2016-09-08,2016-09-08 17:12:13,2016,FY,49247000000,18287000000,30960000000,0.6286677361,6296000000,1814000000,9619000000,11433000000,571000000,18300000000,36587000000,1005000000,676000000,2076000000,15678000000,0.3183544175,12660000000,0.2570714967,260000000,12920000000,0.2623510062,2181000000,10739000000,0.2180640445,2.13,2.11,5053000000,5088000000,https://www.sec.gov/Archives/edgar/data/858877/000085887716000117/0000858877-16-000117-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887716000117/csco-2016730x10k.htm
