date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,AJG,USD,0000354190,2025-02-18,2025-02-18 06:04:58,2024,FY,11554900000,6676600000,4878300000,0.4221845278,0,6522300000,0,6522300000,-3926100000,2596200000,9272800000,0,381300000,842300000,3098400000,0.2681459814,2282100000,0.1975006274,-407300000,1874800000,0.1622515123,404400000,1462700000,0.1265869891,6.63,6.53,220500000,223900000,https://www.sec.gov/Archives/edgar/data/354190/000095017025021775/0000950170-25-021775-index.htm,https://www.sec.gov/Archives/edgar/data/354190/000095017025021775/ajg-20241231.htm
2023-12-31,AJG,USD,0000354190,2024-02-09,2024-02-09 17:08:03,2023,FY,10071900000,5826600000,4245300000,0.4214994192,0,5681200000,0,5681200000,-3295000000,2386200000,8212800000,0,296700000,696500000,2178300000,0.2162749829,1859100000,0.1845828493,-674000000,1185100000,0.1176639959,219100000,969500000,0.0962579057,4.51,4.42,214900000,219300000,https://www.sec.gov/Archives/edgar/data/354190/000095017024013370/0000950170-24-013370-index.htm,https://www.sec.gov/Archives/edgar/data/354190/000095017024013370/ajg-20231231.htm
2022-12-31,AJG,USD,0000354190,2023-02-10,2023-02-10 15:16:33,2022,FY,8550600000,4953200000,3597400000,0.4207190139,0,4799800000,0,4799800000,-2869300000,1930500000,6883700000,0,256900000,599600000,2183500000,0.2553621968,1666900000,0.1949453839,-339900000,1327000000,0.1551937876,211000000,1114200000,0.1303066451,5.3,5.19,210300000,214700000,https://www.sec.gov/Archives/edgar/data/354190/000095017023002456/0000950170-23-002456-index.htm,https://www.sec.gov/Archives/edgar/data/354190/000095017023002456/ajg-20221231.htm
2021-12-31,AJG,USD,0000354190,2022-02-18,2022-02-18 16:59:42,2021,FY,8209400000,5233700000,2975700000,0.3624747241,0,3927500000,0,3927500000,-2288800000,1638700000,6872400000,0,226100000,566300000,1767500000,0.2153019709,1337000000,0.1628620849,-361900000,975100000,0.1187784735,20100000,906800000,0.1104587424,4.47,4.37,202700000,207300000,https://www.sec.gov/Archives/edgar/data/354190/000156459022005714/0001564590-22-005714-index.htm,https://www.sec.gov/Archives/edgar/data/354190/000156459022005714/ajg-10k_20211231.htm
2020-12-31,AJG,USD,0000354190,2021-02-08,2021-02-05 17:42:30,2020,FY,7009400000,4500300000,2509100000,0.3579621651,0,3466500000,0,3466500000,-1997600000,1468900000,5969200000,0,196400000,562400000,1629700000,0.2325020687,1040200000,0.148400719,-169300000,870900000,0.1242474392,12800000,818800000,0.1168145633,4.29,4.2,191000000,195000000,https://www.sec.gov/Archives/edgar/data/354190/000156459021004555/0001564590-21-004555-index.htm,https://www.sec.gov/Archives/edgar/data/354190/000156459021004555/ajg-10k_20201231.htm
2019-12-31,AJG,USD,0000354190,2020-02-07,2020-02-07 16:20:36,2019,FY,7119700000,4830900000,2288800000,0.3214742194,0,3339500000,0,3339500000,-1796600000,1542900000,6373800000,0,179800000,474400000,1280300000,0.1798249926,745900000,0.1047656502,-119800000,626100000,0.0879390986,-89700000,668800000,0.0939365423,3.6,3.52,186000000,190100000,https://www.sec.gov/Archives/edgar/data/354190/000119312520028191/0001193125-20-028191-index.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312520028191/d879025d10k.htm
2018-12-31,AJG,USD,0000354190,2019-02-08,2019-02-08 16:36:10,2018,FY,6923800000,4983900000,1939900000,0.2801785147,0,3026300000,0,3026300000,-1703600000,1322700000,6306600000,0,138400000,419000000,1036800000,0.14974436,617200000,0.0891418007,-137800000,479400000,0.069239435,-196500000,633500000,0.0914959993,3.47,3.4,182740000,186164000,https://www.sec.gov/Archives/edgar/data/354190/000119312519032304/0001193125-19-032304-index.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312519032304/d618065d10k.htm
2017-12-31,AJG,USD,0000354190,2018-02-12,2018-02-09 17:42:22,2017,FY,6245600000,4519300000,1726300000,0.2764025874,0,2752300000,0,2752300000,-1537400000,1214900000,5734200000,0,124100000,385800000,869700000,0.139250032,511400000,0.0818816447,-151600000,359800000,0.0576085564,-157100000,481300000,0.0770622518,2.57,2.54,180074000,182115000,https://www.sec.gov/Archives/edgar/data/354190/000119312518038261/0001193125-18-038261-index.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312518038261/d486069d10k.htm
2016-12-31,AJG,USD,0000354190,2017-02-13,2017-02-10 17:54:38,2016,FY,5680500000,4077900000,1602600000,0.2821230525,0,2538900000,0,2538900000,-1411800000,1127100000,5205000000,0,109800000,350800000,794200000,0.1398116363,475500000,0.0837074201,-141900000,333600000,0.0587272247,-96700000,396800000,0.0698530059,2.33,2.32,177560000,178387000,https://www.sec.gov/Archives/edgar/data/354190/000119312517038619/0001193125-17-038619-index.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312517038619/d314580d10k.htm
2015-12-31,AJG,USD,0000354190,2016-02-10,2016-02-10 17:02:26,2015,FY,5392400000,3780400000,1612000000,0.2989392478,0,2428900000,0,2428900000,-1254000000,1174900000,4955300000,0,103000000,334200000,730700000,0.1355055263,437100000,0.0810585268,-143600000,293500000,0.0544284549,-95600000,356800000,0.0661671983,2.07,2.06,172239000,173215000,https://www.sec.gov/Archives/edgar/data/354190/000119312516457703/0001193125-16-457703-index.htm,https://www.sec.gov/Archives/edgar/data/354190/000119312516457703/d118346d10k.htm
