date,symbol,calendarYear,period,growthCashAndCashEquivalents,growthShortTermInvestments,growthCashAndShortTermInvestments,growthNetReceivables,growthInventory,growthOtherCurrentAssets,growthTotalCurrentAssets,growthPropertyPlantEquipmentNet,growthGoodwill,growthIntangibleAssets,growthGoodwillAndIntangibleAssets,growthLongTermInvestments,growthTaxAssets,growthOtherNonCurrentAssets,growthTotalNonCurrentAssets,growthOtherAssets,growthTotalAssets,growthAccountPayables,growthShortTermDebt,growthTaxPayables,growthDeferredRevenue,growthOtherCurrentLiabilities,growthTotalCurrentLiabilities,growthLongTermDebt,growthDeferredRevenueNonCurrent,growthDeferrredTaxLiabilitiesNonCurrent,growthOtherNonCurrentLiabilities,growthTotalNonCurrentLiabilities,growthOtherLiabilities,growthTotalLiabilities,growthCommonStock,growthRetainedEarnings,growthAccumulatedOtherComprehensiveIncomeLoss,growthOthertotalStockholdersEquity,growthTotalStockholdersEquity,growthTotalLiabilitiesAndStockholdersEquity,growthTotalInvestments,growthTotalDebt,growthNetDebt
2024-12-31,ALLE,2024,FY,0.07626575518051698,0,0.07626575518051698,0.06402655916528338,-0.03534777651083238,0.43558282208588955,0.04511720185171578,0.07595643674951132,0.03208370868269697,-0.006634078212290503,0.021082394960067464,0,0.1314441789006487,-0.212195981670779,0.03894123229173727,0,0.04089064130812942,-0.004629629629629629,-0.9469219583131362,0.610738255033557,0,-0.39985163204747776,-0.35454292859127534,0.23414877683474788,0,0.045940170940170943,-0.5393103448275862,0.19686438463548472,0,-0.0020379526927702795,0,0.15992146431059598,-0.2680688336520076,0,0.1383600091026322,0.04089064130812942,0,0.06734491315136476,0.06464541987200206
2023-12-31,ALLE,2023,FY,0.6253472222222223,0,0.6253472222222223,0.04407031443426591,-0.08455114822546973,-0.2540045766590389,0.12045117734233493,0.16002591512795594,0.021229920033967873,-0.05928723928395467,-0.003016815034619189,0,0.28690685413005274,0.2995877233165369,0.0626665706259454,0,0.08025155341751854,-0.07659422871392946,31.746031746031747,-0.4620938628158845,0,0.0007423904974016332,0.5345366685616828,-0.2303184590998607,0,-0.07874015748031496,0.36278195488721804,-0.18334684819256541,0,-0.017559982932353037,0,0.30186345646437995,0.08502449265220434,0,0.3997664047568486,0.08025155341751854,0,-0.03795655287658152,-0.14370329366177692
2022-12-31,ALLE,2022,FY,-0.2762000502638854,0,-0.2762000502638854,0.42569714084009885,0.25920084121976866,-0.21964285714285714,0.0867931281317108,0.08812125484666902,0.7580243841751679,0.3606703910614525,0.6159194437784704,0,0.47313915857605177,-0.1049610496104961,0.43612289231405815,0,0.3081612586037365,0.08336549594751061,0,1.3277310924369747,0,0.14443500424808836,0.1703260146373919,0.45638335082196574,0,0.007936507936507936,0.015913430935709738,0.3885859902809055,0,0.33125054618544086,0,0.27314717614948564,-0.47016460905349794,0,0.24067975233829536,0.3081612586037365,0,0.4523958116635462,0.730032560812105
2021-12-31,ALLE,2021,FY,-0.17173189009159034,0,-0.17173189009159034,-0.18498273878020713,0.34369480748851994,0.6519174041297935,-0.023930131004366813,-0.03797897592404205,-0.01855921855921856,-0.08129747485115993,-0.04195697113544139,0,0.21941594317284924,0.23995932892730046,0.004676782373726876,0,-0.005994656936209031,0.17558983666061706,62,-0.34615384615384615,0,0.2615219721329046,0.15282837967401725,6.995942353435007e-05,0,-0.046357615894039736,-0.1281908990011099,-0.016265376319011253,0,0.02315808297567954,0,-0.033482142857142856,-0.2374283895607893,0,-0.08476006751868821,-0.005994656936209031,0,0.00874370453273643,0.1000842815002107
2020-12-31,ALLE,2020,FY,0.3520968195890796,0,0.3520968195890796,0.053972104305639784,0.04890700259355317,-0.27564102564102566,0.14294270313435817,0.012010981468771447,-0.0621779457231192,-0.04658445879819926,-0.05642248230024563,0,0.12622222222222224,0.10941906373378454,-0.020860893456802688,0,0.034443246157994066,-0.0027149321266968325,1,0.421875,0,-0.051829268292682924,0.028599605522682446,0.0012608573830204539,0,-0.01948051948051948,0.09610705596107055,0.009118719849394046,0,0.013594344752582926,0,0.010768126346015794,0.28133577310155533,0,0.09506205439662002,0.034443246157994066,0,0.001330811795195069,-0.11488250652741515
2019-12-31,ALLE,2019,FY,0.25193798449612403,0,0.25193798449612403,-0.030855127828386716,-0.03710310381733856,0.7205882352941176,0.07535422928295406,0.05312612938200217,-0.010985277463193659,-0.06616706269420582,-0.032095657646318436,0,0.32978723404255317,1.033256880733945,0.0462046204620462,0,0.055867909757312643,-0.059574468085106386,-0.9971671388101983,-0.36633663366336633,0,0.03252885624344176,-0.026497695852534562,0.012841433132316424,0,-0.06988783433994823,0.49454545454545457,0.039378745261098205,0,0.02346721083387441,0,0.11618589743589744,0.02192393736017897,0,0.16344086021505377,0.055867909757312643,0,-0.011835548172757475,-0.07631352282515073
2018-12-31,ALLE,2018,FY,-0.3912483912483912,0,-0.3912483912483912,0.10200777202072539,0.1688907422852377,0.5195530726256983,-0.09789871211387624,0.0971451229183188,0.1600105097214924,0.3875221912249556,0.23764604067503245,0,1.3898305084745763,0.31722054380664655,0.24468296561319816,0,0.10550747442958301,0.24800849707912906,0.008571428571428572,0.10989010989010989,0,0.12514757969303425,0.13020833333333334,-0.02274145462109131,0,-0.06229773462783172,0.0018214936247723133,-0.02404965089216447,0,0.00922068804118886,-0.1,0.6047024246877296,-0.4617396991497711,0,0.6210159362549801,0.10550747442958301,0,-0.02199959385365193,0.14825437642171893
2017-12-31,ALLE,2017,FY,0.49231754161331626,0,0.49231754161331626,0.13571165869805074,0.08703535811423391,-0.26639344262295084,0.24526709272880742,0.11297440423654016,0.06194196428571429,0.10324566312255176,0.075684230124744,0,-0.5103734439834025,0.4711111111111111,0.06431140258091814,0,0.13108480911275253,0.04669260700389105,-0.27385892116182575,5.7407407407407405,0,0.04567901234567901,0.07262569832402235,0.018861260243006498,0,0.041280539174389216,-0.34290843806104127,-0.015105207476196075,0,0.002580947911778508,0,0.44556558682952735,0.42149073023079836,0,2.5445719329214476,0.13108480911275253,0,0.00922257138953409,-0.12185165885009554
2016-12-31,ALLE,2016,FY,0.5643465197796695,0,0.5643465197796695,-0.133800573431029,0.08084272415482606,0.40229885057471265,0.1281458304992518,0.00800711743772242,0.0037809830555944547,-0.040279269602577876,-0.011320754716981131,0,-0.2132752992383025,-0.6391339214113874,-0.08521481099213005,0,-0.01658425589638122,0.02741290691033695,-0.2652439024390244,-0.7032967032967034,0,0.11878453038674033,-0.03914113173786625,-0.043384241113664006,0,-0.010833333333333334,-0.19932918064206995,-0.05922034835499032,0,-0.05524029083170775,0,0.6204819277108434,-0.13824289405684753,0,3.42578125,-0.01658425589638122,0,-0.03893375352898693,-0.12996826356354843
2015-12-31,ALLE,2015,FY,-0.3125645438898451,0,-0.3125645438898451,0.058684654300168636,0.1370473537604457,-0.9160636758321273,-0.24512220168412405,0.08494208494208494,0.41126482213438736,1.9626093874303898,0.7199620072819376,0,0.27285318559556787,-0.0024,0.4875731695614624,0,0.13363758122922764,-0.29819639278557114,0.3225806451612903,-0.7493112947658402,0,-0.652757793764988,-0.15847920195746282,0.21794238683127573,0,1.0689655172413792,0.08190772420943494,0.233544778664484,0,0.1292680484630019,0,0.6320224719101124,-0.5668016194331984,0,6.333333333333333,0.13363758122922764,0,0.2044124624387158,0.3585874140232009
