symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
ALLE,2024-12-31,130.68,87200000,11395296000,503800000,2150700000,13042196000
ALLE,2023-12-31,126.69,87900000,11136051000,468100000,2015000000,12682951000
ALLE,2022-12-31,105.26,88000000,9262880000,288000000,2094500000,11069380000
ALLE,2021-12-31,132.44,89900000,11906356000,397900000,1442100000,12950556000
ALLE,2020-12-31,116.38,92300000,10741874000,480400000,1429600000,11691074000
ALLE,2019-12-31,124.54,93600000,11656944000,355300000,1427700000,12729344000
ALLE,2018-12-31,79.71,95000000,7572449999,283800000,1444800000,8733449999
ALLE,2017-12-31,79.56,95100000,7566156000,466200000,1477300000,8577256000
ALLE,2016-12-31,64,95800000,6131200000,312400000,1463800000,7282600000
ALLE,2015-12-31,65.92,95900000,6321728000,199700000,1523100000,7645128000
ALLE,2014-12-31,55.46,96100000,5329706000,290500000,1264600000,6303806000
ALLE,2013-12-31,44.19,96000000,4242240000,227400000,1343900000,5358740000
ALLE,2012-12-31,48.48,96028568,4655464976,317500000,5000000,4342964976
ALLE,2011-12-31,48.48,96028568,4655464976,0,0,4655464976
