date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-28,AMD,USD,0000002488,2025-02-05,2025-02-05 16:42:57,2024,FY,3787000000,1345000000,5132000000,6933000000,5734000000,1250000000,19049000000,2425000000,24839000000,18930000000,43769000000,149000000,688000000,3146000000,50177000000,0,69226000000,1990000000,0,0,0,5291000000,7281000000,2212000000,0,349000000,1816000000,4377000000,0,491000000,11658000000,0,17000000,2364000000,-69000000,55256000000,57568000000,57568000000,69226000000,0,69226000000,1494000000,2212000000,-1575000000,https://www.sec.gov/Archives/edgar/data/2488/000000248825000012/0000002488-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248825000012/amd-20241228.htm
2023-12-30,AMD,USD,0000002488,2024-01-31,2024-01-31 17:16:39,2023,FY,3933000000,1840000000,5773000000,5385000000,4351000000,1259000000,16768000000,2222000000,24262000000,21363000000,45625000000,99000000,366000000,2805000000,51117000000,0,67885000000,2055000000,751000000,0,544000000,3339000000,6689000000,2252000000,0,1202000000,1850000000,5304000000,0,535000000,11993000000,0,17000000,723000000,-10000000,55162000000,55892000000,55892000000,67885000000,0,67885000000,1939000000,3003000000,-930000000,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/0000002488-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/amd-20231230.htm
2022-12-31,AMD,USD,0000002488,2023-02-27,2023-02-27 16:20:39,2022,FY,4835000000,1020000000,5855000000,4128000000,3771000000,1265000000,15019000000,1973000000,24177000000,24118000000,48295000000,83000000,58000000,2152000000,52561000000,0,67580000000,2493000000,0,0,859000000,3017000000,6369000000,2863000000,0,1934000000,1664000000,6461000000,0,396000000,12830000000,0,16000000,-131000000,-41000000,54906000000,54750000000,54750000000,67580000000,0,67580000000,1103000000,2863000000,-1972000000,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/0000002488-23-000047-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm
2021-12-25,AMD,USD,0000002488,2022-02-03,2022-02-03 17:22:50,2021,FY,2535000000,1073000000,3608000000,2708000000,1955000000,312000000,8583000000,1069000000,289000000,323000000,612000000,69000000,931000000,1155000000,3836000000,0,12419000000,1321000000,312000000,0,314000000,2293000000,4240000000,349000000,0,12000000,321000000,682000000,0,348000000,4922000000,0,12000000,-1451000000,-3000000,8939000000,7497000000,7497000000,12419000000,0,12419000000,1142000000,661000000,-1874000000,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/0000002488-22-000016-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/amd-20211225.htm
2020-12-26,AMD,USD,0000002488,2021-01-29,2021-01-29 17:24:00,2020,FY,1595000000,695000000,2290000000,2076000000,1399000000,378000000,6143000000,849000000,289000000,229000000,518000000,63000000,1245000000,144000000,2819000000,0,8962000000,468000000,0,0,0,1949000000,2417000000,531000000,0,0,177000000,708000000,0,201000000,3125000000,0,12000000,-4605000000,17000000,10413000000,5837000000,5837000000,8962000000,0,8962000000,758000000,531000000,-1064000000,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/0001628280-21-001185-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/amd-20201226.htm
2019-12-28,AMD,USD,0000002488,2020-02-04,2020-02-04 17:21:47,2019,FY,1466000000,37000000,1503000000,1879000000,982000000,233000000,4597000000,705000000,289000000,210000000,499000000,58000000,22000000,147000000,1431000000,0,6028000000,988000000,43000000,0,2000000,1326000000,2359000000,685000000,0,0,157000000,842000000,0,242000000,3201000000,0,12000000,-7095000000,0,9910000000,2827000000,2827000000,6028000000,0,6028000000,95000000,728000000,-738000000,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/0000002488-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/amdform10-kfy2019.htm
2018-12-29,AMD,USD,0000002488,2019-02-08,2019-02-08 16:44:26,2018,FY,1078000000,78000000,1156000000,1269000000,845000000,270000000,3540000000,348000000,289000000,226000000,515000000,58000000,0,95000000,1016000000,0,4556000000,834000000,136000000,0,11000000,1003000000,1984000000,1114000000,0,0,192000000,1306000000,0,0,3290000000,0,10000000,-7436000000,-8000000,8700000000,1266000000,1266000000,4556000000,0,4556000000,136000000,1250000000,172000000,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/0000002488-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/amd-12292018x10k.htm
2017-12-30,AMD,USD,0000002488,2018-02-27,2018-02-27 16:18:58,2017,FY,1185000000,0,1185000000,487000000,694000000,268000000,2634000000,261000000,289000000,239000000,528000000,58000000,0,71000000,918000000,0,3552000000,384000000,70000000,0,85000000,974000000,1513000000,1325000000,0,0,118000000,1443000000,0,0,2956000000,0,9000000,-7775000000,6000000,8356000000,596000000,596000000,3552000000,0,3552000000,58000000,1395000000,210000000,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/0000002488-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/amd-12302017x10k.htm
2016-12-31,AMD,USD,0000002488,2017-02-21,2017-02-21 16:52:14,2016,FY,1264000000,0,1264000000,343000000,751000000,172000000,2530000000,164000000,289000000,234000000,523000000,59000000,0,45000000,791000000,0,3321000000,440000000,0,0,63000000,843000000,1346000000,1435000000,0,0,124000000,1559000000,0,0,2905000000,0,9000000,-7803000000,-5000000,8215000000,416000000,416000000,3321000000,0,3321000000,59000000,1435000000,171000000,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/0000002488-17-000043-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/amd-12312016x10k.htm
2015-12-26,AMD,USD,0000002488,2016-02-18,2016-02-18 16:19:58,2015,FY,785000000,0,785000000,566000000,678000000,291000000,2320000000,188000000,278000000,189000000,467000000,0,0,109000000,764000000,0,3084000000,279000000,230000000,46000000,53000000,795000000,1403000000,2007000000,0,0,86000000,2093000000,0,0,3496000000,0,8000000,-7306000000,-8000000,6894000000,-412000000,-412000000,3084000000,0,3084000000,0,2237000000,1452000000,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/0000002488-16-000111-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/amd-12262015x10k.htm
