date,symbol,calendarYear,period,growthCashAndCashEquivalents,growthShortTermInvestments,growthCashAndShortTermInvestments,growthNetReceivables,growthInventory,growthOtherCurrentAssets,growthTotalCurrentAssets,growthPropertyPlantEquipmentNet,growthGoodwill,growthIntangibleAssets,growthGoodwillAndIntangibleAssets,growthLongTermInvestments,growthTaxAssets,growthOtherNonCurrentAssets,growthTotalNonCurrentAssets,growthOtherAssets,growthTotalAssets,growthAccountPayables,growthShortTermDebt,growthTaxPayables,growthDeferredRevenue,growthOtherCurrentLiabilities,growthTotalCurrentLiabilities,growthLongTermDebt,growthDeferredRevenueNonCurrent,growthDeferrredTaxLiabilitiesNonCurrent,growthOtherNonCurrentLiabilities,growthTotalNonCurrentLiabilities,growthOtherLiabilities,growthTotalLiabilities,growthCommonStock,growthRetainedEarnings,growthAccumulatedOtherComprehensiveIncomeLoss,growthOthertotalStockholdersEquity,growthTotalStockholdersEquity,growthTotalLiabilitiesAndStockholdersEquity,growthTotalInvestments,growthTotalDebt,growthNetDebt
2024-12-31,AOS,2024,FY,-0.2950867902324213,0.5531914893617021,-0.24023115024766098,-0.09161073825503356,0.06976276638520305,-0.004597701149425287,-0.07158568286342731,0.04206049149338374,0.20255762551310388,-0.04633204633204633,0.11617359035151015,0,0,-0.05427782888684453,0.077906162464986,0,0.008120974516942034,-0.019487008660892736,0,0,0,0.026033690658499236,-0.05088331746535491,0.5618073316283035,0,0,-0.09462365591397849,0.08274398868458274,0,-0.009492515516611903,0,0.10533746662165065,-0.32897862232779096,0,0.021199306007373672,0.008120974516942034,0.5531914893617021,0.3962628865979381,0.8760151597184623
2023-12-31,AOS,2023,FY,-0.13113496932515337,-0.7406181015452539,-0.24574512245745123,0.025464556090846524,-0.03679318357862122,-0.19889502762430938,-0.0816551386423456,0.023045930701047542,0.022107471357108277,-0.03219315895372234,0.002583712277800744,0,0,-0.016289592760180997,0.008830801836806783,0,-0.0355310146145305,-0.0405880472994567,0,0,0,0.026729559748427674,0.011881824020552344,-0.6493273542600897,0,0,-0.049403747870528106,-0.3477859778597786,0,-0.13574403634986748,-0.00033909799932180403,0.12932409012131715,-0.021844660194174758,0,0.055329862104480175,-0.0355310146145305,-0.7406181015452539,-0.576996456800218,-6.600823045267489
2022-12-31,AOS,2022,FY,-0.11752763365666591,-0.518341307814992,-0.23693379790940766,-0.08385876418663304,0.1534509716327898,0.3887468030690537,-0.06784206322035832,-0.02925531914893617,-0.012902198152277795,-0.04632675438596491,-0.025186379206125327,0,0,0.22777777777777777,-0.013474271111627367,0,-0.04089914805434032,-0.16101354068910043,0.47058823529411764,0,0,-0.10296191819464035,-0.16499821237039686,0.7614533965244866,0,0,-0.05687660668380463,0.2426442491402369,0,-0.0350748995250274,-0.0010162601626016261,0.020660864643034033,0.7513578756789379,0,-0.04611941927737147,-0.04089914805434032,-0.518341307814992,0.6753424657534246,0.8916629514043691
2021-12-31,AOS,2021,FY,-0.22648752399232247,0.6145922746781116,-0.0843967517401392,0.08444444444444445,0.49183605464845054,-0.09699769053117784,0.08318912237330037,0.09658603534053868,0.14813460131675202,0.1262735412164248,0.14000229700241185,0,0,0.010101010101010102,0.11609515784015038,0,0.09925016610244566,0.25319220430107525,0,0,0,0.48326359832635984,0.26232652600699535,0.7847744360902256,0,0,0.09078163336838416,0.22835015254635063,0,0.25129533678756477,-0.0006770480704129993,0.1263149505897354,-0.031755915317559155,0,-0.0087107071362874,0.09925016610244566,0.6145922746781116,0.483739837398374,0.472855464159812
2020-12-31,AOS,2020,FY,0.5323529411764706,-0.3432919954904171,0.2506347479143997,-0.007633587786259542,-0.00957095709570957,-0.2336283185840708,0.07837909890695814,-0.01587033597838933,0.0014652014652014652,-0.04284869976359338,-0.015490728177295342,0,0,0.10135970333745364,-0.009565998972778635,0,0.033584041857423155,0.16797488226059654,0,0,0,0.14354066985645933,0.15629484670580562,-0.6161616161616161,0,0,-0.07610103626943006,-0.31791259804706257,0,-0.05664174813110983,0,0.0801411724197297,0.07780648865920184,0,0.10889128869690425,0.033584041857423155,-0.3432919954904171,-0.5426092345832042,-7.294346978557505
2019-12-31,AOS,2019,FY,0.44012321909896035,-0.5395795484038411,-0.14511627906976743,-0.08929399042175189,-0.005579258286839514,0.3614457831325301,-0.0842844064693317,0.09685185185185186,0.06432748538011696,0.15455475946775846,0.0971343505768515,0,1,-0.12065217391304348,0.08695045359385904,0,-0.0043952466221715775,-0.06289076866495034,0,0,0,-0.742134484885873,-0.023939895581306506,0.25203252032520324,0,0,-0.11213341000575043,0.09750527055516514,0,0.02709486895533407,-0.00033840947546531303,0.1049077420582081,0.007126567844925884,0,-0.029237041351193944,-0.0043952466221715775,-0.5395795484038411,0.45754290876242093,-0.3394255874673629
2018-12-31,AOS,2018,FY,-0.2507212925562608,-0.18610054921841995,-0.21341463414634146,0.08171791443850267,0.04635989010989011,-0.2744755244755245,-0.07261716096898348,0.02098695405558707,-0.007160828333655893,-0.05053449951409135,-0.02338260237460625,0,0,0.2073490813648294,0.0017476406850751485,0,-0.03934569793263066,0.01644859813084112,-1,0,0,0.04445876288659794,-0.004058338617628408,-0.4504839910647803,0,0,-0.026043125175021,-0.25105263157894736,0,-0.12528253148207943,-0.0006763611768684477,0.17304473948454757,-0.1712854757929883,0,0.04136341581756429,-0.03934569793263066,-0.18610054921841995,-0.4605263157894737,-1.6003134796238245
2017-12-31,AOS,2017,FY,0.04903147699757869,0.11598302687411598,0.08666843360720912,0.15365336417967998,0.15969733174034248,0.5212765957446809,0.13111395646606913,0.1450530417839359,0.05127161749745676,0.0012974375608173856,0.03200800200050013,0,0,0.13224368499257058,0.0763732129420617,0,0.10594949844344517,0.012107453651153992,0.041666666666666664,0,0,0.06666666666666667,0.029911180773249738,0.27338811630847026,0,0,0.21586653047327203,0.24569742665136862,0,0.1256087809842262,-0.0010135135135135136,0.12529817953546768,0.17538546255506607,0,0.08810136606612552,0.10594949844344517,0.11598302687411598,0.26823238566131025,10.382352941176471
2016-12-31,AOS,2016,FY,0.021013597033374538,0.31902985074626866,0.16955982641041537,0.03450339050658157,0.126514131897712,0.11242603550295859,0.11309057222261812,0.04337022814547097,0.16773580422903303,0.05945017182130584,0.123472397808681,0,-1,21.393939393939394,0.11568166554734721,0,0.09238617041375402,0.24405742527653565,-0.4418604651162791,0,0,0.08663181478715459,0.1720759338640539,0.34011012282930964,0,-1,0.06297502714440825,0.14315158328649052,0,0.14241820295631955,-0.0006752194463200541,0.1793884652402458,-0.15890236119974474,0,0.05061360327255079,0.09238617041375402,0.31902985074626866,0.2995983935742972,0.9088471849865952
2015-12-31,AOS,2015,FY,0.013149655604257984,0.4453932584269663,0.19062557667466323,0.054690786705931846,0.0700912145943351,-0.6381156316916489,0.06391205458680818,0.03507131166705635,-0.01842350746268657,-0.05672609400324149,-0.034450020344500204,0,0,-1.1054313099041533,-0.004263144696146451,0,0.052160776050570505,0.07897409852717115,-0.058394160583941604,0,0,0.05102040816326531,0.07931262392597488,0.12375059495478344,0,-0.004672897196261682,-0.07063572149344097,0.009266263237518911,0,0.06190476190476191,0.9986504723346828,0.18952003522677235,-0.15220588235294116,0,0.04416129732860349,0.052160776050570505,0.4453932584269663,0.1126005361930295,0.2196652719665272
2014-12-31,AOS,2014,FY,-0.16101917520357237,1.1130104463437798,0.11502057613168724,0.036407237846086765,0.07704239917269907,0.3837037037037037,0.09406104844061049,0.09302325581395349,-0.010841983852364475,-0.05018472906403941,-0.027693524990109457,0,-1,9.236842105263158,0.008769710768192933,0,0.05176667363579344,0.01730818909842418,-0.035211267605633804,0,0,-0.003909304143862392,0.024200372313420208,0.1823297692740574,0,0.01904761904761905,0.08821376281112737,0.12057639330366603,0,0.06699284907790741,-0.00202020202020202,0.15607819181429444,-0.04978772674642995,0,0.03958756679461128,0.05176667363579344,1.1130104463437798,0.1662324127149557,0.4936440677966102
2013-12-31,AOS,2013,FY,0.42637692019482953,-0.4627551020408163,0.049902786779001944,0.07827926657263752,0.1835985312117503,0.21621621621621623,0.0888728323699422,0.13190627711888922,-0.004363803399173174,-0.041039267788603485,-0.020410799638289626,0,19.05,-1.1049723756906078,0.024093264248704664,0,0.0557566660780505,0.1769534813013074,-0.23655913978494625,0,-1,4.542936288088643,0.16709460793995654,-0.21057307863171923,1,2.3333333333333335,-0.21268011527377523,-0.1751442055584688,0,-0.0077490430398655585,0.9986541049798116,0.14863758624722254,0.19157566302652107,-1,0.11272087764843815,0.0557566660780505,-0.4627551020408163,-0.212556421830119,-7.137931034482759
2012-12-31,AOS,2012,FY,-0.4240397065170479,0.20689655172413793,-0.26030680728667305,0.15472312703583063,-0.029691211401425176,0.2039045553145336,-0.0839745180772731,0.09641611163970822,0.0036883356385431073,-0.039693790757017296,-0.01576605212968849,0,-0.9186991869918699,1.60431654676259,0.015522230991844252,0,-0.0356747552149851,0.08727272727272728,0,-1,-0.11297071129707113,-2.4711538461538463,-0.02615887670705905,-0.4918735891647856,-1.0434183321847001,1.032258064516129,0.16756393001345896,-0.23032422978608907,0,-0.15207409753008233,-0.03129074315514994,0.17153034662282504,-0.0651379195746095,0,0.09974212562166145,-0.0356747552149851,0.20689655172413793,-0.47205372616984403,-11.88888888888889
2011-12-31,AOS,2011,FY,2.8973927670311186,0,4.263246425567704,0.17586977338014684,0.14713896457765668,-0.8545741324921136,0.3489955357142857,0.22020123839009287,0.339715873996294,2.3086303939962476,0.8273698884758365,0,-0.725752508361204,-0.9682285714285714,-0.06225328947368421,0,0.11221590909090909,0.15019011406844107,0,-0.21052631578947367,-0.1972168905950096,-3.6666666666666665,-0.03148286140089419,0.8275577557755776,0,0,-0.3416038989809482,0.0713462092822139,0,0.026491142532098163,-0.011597938144329897,0.6144658261446583,-0.3116826503923278,0,0.23190378942591333,0.11221590909090909,0,0.7685823754789272,-1.0126671358198451
2010-12-31,AOS,2010,FY,0.5583224115334207,0,0.5583224115334207,-0.16140256959314775,-0.31752673175267315,3.2266666666666666,0.21081081081081082,-0.37327188940092165,-0.4297287777386404,-0.10794979079497909,-0.3737814636985305,0,2.0719178082191783,12.461538461538462,0.04710238525790063,0,0.11081891337505917,0.11064189189189189,-0.11848341232227488,-0.22972972972972974,0.7811965811965812,-0.9331046312178388,0.09261143903928354,0.04437742352434296,0,0,0.16310229322339603,0.11867139632376653,0,0.10715249662618084,0.45318352059925093,0.2372742200328407,0.0064963187527068,0,0.11597872879209926,0.11081891337505917,0,0.030805687203791468,-0.19672131147540983
2009-12-31,AOS,2009,FY,1.5952380952380953,0,1.5952380952380953,0.02778541953232462,-0.2372340425531915,-0.2951127819548872,-0.052860616920517085,-0.015755550250656482,0.12413383488418135,0.5261813537675607,0.1780939321220432,0,-0.41365461847389556,-0.3564356435643564,0.05323780155994921,0,0.009236159031795742,-0.137968693119767,0.2057142857142857,0.23333333333333334,0.1746987951807229,3.286764705882353,-0.02712871287128713,-0.268515600378191,0,0,-0.07705112960760999,-0.1650511577813678,0,-0.10564853556485355,-0.1872146118721461,-0.5744730406428322,0.18062455642299502,0,0.2319450943690532,0.009236159031795742,0,-0.24372759856630824,-0.42075965946299937
2008-12-31,AOS,2008,FY,-0.20967741935483872,0,-0.20967741935483872,-0.12430739580823898,0.07715813598166539,0.9887850467289719,0.017847837415320478,-0.005224412253621468,-0.015207642815363619,-0.09584295612009237,-0.026855713094245205,1,0.4647058823529412,-0.23716012084592145,0.014538093485461907,0,0.015908110440034512,-0.10111256544502618,0.12179487179487179,0.7647058823529411,-0.11150758251561106,2.088,0.06855691917054592,-0.16412012644889357,0,-1,1.0033349213911387,0.19038461538461537,0,0.1333211745394857,0.001524390243902439,0.07471839799749687,-1.837865055387714,0,-0.15399841646872525,0.015908110440034512,1,-0.152834008097166,-0.146927374301676
2007-12-31,AOS,2007,FY,0.4418604651162791,0,0.4418604651162791,0.09611829944547134,-0.11940800538176925,-0.08075601374570447,0.01,-0.014279026217228465,0.026415849509705824,-0.01366742596810934,0.020425531914893616,0,0,0.015337423312883436,0.006389480507454394,0,0.007880863090385347,0.06629448709002093,1.2608695652173914,1.2982456140350878,0.07272727272727272,-1.9761904761904763,0.08072261605305282,-0.12149965285813469,0,0.6747572815533981,-0.2088202035431587,-0.1309192200557103,0,-0.0508093135981996,-0.0015220700152207,0.09108288952615048,0.2332046332046332,0,0.10692375109553023,0.007880863090385347,0,-0.09977220956719818,-0.1335914811229429
2006-12-31,AOS,2006,FY,0.075,0,0.075,0.3583213773314204,0.31898846495119787,0.2175732217573222,0.3194444444444444,0.1969739422807509,0.5964856230031949,7.3619047619047615,0.8160741885625966,0,-1,0.9817629179331308,0.506767127110367,0,0.42330006962172195,0.39736713798147244,0,-3.0357142857142856,0.437414030261348,0.6037735849056604,0.4216514954486346,1.6607142857142858,0,0,0.26453765490943754,0.9290703922622247,0,0.6994704324801412,-0.012030075187969926,0.08344429649356414,0.07631954350927246,0,0.11698482623592756,0.42330006962172195,0,1.5930301240401654,1.843771507226428
2005-12-31,AOS,2005,FY,-0.043824701195219126,0,-0.043824701195219126,-0.009943181818181818,-0.03468950749464668,0.0391304347826087,-0.015384615384615385,-0.005295429208472687,0,-0.9664750957854407,0.032886334610472544,0,0,-0.4103942652329749,-0.015251442704039572,0,-0.015310786106032906,0.29156171284634763,-0.19767441860465115,0,0.22804054054054054,-0.09278350515463918,0.2544861337683524,-0.4040366972477064,0,-1,0.08761016070502851,-0.21970649895178196,0,-0.05870949875380781,-0.0015015015015015015,0.042412091301665636,-0.21175453759723423,0,0.03775821198780901,-0.015310786106032906,0,-0.3977232301672003,-0.432421875
