date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,AOS,USD,0000091142,2025-02-11,2025-02-11 17:28:15,2024,FY,3818100000,2362000000,1456100000,0.381367696,101700000,657100000,100300000,757400000,-119800000,739300000,3101300000,0,6700000,78800000,786500000,0.2059925094,716800000,0.1877373563,-15800000,701000000,0.1835991724,167400000,533600000,0.1397553757,3.65,3.63,146997000,147084000,https://www.sec.gov/Archives/edgar/data/91142/000009114225000036/0000091142-25-000036-index.htm,https://www.sec.gov/Archives/edgar/data/91142/000009114225000036/aos-20241231.htm
2023-12-31,AOS,USD,0000091142,2024-02-13,2024-02-13 16:46:51,2023,FY,3852800000,2368000000,1484800000,0.3853820598,97500000,0,0,727400000,-97500000,727400000,3095400000,0,12000000,78300000,823800000,0.2138185216,757400000,0.1965843023,-23900000,733500000,0.1903810216,176900000,556600000,0.1444663621,3.71,3.69,149952679,151015574,https://www.sec.gov/Archives/edgar/data/91142/000009114224000041/0000091142-24-000041-index.htm,https://www.sec.gov/Archives/edgar/data/91142/000009114224000041/aos-20231231.htm
2022-12-31,AOS,USD,0000091142,2023-02-14,2023-02-14 17:11:05,2022,FY,3753900000,2424300000,1329600000,0.3541916407,89000000,0,0,670900000,-89000000,670900000,3095200000,0,9400000,76900000,310000000,0.0825807827,658700000,0.1754708437,-435000000,223700000,0.0595913583,-12000000,235700000,0.0627880338,1.52,1.51,154786327,155779364,https://www.sec.gov/Archives/edgar/data/91142/000009114223000025/0000091142-23-000025-index.htm,https://www.sec.gov/Archives/edgar/data/91142/000009114223000025/aos-20221231.htm
2021-12-31,AOS,USD,0000091142,2022-02-11,2022-02-11 14:19:32,2021,FY,3538900000,2228000000,1310900000,0.3704258385,94200000,0,0,701400000,-94200000,701400000,2929400000,0,4300000,77900000,707800000,0.2000056515,609500000,0.1722286586,16100000,625600000,0.1767780949,138500000,487100000,0.1376416401,3.05,3.02,159906834,161319902,https://www.sec.gov/Archives/edgar/data/91142/000009114222000028/0000091142-22-000028-index.htm,https://www.sec.gov/Archives/edgar/data/91142/000009114222000028/aos-20211231.htm
2020-12-31,AOS,USD,0000091142,2021-02-12,2021-02-12 12:27:08,2020,FY,2895300000,1787100000,1108200000,0.3827582634,80700000,0,0,660300000,-80700000,660300000,2447400000,0,7300000,80000000,531200000,0.1834697613,446200000,0.1541118364,-2300000,443900000,0.1533174455,99000000,344900000,0.1191240977,2.14,2.12,161530589,162604149,https://www.sec.gov/Archives/edgar/data/91142/000009114221000025/0000091142-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/91142/000009114221000025/aos-20201231.htm
2019-12-31,AOS,USD,0000091142,2020-02-24,2020-02-24 17:31:06,2019,FY,2992700000,1812000000,1180700000,0.3945266816,87900000,604900000,110700000,715600000,-87900000,715600000,2527600000,0,11000000,78300000,561400000,0.1875898019,466800000,0.1559795502,5300000,472100000,0.1577505263,102100000,370000000,0.1236341765,2.24,2.22,165450441,166710897,https://www.sec.gov/Archives/edgar/data/91142/000119312520046736/0001193125-20-046736-index.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312520046736/d846284d10k.htm
2018-12-31,AOS,USD,0000091142,2019-02-15,2019-02-15 15:42:46,2018,FY,3187900000,1882400000,1305500000,0.4095172371,94000000,621700000,132100000,753800000,-94000000,753800000,2636200000,0,8400000,71900000,638100000,0.2001631168,551700000,0.1730606355,6100000,557800000,0.1749741209,113600000,444200000,0.139339377,2.6,2.58,168159148,172194000,https://www.sec.gov/Archives/edgar/data/91142/000119312519042339/0001193125-19-042339-index.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312519042339/d678397d10k.htm
2017-12-31,AOS,USD,0000091142,2018-02-16,2018-02-16 14:14:54,2017,FY,2996700000,1758000000,1238700000,0.4133546902,86400000,591300000,126900000,722800000,-91000000,718200000,2476200000,0,10100000,70100000,601000000,0.2005539427,520500000,0.1736910602,299999,520800000,0.1737911703,224300000,296500000,0.0989421697,1.72,1.7,171663130,174605000,https://www.sec.gov/Archives/edgar/data/91142/000119312518048314/0001193125-18-048314-index.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312518048314/d473899d10k.htm
2016-12-31,AOS,USD,0000091142,2017-02-17,2017-02-17 14:36:14,2016,FY,2685900000,1566600000,1119300000,0.4167318217,80100000,545000000,113900000,658900000,-80100000,658900000,2225500000,0,7300000,65100000,534900000,0.1991511225,460400000,0.1714136788,2100000,462500000,0.1721955397,136000000,326500000,0.1215607431,1.87,1.85,173441584,176825000,https://www.sec.gov/Archives/edgar/data/91142/000119312517047795/0001193125-17-047795-index.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312517047795/d280399d10k.htm
2015-12-31,AOS,USD,0000091142,2016-02-17,2016-02-17 16:05:53,2015,FY,2536500000,1526700000,1009800000,0.3981076286,73700000,508500000,102200000,610700000,-73700000,610700000,2137400000,0,7400000,63000000,472900000,0.1864380051,399100000,0.1573427952,3400000,402500000,0.1586832249,119600000,282900000,0.1115316381,1.59,1.58,175896866,179010000,https://www.sec.gov/Archives/edgar/data/91142/000119312516467088/0001193125-16-467088-index.htm,https://www.sec.gov/Archives/edgar/data/91142/000119312516467088/d104769d10k.htm
