date,symbol,calendarYear,period,growthCashAndCashEquivalents,growthShortTermInvestments,growthCashAndShortTermInvestments,growthNetReceivables,growthInventory,growthOtherCurrentAssets,growthTotalCurrentAssets,growthPropertyPlantEquipmentNet,growthGoodwill,growthIntangibleAssets,growthGoodwillAndIntangibleAssets,growthLongTermInvestments,growthTaxAssets,growthOtherNonCurrentAssets,growthTotalNonCurrentAssets,growthOtherAssets,growthTotalAssets,growthAccountPayables,growthShortTermDebt,growthTaxPayables,growthDeferredRevenue,growthOtherCurrentLiabilities,growthTotalCurrentLiabilities,growthLongTermDebt,growthDeferredRevenueNonCurrent,growthDeferrredTaxLiabilitiesNonCurrent,growthOtherNonCurrentLiabilities,growthTotalNonCurrentLiabilities,growthOtherLiabilities,growthTotalLiabilities,growthCommonStock,growthRetainedEarnings,growthAccumulatedOtherComprehensiveIncomeLoss,growthOthertotalStockholdersEquity,growthTotalStockholdersEquity,growthTotalLiabilitiesAndStockholdersEquity,growthTotalInvestments,growthTotalDebt,growthNetDebt
2024-12-31,APO,2024,FY,0.014942240080361628,0.2300424456468911,0.20991758838836252,0.9070171627199652,0,-0.4634146341463415,0.2213647096127604,0,-0.000462000462000462,0,-0.000462000462000462,0.17631347116267737,0,0.2515088207985144,0.184922449754893,0,0.2054528403001072,0.08328340323547034,-1,0,0.23924854644061172,0,0.24565132019681674,0.3134846793201836,0,0,0.04667618494751871,0.07663166104905429,0,0.2035504765076689,0,1.0262449528936743,0.014529147982062781,0,0.22849615494161207,0.2054528403001072,0.2080784010236881,0.3084527928818586,0.2881572230729964
2023-12-31,APO,2023,FY,0.6851460008463817,0.30863035422019824,0.3365705447779357,-0.04561476259589467,0,0.09238355240900625,0.3192377793713398,-1,0.0016196205460434984,0,0.0016196205460434984,0.07923696241453251,-1,0.38638311963770816,0.10972475576634642,0,0.21876858839034746,0.12201680672268908,-0.11428571428571428,0,0.17886600313335177,0,0.17421920349805514,0.24263912440265145,0,0,0.2662149797302696,0.24892151405510715,0,0.19197829781778933,0,3.9513406156901687,0.23994546693933197,0,1.1150602409638555,0.21876858839034746,0.20401404130283363,0.12602113502151158,-2.45863453673453
2022-12-31,APO,2022,FY,5.84927536231884,0,91.29927536231884,8.842857142857143,0,1.4820288049705106,50.92862684251357,0.5209402976534174,35.94017094017094,0,35.94017094017094,2.789352650339197,0.4940160138824706,25.07007552187841,3.417168027503223,0,7.4327912923742705,0.04495960660344222,-0.07894736842105263,0,0,0,43.88215242269296,-0.5247619047619048,0,0,181.51533390864196,2.983646316956552,0,12.04450318265185,0,-1.8802447552447552,-1466,0,0.7524412773818949,7.4327912923742705,7.308957111647695,-0.4936756360754575,-1.176820227505903
2021-12-31,APO,2021,FY,-0.43646396656679554,0,-0.43646396656679554,-0.04033153607667947,0,35.7198441382426,-0.14741995321723297,0.5373630474768747,0.00035910326783973736,-1,-0.1675204918032787,0.36399195082163643,-0.21346922728857437,0.5479890300893308,0.35255828669362904,0,0.28868527400553395,22.728559283892583,-0.06242289661978781,0,-1,0,1.501176899040028,-0.04191546156828121,0,0,-0.7603874891398784,-0.08264473947517438,0,0.067050769640155,0,0,-1.4142926122646065,0,1.6509201960379623,0.28868527400553395,0.36399195082163643,-0.029233776784599177,0.05269615444684882
2020-12-31,APO,2020,FY,0.5290512640716915,0,0.5290512640716915,0.09666035924388248,0,-0.10470701248799232,0.41159606888232414,0.6120202141739863,0.24541321038004069,0.14411836041717196,0.22717985435621604,2.5571760780970036,0.13965318652055836,1.2846524738520881,2.2258167892676735,0,1.770868626594555,0.271480649400195,-0.25586604487203024,0,-0.6411937759189026,0,0.09943054183893808,3.134072932532199,-1,0,3.261921160012738,2.9225107312992384,0,2.1564590415316887,0,0,0.5476190476190477,0,-0.22832414257038303,1.770868626594555,2.5571760780970036,2.94062841454941,4.772195125421173
2019-12-31,APO,2019,FY,1.4287037963780183,0,1.4287037963780183,0.1776211288837628,0,4.721434770031819,0.9334896067920284,10.641220610305153,0.0569373790122901,0.09079845494470606,0.06287644662230513,0.2531200327366034,0.5458159911661123,0.2741082848699838,0.31046976647329816,0,0.4256692726248879,0.3313581082987669,-0.23673257753051472,0,-0.23815224533515755,0,0.32064001556268845,0.6069949406635424,-0.23815224533515755,0,0.7621772578087788,0.6648504880227689,0,0.5548811321724814,0,1,-0.10074537148352969,0,0.34589985728777006,0.4256692726248879,0.2531200327366034,0.6743584686916295,0.35477493927044873
2018-12-31,APO,2018,FY,0.3751167795535684,-1,-0.21887027132678263,0.25512380952380953,0,-0.10787096774193548,-0.18092166062152798,0.04201417848206839,0,0.0030251565651204754,0.0005292773970694746,-0.16198105209998764,-0.09342550305356624,1.9788659697066386,-0.13384859149683923,0,-0.14295608540609664,0.02911155314854878,-0.8075871478493464,0,-0.1330435596897289,0,-0.3530899705520967,0.0757167557600543,-0.1330435596897289,0,-0.3138411945109803,0.02720649251077352,0,-0.13521205763406016,0,-0.24723554524851105,-1.299060254284135,0,-0.05928529536012075,-0.14295608540609664,-0.21769022857728315,-0.06282858913115652,0.02381863867182361
2017-12-31,APO,2017,FY,-0.43912737344178004,0,-0.0126283360351446,-0.7924320050079897,0,-0.172008547008547,-0.4491624438972005,-0.23733799793273436,0,-0.17072311958100436,-0.03476647576026458,1.1260211968009246,-0.4099950547213432,-0.05625719599681162,0.7764459914505787,0,0.24185170652092627,0.1985208387714261,0.024276805293945436,0,-0.26728914250427405,0,-0.019371674297388352,0.12194316226184888,-0.26728914250427405,0,7.11963792351316,0.18480244973144805,0,0.08805071736631202,0,0.6152247142019862,0.7926172188467271,0,0.7517638268216631,0.24185170652092627,1.2774176057089452,0.1054108664268029,0.18400947033122794
2016-12-31,APO,2016,FY,0.26830288600609686,0,0.26830288600609686,0.6933290039812187,0,-0.17894736842105263,0.5116168978432005,-0.20489315969149072,0,-0.20611460517120894,-0.050216221737946064,0.16620031326940443,-0.11442772981413077,-0.24458747022774105,0.08130235296201765,0,0.2346030797787977,-0.37546189627439897,-0.31774260410778216,0,-0.01676458186929023,0,0.05435838838133732,0.3712638666486601,-0.01676458186929023,0,3.34565560821485,0.33735059424471125,0,0.18644915033207424,0,0.2686163585447469,-0.144750656167979,0,0.28577301175510583,0.2346030797787977,0.16620031326940443,0.17107184407549855,0.11419546862661727
2015-12-31,APO,2015,FY,-0.7062186902813762,0,-0.7062186902813762,-0.26178846252057203,0,-0.10278608531402487,-0.5421350349378937,-0.11892162869715368,0.8043579798143898,-0.523309848598411,0.07494372357753336,-0.8885941534390378,0.06508800643463097,-0.7764844163573665,-0.8504267099979663,0,-0.8032257490984684,1.0795552140306468,-0.006297009903326012,0,-0.1089051870109311,0,-0.05166494569835511,-0.9113480999728946,-0.1089051870109311,0,-0.9900280883388497,-0.9042138514447785,0,-0.8159633861496738,0,0.03732309245420555,-1.008168428274339,0,-0.636433504507742,-0.8032771014352446,-0.8885941534390378,-0.8794457683337772,-0.9103632806879037
