date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2024-12-31,ARES,USD,0001176948,2025-02-27,2025-02-27 16:18:49,2024,FY,1110735000,158578000,0,352851000,-202991000,-188174000,0,148384000,-163201000,1371981000,2791154000,-91509000,-67895000,-6508188000,8252803000,-1744615000,-159404000,-2277990000,407124000,0,-1310896000,1750168000,-1431594000,-40454000,1159702000,1507976000,348274000,2791154000,-91509000,2699645000,https://www.sec.gov/Archives/edgar/data/1176948/000162828025008665/0001628280-25-008665-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828025008665/ares-20241231.htm
2023-12-31,ARES,USD,0001176948,2024-02-27,2024-02-27 06:22:14,2023,FY,1160092000,231712000,0,255965000,-454058000,0,0,27864000,-481922000,-1426972000,-233261000,-67183000,-43896000,0,0,0,-111079000,1682443000,85959000,0,-1030666000,-445610000,292126000,10501000,-41713000,348274000,389987000,-233261000,-67183000,-300444000,https://www.sec.gov/Archives/edgar/data/1176948/000162828024007014/0001628280-24-007014-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828024007014/ares-20231231.htm
2022-12-31,ARES,USD,0001176948,2023-02-24,2023-02-24 17:11:11,2022,FY,438915000,341341000,0,200391000,-194632000,-20612000,0,-51685000,-122335000,-1520127000,-734112000,-35796000,-301583000,0,0,0,-337379000,1769373000,21205000,0,-836364000,173849000,1128063000,-10240000,46332000,389987000,343655000,-734112000,-35796000,-769908000,https://www.sec.gov/Archives/edgar/data/1176948/000162828023005081/0001628280-23-005081-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828023005081/ares-20221231.htm
2021-12-31,ARES,USD,0001176948,2022-02-28,2022-02-28 17:20:58,2021,FY,390713000,113961000,0,0,98522000,-745021000,0,125168000,718375000,-3199241000,-2596045000,-27226000,-1057407000,0,0,0,-1084633000,2833180000,827430000,0,-604356000,447371000,3503625000,-19104000,-196157000,343655000,539812000,-2596045000,-27226000,-2623271000,https://www.sec.gov/Archives/edgar/data/1176948/000162828022004289/0001628280-22-004289-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828022004289/ares-20211231.htm
2020-12-31,ARES,USD,0001176948,2021-02-25,2021-02-25 16:36:45,2020,FY,324485000,41248000,0,122986000,60673000,-17687000,0,21035000,57325000,-975051000,-425659000,-15942000,-120822000,0,0,0,-136764000,1152320000,476031000,0,-468480000,-215976000,943895000,19956000,401428000,539812000,138384000,-425659000,-15942000,-441601000,https://www.sec.gov/Archives/edgar/data/1176948/000162828021003314/0001628280-21-003314-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828021003314/ares-20201231.htm
2019-12-31,ARES,USD,0001176948,2020-02-28,2020-02-27 19:29:06,2019,FY,372804000,39459000,0,97691000,-413869000,0,0,30669000,-444538000,-2179106000,-2083021000,-16796000,0,0,0,0,-16796000,2141127000,206705000,-10449000,-345367000,130314000,2122330000,5624000,28137000,138384000,110247000,-2083021000,-16796000,-2099817000,https://www.sec.gov/Archives/edgar/data/1176948/000162828020002489/0001628280-20-002489-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828020002489/ares-20191231.htm
2018-12-31,ARES,USD,0001176948,2019-02-26,2019-02-26 17:02:36,2018,FY,152139000,28517000,0,0,164695000,62601000,0,2262000,99832000,188224000,428078000,-18419000,0,0,0,0,-18419000,1736945000,105333000,0,-156549000,-280434000,1405295000,21500000,-8682000,110247000,118929000,-1417102000,-18419000,-1435477000,https://www.sec.gov/Archives/edgar/data/1176948/000162828019001988/0001628280-19-001988-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828019001988/aresmanagement201810-k.htm
2017-12-31,ARES,USD,0001176948,2018-03-01,2018-03-01 07:27:30,2017,FY,172911000,32809000,-8112000,69711000,-100932000,0,0,14559000,-115491000,-2029401000,-1863014000,-33160000,0,0,0,0,-33160000,1820398000,1036000,0,-283356000,117916000,1654958000,17365000,-223932000,118929000,342861000,-1863095000,-33160000,-1896174000,https://www.sec.gov/Archives/edgar/data/1176948/000162828018002576/0001628280-18-002576-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828018002576/aresmanagement201710-k.htm
2016-12-31,ARES,USD,0001176948,2017-02-27,2017-02-27 06:08:08,2016,FY,286901000,37455000,-28463000,39065000,-192455000,0,0,5328000,-197783000,-768158000,-625655000,-11913000,0,0,0,0,-11913000,821082000,298761000,0,-212839000,-26240000,880764000,-21818000,221378000,342861000,121483000,-625655000,-11913000,-637568000,https://www.sec.gov/Archives/edgar/data/1176948/000162828017001756/0001628280-17-001756-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000162828017001756/aresmanagement201610k.htm
2015-12-31,ARES,USD,0001176948,2016-02-29,2016-02-29 06:32:32,2015,FY,62420000,55275000,1427000,32244000,16932000,20611000,0,-37194000,33515000,-696284000,-527986000,-10676000,-64437000,0,0,0,-75113000,796391000,88652000,0,-217760000,2906000,581537000,-5813000,-27375000,121483000,148858000,-527986000,-10676000,-538662000,https://www.sec.gov/Archives/edgar/data/1176948/000155837016003647/0001558370-16-003647-index.htm,https://www.sec.gov/Archives/edgar/data/1176948/000155837016003647/ares-20151231x10k.htm
