symbol,date,marketCap
ARES,2026-01-02,54625317287
ARES,2025-12-31,53081765365
ARES,2025-12-30,53607229849
ARES,2025-12-29,55554732594
ARES,2025-12-26,55413514014
ARES,2025-12-24,55521891064
ARES,2025-12-23,55416798167
ARES,2025-12-22,55925841886
ARES,2025-12-19,54411847341
ARES,2025-12-18,54733694337
ARES,2025-12-17,55341262647
ARES,2025-12-16,57016180691
ARES,2025-12-15,56710754459
ARES,2025-12-12,57072011292
ARES,2025-12-11,58086814577
ARES,2025-12-10,58549880154
ARES,2025-12-09,57866776325
ARES,2025-12-08,53945497611
ARES,2025-12-05,54339595974
ARES,2025-12-04,53554683401
ARES,2025-12-03,53219699792
ARES,2025-12-02,52520175198
ARES,2025-12-01,52385524923
ARES,2025-11-28,51511940218
ARES,2025-11-26,50756585022
ARES,2025-11-25,50204847314
ARES,2025-11-24,49298421079
ARES,2025-11-21,48418268068
ARES,2025-11-20,47393612323
ARES,2025-11-19,47676049484
ARES,2025-11-18,46861579533
ARES,2025-11-17,46654677892
ARES,2025-11-14,48080000306
ARES,2025-11-13,48759819982
ARES,2025-11-12,50474147862
ARES,2025-11-11,50533262617
ARES,2025-11-10,50359202506
ARES,2025-11-07,50536546770
ARES,2025-11-06,49676098677
ARES,2025-11-05,50329645129
ARES,2025-11-04,50250825456
ARES,2025-11-03,51068579560
ARES,2025-10-31,48838639655
ARES,2025-10-30,48372289925
ARES,2025-10-29,49433071353
ARES,2025-10-28,49567721627
ARES,2025-10-27,49580858239
ARES,2025-10-24,49045541296
ARES,2025-10-23,48746683370
ARES,2025-10-22,49295136926
ARES,2025-10-21,49298421079
ARES,2025-10-20,48148967519
ARES,2025-10-17,46592278985
ARES,2025-10-16,46385377344
ARES,2025-10-15,49620268075
ARES,2025-10-14,49124360968
ARES,2025-10-13,47170289918
ARES,2025-10-10,46267147835
ARES,2025-10-09,48362437466
ARES,2025-10-08,49196612335
ARES,2025-10-07,48815650584
ARES,2025-10-06,49295136926
ARES,2025-10-03,50050492122
ARES,2025-10-02,49462628730
ARES,2025-10-01,50621934748
ARES,2025-09-30,52510322738
ARES,2025-09-29,53669628757
ARES,2025-09-26,53548115095
ARES,2025-09-25,53636787227
ARES,2025-09-24,55249306362
ARES,2025-09-23,59492432073
ARES,2025-09-22,59768300927
ARES,2025-09-19,60100000382
ARES,2025-09-18,60237934810
ARES,2025-09-17,58750213489
ARES,2025-09-16,58658257204
ARES,2025-09-15,59088481250
ARES,2025-09-12,60031033169
ARES,2025-09-11,60661590550
ARES,2025-09-10,58763350101
ARES,2025-09-09,57495667033
ARES,2025-09-08,57883197090
ARES,2025-09-05,58231317310
ARES,2025-09-04,59131175240
ARES,2025-09-03,58070393812
ARES,2025-09-02,59042503108
ARES,2025-08-29,58852022232
ARES,2025-08-28,59203426606
ARES,2025-08-27,58953830976
ARES,2025-08-26,58763350101
ARES,2025-08-25,58500617859
ARES,2025-08-22,59466158848
ARES,2025-08-21,58543311848
ARES,2025-08-20,58763350101
ARES,2025-08-19,59308519503
ARES,2025-08-18,62159164330
ARES,2025-08-15,61669825529
ARES,2025-08-14,62546694387
ARES,2025-08-13,62707617885
ARES,2025-08-12,63305333736
ARES,2025-08-11,61265874707
ARES,2025-08-08,61883295476
ARES,2025-08-07,61397240828
ARES,2025-08-06,62165732636
ARES,2025-08-05,61735508590
ARES,2025-08-04,61922705312
ARES,2025-08-01,60044169781
ARES,2025-07-31,60930891098
ARES,2025-07-30,61653404764
ARES,2025-07-29,61719087824
ARES,2025-07-28,61531891102
ARES,2025-07-25,61157497657
ARES,2025-07-24,59883246283
ARES,2025-07-23,59301951197
ARES,2025-07-22,58540027695
ARES,2025-07-21,58750213489
ARES,2025-07-18,60139410219
ARES,2025-07-17,60155830984
ARES,2025-07-16,59088481250
ARES,2025-07-15,57305186157
ARES,2025-07-14,59226415677
ARES,2025-07-11,58251022229
ARES,2025-07-10,59157448464
ARES,2025-07-09,58119656108
ARES,2025-07-08,57505519492
ARES,2025-07-07,57426699819
ARES,2025-07-03,58444787257
ARES,2025-07-02,58451355563
ARES,2025-07-01,57384005830
ARES,2025-06-30,56881530417
ARES,2025-06-27,56625069610
ARES,2025-06-26,55948236869
ARES,2025-06-25,55192930766
ARES,2025-06-24,55526442552
ARES,2025-06-23,54064876198
ARES,2025-06-20,54198934857
ARES,2025-06-18,54715551152
ARES,2025-06-17,54009290900
ARES,2025-06-16,54614189727
ARES,2025-06-13,54460512728
ARES,2025-06-12,55850145167
ARES,2025-06-11,55186391320
ARES,2025-06-10,55120996852
ARES,2025-06-09,56337333952
ARES,2025-06-06,56853950247
ARES,2025-06-05,55582027849
ARES,2025-06-04,55261594958
ARES,2025-06-03,55104648235
ARES,2025-06-02,54535716366
ARES,2025-05-30,54113922049
ARES,2025-05-29,53917738646
ARES,2025-05-28,53620193817
ARES,2025-05-27,53819646944
ARES,2025-05-23,52410396164
ARES,2025-05-22,52276337505
ARES,2025-05-21,51982062401
ARES,2025-05-20,54287217388
ARES,2025-05-19,55140615192
ARES,2025-05-16,55634343424
ARES,2025-05-15,55160233533
ARES,2025-05-14,57491546307
ARES,2025-05-13,56402728419
ARES,2025-05-12,56425616483
ARES,2025-05-09,53934087263
ARES,2025-05-08,54228362367
ARES,2025-05-07,52995676651
ARES,2025-05-06,52194594421
ARES,2025-05-05,52564073164
ARES,2025-05-02,51357545234
ARES,2025-05-01,49788078008
ARES,2025-04-30,49873090816
ARES,2025-04-29,49958103624
ARES,2025-04-28,50151017304
ARES,2025-04-25,50314503473
ARES,2025-04-24,50016958645
ARES,2025-04-23,47721612828
ARES,2025-04-22,46338519835
ARES,2025-04-21,44821368184
ARES,2025-04-17,46181573113
ARES,2025-04-16,45645338477
ARES,2025-04-15,46207730900
ARES,2025-04-14,45246432224
ARES,2025-04-11,45037169927
ARES,2025-04-10,44393034420
ARES,2025-04-09,46551051855
ARES,2025-04-08,40286261847
ARES,2025-04-07,40783259801
ARES,2025-04-04,38595814856
ARES,2025-04-03,42699317706
ARES,2025-04-02,50517226323
ARES,2025-04-01,48862746290
ARES,2025-03-31,47937414571
ARES,2025-03-28,45308263426
ARES,2025-03-27,46402665925
ARES,2025-03-26,47928575694
ARES,2025-03-25,48663388799
