symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
ARE,2024-12-31,97.55,172071000,16785526050,552146000,12751501000,28984881050
ARE,2023-12-31,126.77,170909000,21666133930,618190000,11698525000,32746468930
ARE,2022-12-31,145.67,161659000,23548866529,825193000,10566462000,33290135529
ARE,2021-12-31,222.96,146921000,32757506160,361348000,9226611000,41622769160
ARE,2020-12-31,178.22,126106000,22474611320,568532000,7909036000,29815115320
ARE,2019-12-31,161.58,112204000,18129922320,189681000,7049287000,24989528320
ARE,2018-12-31,115.24,103010000,11870872400,234181000,5478255000,17114946400
ARE,2017-12-31,130.59,91546000,11954992140,254381000,4852991000,16553602140
ARE,2016-12-31,111.13,75950251,8440351393,125032000,4223534000,12538853393
ARE,2015-12-31,90.36,71529000,6463360440,125098000,3961710000,10299972440
ARE,2014-12-31,88.74,71170000,6315625800,86011000,3687389000,9917003800
ARE,2013-12-31,63.62,68038000,4328577560,57696000,3072466000,7343347560
ARE,2012-12-31,69.32,62159913,4308925169,140971000,3196670000,7364624169
ARE,2011-12-31,68.97,59066812,4073838023,78539000,2797185000,6792484023
ARE,2010-12-31,73.26,48375474,3543987225,91232000,2584162000,6036917225
ARE,2009-12-31,64.29,38593382,2481168528,70628000,2746946000,5157486528
ARE,2008-12-31,60.34,31653829,1909992041,71161000,2938108000,4776939041
ARE,2007-12-31,101.67,29668231,3016369045,8030000,2787904000,5796243045
ARE,2006-12-31,100.4,25142982,2524355392,2948000,2024866000,4546273392
ARE,2005-12-31,80.5,20948230,1686332515,3911000,1406666000,3089087515
ARE,2004-12-31,74.42,20077611,1494175810,3158000,1186946000,2677963810
ARE,2003-12-31,57.9,18993856,1099744262,4985000,709007000,1803766262
ARE,2002-12-31,42.6,17594228,749514112,3790000,614878000,1360602112
ARE,2001-12-31,41.1,15953459,655687164,2376000,573161000,1226472164
ARE,2000-12-31,37.19,14460711,537793842,2776000,431256000,966273842
ARE,1999-12-31,31.81,13525840,430256970,3400000,350500000,777356970
ARE,1998-12-31,30.94,12098959,374341791,1600000,309800000,682541791
ARE,1997-12-31,31.56,8075864,254874267,2100000,70800000,323574267
ARE,1996-12-31,21,3642131,76484751,1700000,113200000,187984751
