symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
AVGO,2025-11-02,362.55,4712000000,1708335600000,16178000000,65136000000,1757293600000
AVGO,2024-11-03,168.55,4624000000,779375200000,9348000000,67566000000,837593200000
AVGO,2023-10-29,84.13,4150000000,349139500000,14189000000,39648000000,374598500000
AVGO,2022-10-30,47.01,4090000000,192270900000,12416000000,39978000000,219832900000
AVGO,2021-10-31,52.81,4100000000,216521000000,12163000000,40273000000,244631000000
AVGO,2020-11-01,35.13,4020000000,141222600000,7618000000,41689000000,175293600000
AVGO,2019-11-03,30.5,3980000000,121390000000,5055000000,32798000000,149133000000
AVGO,2018-11-04,22.01,4180000000,92001800000,4292000000,17493000000,105202800000
AVGO,2017-10-31,26.39,4050000000,106879500000,11204000000,17548000000,113223500000
AVGO,2016-10-31,17.03,3660000000,62329800000,3097000000,13642000000,72874800000
AVGO,2015-10-31,12.31,2640000000,32498400000,1822000000,3872000000,34548400000
AVGO,2014-10-31,8.63,2510000000,21661300000,1604000000,5509000000,25566300000
AVGO,2013-10-31,4.54,2520000000,11440800000,985000000,2000000,10457800000
AVGO,2012-10-31,3.3,2450000000,8085000000,1084000000,3000000,7004000000
AVGO,2011-10-31,3.38,2450000000,8281000000,829000000,6000000,7458000000
AVGO,2010-10-31,2.38,2380000000,5664400000,561000000,236000000,5339400000
AVGO,2009-10-31,1.5,2190000000,3285000000,472000000,599000000,3412000000
AVGO,2008-10-31,1.62,2140000000,3466800000,213000000,710000000,3963800000
AVGO,2007-10-31,1.62,2140000000,3466800000,309000000,909000000,4066800000
AVGO,2006-10-31,1.62,2462860000,3989833200,272000000,1007000000,4724833200
