date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2024-12-31,BKR,USD,0001701605,2025-02-04,2025-02-04 07:05:30,2024,FY,3008000000,1136000000,-671000000,202000000,-53000000,-159000000,-102000000,91000000,117000000,-290000000,3332000000,0,0,0,92000000,-1108000000,-1016000000,-143000000,0,-484000000,-836000000,-64000000,-1527000000,-71000000,718000000,3364000000,2646000000,3332000000,-1278000000,2054000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160525000035/0001701605-25-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160525000035/bkr-20241231.htm
2023-12-31,BKR,USD,0001701605,2024-02-05,2024-02-05 07:52:57,2023,FY,1970000000,1087000000,-59000000,197000000,428000000,-986000000,-461000000,61000000,1814000000,-561000000,3062000000,-1224000000,-8000000,0,372000000,43000000,-817000000,-651000000,0,-538000000,-786000000,-53000000,-2028000000,-59000000,158000000,2646000000,2488000000,3062000000,-1224000000,1838000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160524000033/0001701605-24-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160524000033/bkr-20231231.htm
2022-12-31,BKR,USD,0001701605,2023-02-14,2023-02-14 16:16:46,2022,FY,-578000000,1061000000,105000000,207000000,122000000,-625000000,-885000000,605000000,1027000000,971000000,1888000000,-772000000,-845000000,-26000000,26000000,53000000,-1564000000,-28000000,0,-828000000,-726000000,-10000000,-1592000000,-97000000,-1365000000,2488000000,3853000000,1888000000,-772000000,1116000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160523000044/0001701605-23-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160523000044/bkr-20221231.htm
2021-12-31,BKR,USD,0001701605,2022-02-11,2022-02-11 16:42:53,2021,FY,336000000,1105000000,133000000,205000000,614000000,-126000000,170000000,246000000,324000000,-19000000,2374000000,-541000000,-109000000,-147000000,147000000,187000000,-463000000,-936000000,0,-434000000,-592000000,-181000000,-2143000000,-47000000,-279000000,3853000000,4132000000,2374000000,-541000000,1833000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160522000050/0001701605-22-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160522000050/bkr-20211231.htm
2020-12-31,BKR,USD,0001701605,2021-02-25,2021-02-25 16:07:29,2020,FY,951000000,1317000000,160000000,210000000,443000000,680000000,-80000000,-711000000,554000000,-1777000000,1304000000,-787000000,161000000,0,0,8000000,-618000000,991000000,0,0,-488000000,-278000000,225000000,-28000000,883000000,4132000000,3249000000,1304000000,-787000000,517000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160521000026/0001701605-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160521000026/bkr-20201231.htm
2019-12-31,BKR,USD,0001701605,2020-02-13,2020-02-13 16:18:34,2019,FY,94000000,1418000000,51000000,187000000,437000000,-583000000,-200000000,249000000,971000000,-61000000,2126000000,-976000000,-99000000,0,0,30000000,-1045000000,-587000000,0,-250000000,-395000000,-302000000,-1534000000,-21000000,-474000000,3249000000,3723000000,2126000000,-976000000,1150000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160520000019/0001701605-20-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160520000019/fiscalyear2019form10-k.htm
2018-12-31,BKR,USD,0001701605,2019-02-19,2019-02-19 16:55:51,2018,FY,195000000,1486000000,-249000000,0,274000000,-204000000,-339000000,794000000,23000000,56000000,1762000000,-995000000,-89000000,0,0,506000000,-578000000,-1060000000,0,-2486000000,-315000000,-502000000,-4363000000,-128000000,-3307000000,3723000000,7030000000,1762000000,-995000000,767000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160519000021/0001701605-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160519000021/fiscalyear2018form10-k.htm
2017-12-31,BKR,USD,0001701605,2018-02-23,2018-02-23 17:17:47,2017,FY,-396000000,1103000000,-333000000,37000000,-1201000000,-1190000000,418000000,303000000,-732000000,-9000000,-799000000,-665000000,-3345000000,0,0,-113000000,-4123000000,3088000000,0,-477000000,-155000000,8463000000,10919000000,52000000,6049000000,7030000000,981000000,-799000000,-665000000,-1464000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160518000029/0001701605-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160518000029/fiscalyear2017form10-k.htm
2016-12-31,BKR,USD,0001701605,2016-12-31,2016-12-31 00:00:00,2016,FY,403000000,550000000,39000000,0,-639000000,278000000,345000000,-256000000,-1006000000,-91000000,262000000,-424000000,-1000000,0,0,-47000000,-472000000,-156000000,0,0,0,54000000,-102000000,-139000000,-451000000,981000000,1432000000,262000000,-424000000,-162000000,,
2015-12-31,BKR,USD,0001701605,2015-12-31,2015-12-31 00:00:00,2015,FY,-606000000,530000000,-96000000,0,1245000000,469000000,442000000,-450000000,-954000000,204000000,1277000000,-607000000,95000000,0,0,46000000,-466000000,-45000000,0,0,-297000000,-289000000,-515000000,-254000000,42000000,1432000000,1390000000,1277000000,-607000000,670000000,,
2014-12-31,BKR,USD,0001701605,2014-12-31,2014-12-30 19:00:00,2014,FY,1840000000,586000000,0,27000000,-286000000,-102000000,-187000000,291000000,3000000,-280000000,1887000000,-583000000,-592000000,0,0,339000000,-836000000,-248000000,0,0,-279000000,523000000,-388000000,-53000000,610000000,1390000000,780000000,1887000000,-583000000,1304000000,,
