date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,BLDR,USD,0001316835,2025-02-20,2025-02-20 13:46:21,2024,FY,16400492000,11017448000,5383044000,0.3282245435,0,0,0,3787795000,0,3787795000,14805243000,0,207724000,51000,1595300000,0.0972714721,1595249000,0.0972683624,-207724000,1387525000,0.0846026448,309627000,1077898000,0.0657235161,9.13,9.06,118038000,118980000,https://www.sec.gov/Archives/edgar/data/1316835/000095017025023953/0000950170-25-023953-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017025023953/bldr-20241231.htm
2023-12-31,BLDR,USD,0001316835,2024-02-22,2024-02-22 13:08:58,2023,FY,17097330000,11084996000,6012334000,0.3516533868,0,3180015000,656000000,3836015000,0,3836015000,14921011000,0,192115000,558275000,2734594000,0.1599427513,2176319000,0.1272899921,-192115000,1984204000,0.1160534423,443649000,1540555000,0.0901050047,12.0566,11.9425,127777000,128997999,https://www.sec.gov/Archives/edgar/data/1316835/000095017024018584/0000950170-24-018584-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017024018584/bldr-20231231.htm
2022-12-31,BLDR,USD,0001316835,2023-02-28,2023-02-28 12:24:11,2022,FY,22726418000,14982039000,7744379000,0.3407654915,0,3332373000,641800000,3974173000,0,3974173000,18956212000,0,170973000,497140000,4267346000,0.1877702857,3770206000,0.165895303,-198373000,3571833000,0.1571665627,822464000,2749369000,0.1209767857,16.98,16.82,161960000,163481000,https://www.sec.gov/Archives/edgar/data/1316835/000095017023004939/0000950170-23-004939-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017023004939/bldr-20221231.htm
2021-12-31,BLDR,USD,0001316835,2022-03-01,2022-03-01 14:52:03,2021,FY,19893856000,14042900000,5850956000,0.2941086937,0,2950732000,512800000,3463532000,0,3463532000,17506432000,0,128776999,547352000,2934776000,0.1475217273,2387424000,0.120008107,-135877000,2251547000,0.1131780083,526131000,1725416000,0.0867310993,8.55,8.48,201839000,203470000,https://www.sec.gov/Archives/edgar/data/1316835/000156459022007980/0001564590-22-007980-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459022007980/bldr-10k_20211231.htm
2020-12-31,BLDR,USD,0001316835,2021-02-26,2021-02-26 13:14:08,2020,FY,8558874000,6336290000,2222584000,0.2596818226,0,1331030000,347700000,1678730000,0,1678730000,8015020000,0,135688000,116566000,660420000,0.0771620192,543854000,0.0635427043,-135688000,408166000,0.0476892171,94629000,313537000,0.036632973,2.6887,2.659,116611000,117917000,https://www.sec.gov/Archives/edgar/data/1316835/000156459021009308/0001564590-21-009308-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459021009308/bldr-10k_20201231.htm
2019-12-31,BLDR,USD,0001316835,2020-02-21,2020-02-21 14:54:11,2019,FY,7280431000,5303602000,1976829000,0.2715263698,0,1252023000,332500000,1584523000,0,1584523000,6888125000,0,109551000,100038000,492344000,0.0676256667,392306000,0.0538849966,-109551000,282755000,0.0388376732,60946000,221809000,0.0304664655,1.92,1.9,115713000,117025000,https://www.sec.gov/Archives/edgar/data/1316835/000156459020005717/0001564590-20-005717-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459020005717/bldr-10k_20191231.htm
2018-12-31,BLDR,USD,0001316835,2019-03-01,2019-03-01 14:40:19,2018,FY,7724771000,5801831000,1922940000,0.2489316512,0,1231072000,322900000,1553972000,0,1553972000,7355803000,0,108213000,97906000,466874000,0.0604385554,368968000,0.0477642638,-108213000,260755000,0.0337556932,55564000,205191000,0.0265627292,1.79,1.76,114586000,116554000,https://www.sec.gov/Archives/edgar/data/1316835/000156459019005770/0001564590-19-005770-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459019005770/bldr-10k_20181231.htm
2017-12-31,BLDR,USD,0001316835,2018-03-01,2018-03-01 13:27:25,2017,FY,7034209000,5306818000,1727391000,0.2455700421,0,1146088000,296200000,1442288000,0,1442288000,6749106000,0,193174000,92993000,378096000,0.053751033,285103000,0.0405309254,-193174000,91929000,0.0130688468,53148000,38781000,0.0055131998,0.34,0.34,112587000,115597000,https://www.sec.gov/Archives/edgar/data/1316835/000156459018004035/0001564590-18-004035-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459018004035/bldr-10k_20171231.htm
2016-12-31,BLDR,USD,0001316835,2017-03-01,2017-03-01 16:45:30,2016,FY,6367284000,4770536000,1596748000,0.2507737993,0,1095612000,269800000,1365412000,0,1360412000,6130948000,0,214667000,109793000,346129000,0.0543605405,236336000,0.0371172387,-214667000,21669000,0.0034031779,-122672000,144341000,0.0226691632,1.3,1.27,110754000,113585000,https://www.sec.gov/Archives/edgar/data/1316835/000156459017003114/0001564590-17-003114-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459017003114/bldr-10k_20161231.htm
2015-12-31,BLDR,USD,0001316835,2016-03-11,2016-03-11 16:00:54,2015,FY,3564425000,2662967000,901458000,0.2529041851,0,616503000,171900000,788403000,0,810841000,3473808000,0,109199000,58280000,148897000,0.041773077,90617000,0.0254226137,-109199000,-18582000,-0.0052131831,4387000,-22831000,-0.0064052407,-0.22,-0.22,103190000,103190000,https://www.sec.gov/Archives/edgar/data/1316835/000156459016014562/0001564590-16-014562-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459016014562/bldr-10k_20151231.htm
2014-12-31,BLDR,USD,0001316835,2015-03-03,2015-03-03 15:24:57,2014,FY,1604096000,1247099000,356997000,0.2225533883,0,227087000,79700000,306787000,0,306508000,1553607000,0,30349000,9519000,60008000,0.0374092324,50018000,0.0311814256,-30349000,19669000,0.012261735,1111000,18150000,0.0113147842,0.19,0.18,98050000,100522000,https://www.sec.gov/Archives/edgar/data/1316835/000156459015001235/0001564590-15-001235-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459015001235/bldr-10k_20141231.htm
2013-12-31,BLDR,USD,0001316835,2014-02-28,2014-02-28 17:01:40,2013,FY,1489892000,1169972000,319920000,0.2147269735,0,200678000,71100000,271778000,0,271885000,1441857000,0,89638000,9305000,57347000,0.0384907094,48042000,0.0322452903,-89638000,-41596000,-0.0279188022,769000,-42691000,-0.0286537548,-0.44,-0.44,96284090,96449000,https://www.sec.gov/Archives/edgar/data/1316835/000156459014000455/0001564590-14-000455-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459014000455/bldr-10k_20131231.htm
2012-12-31,BLDR,USD,0001316835,2013-03-01,2013-03-01 14:12:10,2012,FY,1070676000,856110000,214566000,0.2004023626,0,222263000,0,222263000,0,222263000,1078373000,0,45139000,11120000,2417000,0.0022574523,-8703000,-0.0081285095,-45139000,-53842000,-0.0502878555,577000,-56856000,-0.0531028995,-0.6,-0.6,95463000,95463000,https://www.sec.gov/Archives/edgar/data/1316835/000119312513087218/0001193125-13-087218-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000119312513087218/d444265d10k.htm
2011-12-31,BLDR,USD,0001316835,2012-03-02,2012-03-02 15:48:06,2011,FY,779093000,621148000,157945000,0.2027293276,0,195420000,0,195420000,0,195420000,816568000,0,24939000,14041000,-26435000,-0.0339304807,-37475000,-0.0481008044,-24939000,-62414000,-0.0801111036,2217000,-64995000,-0.0834239301,-0.68,-0.68,94950000,94950000,https://www.sec.gov/Archives/edgar/data/1316835/000119312512094395/0001193125-12-094395-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000119312512094395/d278642d10k.htm
2010-12-31,BLDR,USD,0001316835,2011-03-03,2011-03-02 20:01:09,2010,FY,700343000,568587000,131756000,0.1881306731,0,194650000,0,194650000,0,194650000,763237000,0,31672000,15433000,-48300000,-0.0689662066,-63733000,-0.0910025516,-31672000,-95405000,-0.1362261064,-1112000,-95508000,-0.1363731771,-1.04,-1.04,91676000,91676000,https://www.sec.gov/Archives/edgar/data/1316835/000095012311021379/0000950123-11-021379-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095012311021379/d80042e10vk.htm
2009-12-31,BLDR,USD,0001316835,2010-03-04,2010-03-04 17:14:28,2009,FY,677886000,535480000,142406000,0.2100736702,0,201403000,0,201403000,0,201403000,736883000,0,27045000,17915000,-42752000,-0.0630666513,-60667000,-0.0894943988,-27045000,-87712000,-0.1293904875,-30823000,-61854000,-0.0912454306,-1.58,-1.58,39164000,39164000,https://www.sec.gov/Archives/edgar/data/1316835/000095012310021074/0000950123-10-021074-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095012310021074/d71342e10vk.htm
2008-12-31,BLDR,USD,0001316835,2009-03-02,2009-02-27 19:28:55,2008,FY,1034524000,811372000,223152000,0.2157050006,0,292286000,0,292286000,0,292286000,1103658000,20000,25664000,21574000,-103422000,-0.0999706145,-124996000,-0.1208246498,-25664000,-150660000,-0.1456321941,-18870000,-139494000,-0.1348388244,-3.59,-3.59,38842000,38842000,https://www.sec.gov/Archives/edgar/data/1316835/000095013409004066/0000950134-09-004066-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095013409004066/d66600e10vk.htm
2007-12-31,BLDR,USD,0001316835,2008-03-05,2008-03-05 13:00:48,2007,FY,1592462000,1202156000,390306000,0.2450959583,0,375621000,0,375621000,27560000,403181000,1605337000,0,27727000,29029000,16154000,0.0101440411,-12875000,-0.0080849653,-27727000,-40602000,-0.0254963698,-16850000,-23752000,-0.0149152696,-0.62,-0.62,38096215,38096215,https://www.sec.gov/Archives/edgar/data/1316835/000095013408004136/0000950134-08-004136-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095013408004136/d54408e10vk.htm
2006-12-31,BLDR,USD,0001316835,2007-03-12,2007-03-12 12:55:02,2006,FY,2239454000,1652899000,586555000,0.2619187534,0,439944000,0,439944000,6763000,446707000,2099606000,0,28718000,24969000,162194000,0.0724256895,139848000,0.0624473644,-28718000,111130000,0.0496237029,42237000,68893000,0.0307633021,1.87,1.75,36886880,39335018,https://www.sec.gov/Archives/edgar/data/1316835/000095013407005357/0000950134-07-005357-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095013407005357/d43878e10vk.htm
