symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
BRO,2028-12-31,8461132197,8461396592,8461264395,2895379066,2895469541,2895424304,2471741315,2471818552,2471779934,1541444085,1666512005,1603978045,0,0,0,5.60512,5.868,5.42762,1,1
BRO,2027-12-31,7832676780,7832679300,7832678040,2680323136,2680323998,2680323567,2288151320,2288152056,2288151688,1364994884,1655680245,1394898660,0,0,0,5.14818,5.82986,4.80632,9,6
BRO,2026-12-31,7157677596,7564702258,7326443920,2449340040,2588622899,2507091470,2090964545,2209868215,2140266067,1309123564,1356983244,1333053404,0,0,0,4.66907,4.77811,4.60959,10,10
BRO,2025-12-31,5896058012,5985997880,5936031287,2017616856,2048394062,2031295614,1722408992,1748683028,1734086342,1196190964,1227223644,1211707304,0,0,0,4.24174,4.32121,4.21194,9,10
BRO,2024-12-31,4726461255,4796705902,4746531155,1617383661,1641421211,1624251533,1380735968,1401256460,1386598966,1059612523,1085317363,1072464943,0,0,0,3.7612,3.82154,3.73103,8,10
BRO,2023-12-31,4345210512,4614374805,4453700000,1486920575,1579027948,1524045417,1269361605,1347992276,1301054520,962620843,1040726523,982200000,0,0,0,3.50036,3.66453,3.38951,7,4
BRO,2022-12-30,3514243409,3639350567,3569962673,828099364,1242149046,1035124205,720654132,1080981198,900817665,482287757,723431635,602859696,0,0,0,2.23675,2.29327,2.19137,2,7
BRO,2021-12-30,2990286130,3096740395,3037697912,664792163,997188245,830990204,578428498,867642747,723035623,394245631,591368446,492807039,0,0,0,2.16008,2.21466,2.11625,5,6
BRO,2020-12-30,2554600252,2645544089,2595104119,553753561,830630342,692191952,450699200,676048801,563374001,324054920,486082380,405068650,0,0,0,1.64325,1.68477,1.60991,3,6
BRO,2019-12-30,2340549053,2423872661,2377659081,524598662,786897993,655748328,416409620,624614431,520512026,290875094,436312644,363593869,0,0,0,1.38212,1.41704,1.35408,3,7
BRO,2018-12-30,1975763740,2046100981,2007090000,472883949,709325925,591104937,384749068,577123604,480936336,264556769,396835154,330695962,0,0,0,1.22841,1.25945,1.20349,3,2
BRO,2017-12-30,1824808290,1889771513,1853741111,439925609,659888413,549907011,347285577,520928363,434106971,288542167,432813250,360677709,0,0,0,0.98354,1.00839,0.96358,3,2
