date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2024-12-31,BRO,USD,0000079282,2025-02-13,2025-02-12 17:37:07,2024,FY,1002000000,222000000,13000000,101000000,-105000000,-1496000000,0,-47000000,1438000000,-59000000,1174000000,-82000000,-820000000,-7000000,11000000,0,-898000000,30000000,0,-55000000,-154000000,115000000,-64000000,-13000000,199000000,2502000000,2303000000,1174000000,-82000000,1092000000,https://www.sec.gov/Archives/edgar/data/79282/000095017025019039/0000950170-25-019039-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000095017025019039/bro-20241231.htm
2023-12-31,BRO,USD,0000079282,2024-02-22,2024-02-22 17:01:33,2023,FY,871000000,206000000,12000000,89000000,-25000000,600000000,0,260000000,-885000000,-143000000,1010000000,-69000000,-524000000,-7000000,13000000,0,-587000000,-151000000,0,-40000000,-135000000,139000000,-187000000,34000000,270000000,2303000000,2033000000,1010000000,-69000000,941000000,https://www.sec.gov/Archives/edgar/data/79282/000095017024018890/0000950170-24-018890-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000095017024018890/bro-20231231.htm
2022-12-31,BRO,USD,0000079282,2023-02-27,2023-02-27 17:30:56,2022,FY,672000000,186000000,43000000,66000000,-16000000,-829000000,0,124000000,689000000,-70000000,881000000,-52000000,-1868000000,0,7000000,0,-1913000000,1939000000,0,-123000000,-120000000,30000000,1726000000,-131000000,563000000,2033000000,1470000000,881000000,-52000000,829000000,https://www.sec.gov/Archives/edgar/data/79282/000095017023004717/0000950170-23-004717-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000095017023004717/bro-20221231.htm
2021-12-31,BRO,USD,0000079282,2022-02-23,2022-02-22 18:14:32,2021,FY,587100000,152900000,33600000,61000000,-41400000,-81500000,0,54400000,-14300000,15600000,808800000,-45000000,-350200000,-12400000,10800000,0,-396800000,-73100000,0,-132400000,-107200000,102600000,-210100000,-3600000,198300000,1470200000,1271900000,808800000,-45000000,763800000,https://www.sec.gov/Archives/edgar/data/79282/000095017022001654/0000950170-22-001654-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000095017022001654/bro-20211231.htm
2020-12-31,BRO,USD,0000079282,2021-02-23,2021-02-23 17:02:30,2020,FY,480500000,134800000,16000000,59700000,29500000,13000000,0,111600000,-95100000,-7500000,713000000,-70700000,-685200000,-14200000,11000000,0,-759100000,545000000,0,-96400000,-100600000,7000000,355000000,0,308900000,1271900000,963000000,713000000,-70700000,642300000,https://www.sec.gov/Archives/edgar/data/79282/000156459021007624/0001564590-21-007624-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000156459021007624/bro-10k_20201231.htm
2019-12-31,BRO,USD,0000079282,2020-02-24,2020-02-24 17:32:24,2019,FY,398514000,128715000,12383000,46994000,100792000,-79887000,0,166458000,14221000,-9218000,678180000,-73108000,-331451000,-17520000,8494000,0,-413585000,50000000,24999000,-58671000,-91344000,20799000,-79216000,0,185379000,962975000,777596000,678180000,-73108000,605072000,https://www.sec.gov/Archives/edgar/data/79282/000156459020006075/0001564590-20-006075-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000156459020006075/bro-10k_20191231.htm
2018-12-31,BRO,USD,0000079282,2019-02-26,2019-02-25 19:57:18,2018,FY,344255000,109378000,15008000,33519000,75255000,318794000,0,163049000,-406588000,-9886000,567529000,-41520000,-918890000,-9284000,17923000,0,-951771000,530000000,19432000,-91250000,-84690000,-16310000,337750000,0,-46492000,777596000,824088000,567529000,-41520000,526009000,https://www.sec.gov/Archives/edgar/data/79282/000007928219000006/0000079282-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928219000006/bro-20181231x10k.htm
2017-12-31,BRO,USD,0000079282,2018-02-28,2018-02-28 17:25:31,2017,FY,399630000,108144000,-102183000,30631000,11033000,-443043000,0,64178000,389898000,-5280000,441975000,-24192000,-37377000,-10665000,9644000,0,-62590000,-96750000,17422000,-128639000,-77712000,-16057000,-336580000,0,42805000,824088000,781283000,441975000,-24192000,417783000,https://www.sec.gov/Archives/edgar/data/79282/000007928218000006/0000079282-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928218000006/bro-20171231x10k.htm
2016-12-31,BRO,USD,0000079282,2017-02-24,2017-02-24 17:32:00,2016,FY,257491000,107666000,18163000,16052000,11338000,-109665000,0,96258000,24745000,332000,411042000,-17765000,-117665000,-25872000,18890000,0,-142412000,-73125000,15983000,-18908000,-70262000,17758000,-160520000,0,108110000,781283000,673173000,411042000,-17765000,393277000,https://www.sec.gov/Archives/edgar/data/79282/000007928217000006/0000079282-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928217000006/bro-20161231x10k.htm
2015-12-31,BRO,USD,0000079282,2016-02-26,2016-02-25 17:59:34,2015,FY,243318000,108311000,22696000,15513000,3600000,-26103000,0,34748000,-5045000,-11606000,381832000,-18375000,-125424000,-22766000,21928000,0,-144637000,-45625000,15890000,-163750000,-64108000,-4466000,-293839000,0,-56644000,673173000,729817000,381832000,-18375000,363457000,https://www.sec.gov/Archives/edgar/data/79282/000007928216000034/0000079282-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928216000034/bro-20151231x10k.htm
