date,symbol,calendarYear,period,growthCashAndCashEquivalents,growthShortTermInvestments,growthCashAndShortTermInvestments,growthNetReceivables,growthInventory,growthOtherCurrentAssets,growthTotalCurrentAssets,growthPropertyPlantEquipmentNet,growthGoodwill,growthIntangibleAssets,growthGoodwillAndIntangibleAssets,growthLongTermInvestments,growthTaxAssets,growthOtherNonCurrentAssets,growthTotalNonCurrentAssets,growthOtherAssets,growthTotalAssets,growthAccountPayables,growthShortTermDebt,growthTaxPayables,growthDeferredRevenue,growthOtherCurrentLiabilities,growthTotalCurrentLiabilities,growthLongTermDebt,growthDeferredRevenueNonCurrent,growthDeferrredTaxLiabilitiesNonCurrent,growthOtherNonCurrentLiabilities,growthTotalNonCurrentLiabilities,growthOtherLiabilities,growthTotalLiabilities,growthCommonStock,growthRetainedEarnings,growthAccumulatedOtherComprehensiveIncomeLoss,growthOthertotalStockholdersEquity,growthTotalStockholdersEquity,growthTotalLiabilitiesAndStockholdersEquity,growthTotalInvestments,growthTotalDebt,growthNetDebt
2024-12-31,CBOE,2024,FY,0.694219440353461,0.9182608695652174,0.7156650574329948,0.2588635259834871,0,-0.037960281340504755,0.25251351487899765,-0.013425549227013833,-0.005221932114882507,-0.11284895314057826,-0.041619252328570826,0.11120764552562988,0,-0.20850320326150262,-0.03598271667695436,0,0.04028046744574291,-0.27530364372469635,0,-0.9795918367346939,0.0847457627118644,-0.05429726996966633,0.008529709411594621,0.0012506948304613673,0,-0.1423324150596878,0.1182139415354963,-0.002265112547779718,0,0.001998572448251249,-0.09090909090909091,0.11511959448756534,-4.148936170212766,0,0.07392722710163112,0.04028046744574291,0.22641509433962265,-0.007139309659796375,-0.36399400524541026
2023-12-31,CBOE,2023,FY,0.2553732378091056,-0.37295528898582336,0.14549961861174676,-0.015068165510643387,0,0.5758761206193969,0.27204370179948584,0.10621062106210621,0.005700012809017548,-0.03488092374308396,-0.008400200601805416,0.3637440758293839,-1,5.18780487804878,0.011997280861305554,0,0.06981097029533212,-0.10181818181818182,-1,22.8,-0.49572649572649574,0.4539841223169656,-0.06349851069591118,0.001321923050163501,0,-0.02288021534320323,0.16635443986511803,0.030490177008364133,0,-0.008801222549241566,0,0.16309704757956797,0.6967741935483871,0,0.14997258534614608,0.06981097029533212,0.1678747463032763,-0.13920803719339497,-0.2578896149033783
2022-12-31,CBOE,2022,FY,0.26557472945305644,1.471698113207547,0.38364116094986805,0.1312229437229437,0,-0.2161747796090456,0.016130085548226997,0.021139705882352942,0.03219409003768097,-0.0034759678772623755,0.01951427354069024,0.030105777054515868,-0.40193184867185405,0.8339408667476711,0.030227892186553605,1,0.027059945704013502,0.41025641025641024,0,-0.573170731707317,-0.23026315789473684,-0.22554935671182966,0.2633199350038485,0.10621103671207573,0,-0.40193184867185405,0.11580267558528429,0.007841599686336012,0,0.10091285789949217,0,0.01193195059426707,-1.5575539568345325,0,-0.03869840213049268,0.027059945704013502,0.2191587133262637,0.30997549877493874,0.3239462543714338
2021-12-31,CBOE,2021,FY,0.3932355338223309,-0.5984848484848485,0.12196566015393724,-0.05327868852459016,0,-0.06665871690913427,-0.022657646157773808,0.12396694214876033,0.04500708092984698,-0.034933487565066514,0.015116455093964231,4.756440281030445,-0.012976694915254237,0.14360041623309053,0.06737782087803301,0,0.04573006982275762,-0.3157894736842105,-1,0.9523809523809523,0.49019607843137253,0.002167959835691465,-0.10964745298104013,0.14455602536997886,0,-0.012976694915254237,0.14231136580706782,0.10036132233187726,0,0.013290819547922718,-0.08333333333333333,0.18522815158546016,-0.2546916890080429,0,0.07641315058675983,0.04573006982275762,1.0940044411547003,0.06923652694610778,-0.0036677058499908306
2020-12-31,CBOE,2020,FY,0.07021369385085041,0.30140845070422534,0.12487512487512488,0.3392795883361921,0,52.075949367088604,1.5786701777485188,0.9282868525896414,0.07941538346817792,0.0874897792313982,0.08242041198501873,-0.3022875816993464,-0.05529146860145109,0.11834862385321102,0.09839557952200254,0,0.27427208197266273,0.35714285714285715,0,0.05,1.2666666666666666,22.433155080213904,3.6637073863636362,0.3084370677731674,0,-0.05529146860145109,0.28703134603564845,0.2557052888196655,0,0.8015128248876756,0,0.19674732249107496,0.9840425531914894,0,-0.001996662295863631,0.27427208197266273,0.02193645990922844,0.46122716832549493,0.5921167883211679
2019-12-31,CBOE,2019,FY,-0.16648491457651762,0.988795518207283,-0.033783783783783786,-0.1850712887894884,0,0.039473684210526314,-0.11130612841889717,0.31070496083550914,-0.0034554506948056775,-0.07574700616207418,-0.03164384803699338,-0.2900232018561485,-0.08493589743589744,0.12543460818400642,-0.028249196730856317,0,-0.03892125540311971,0.640625,-1,-0.024390243902439025,-0.47058823529411764,-0.33570159857904086,-0.527437489511663,-0.05242463958060288,0,-0.08493589743589744,0.23538344722854973,-0.004986186914628394,0,-0.15466346153846153,0,0.17419655333022824,2.2695652173913046,0,0.035359456957729095,-0.03892125540311971,0.0844954881050041,-0.24773737041303276,-0.2715090928427098
2018-12-31,CBOE,2018,FY,0.9170731707317074,-0.2452431289640592,0.6289308176100629,0.5253731343283582,0,0.6170212765957447,0.5656056789558049,-0.027918781725888325,-0.005909728891187117,-0.09586881110059918,-0.04303687635574837,0.04232164449818621,-0.10528471937730438,0.1318783375899698,-0.03969765997100849,0,0.01050192756898418,-0.7037037037037037,0,0.5769230769230769,-0.44805194805194803,-0.2453083109919571,0.7841317365269461,-0.2603602875838113,0,-0.10528471937730438,0.3863157894736842,-0.18505298995112843,0,-0.034847570878381515,0,0.2968891573542736,-0.7731755424063116,0,0.04192117276409696,0.01050192756898418,-0.06230769230769231,-0.018175943129493496,-0.1408077485380117
2017-12-31,CBOE,2017,FY,0.4748504594133487,0,0.9609455292908531,0.7983128834355828,0,3.607843137254902,0.82651648549285,0.295008956597479,101.28955720114855,25.55556486056444,130.21193146240108,0.13407292623726397,138.72524327418432,-7.557951154150679,19.28343890186327,0,10.046150618837844,5.6461538461538465,0,143.44444444444446,3.9565497264242033,1.9721115537848606,2.9108696415816775,0,0,0,0.3788098693759071,23.670803077923484,0,12.535444890371124,0.2917115177610334,0.3974807922012327,67.53543307086615,0,8.783422342158731,10.035386082382404,0.7832647462277091,0,12.247687564234328
2016-12-31,CBOE,2016,FY,-0.048458235944177676,0,-0.048438676615845014,0.35666576499719094,0,2.264,0.17132736946276172,-0.06779115727548488,2.4576094056172435,0.2079715398492691,-0.4753456978168026,0.5057402436506298,-0.34187229233377286,0.21617717862301397,0.3177395251010129,0,0.2388639978377704,2.688989784335982,0,-0.9889773423147581,-0.22692211993033093,-0.011966619430011021,0.15414138411016662,0,0,-1,0.5031524750747213,0.4432409181558675,0,0.2722964928122228,0.002157497303128371,0.17757212179649667,0.07524271844660194,0,0.22454120048527798,0.2400724554819797,0.5052653314061533,0,0.048438676615845014
2015-12-31,CBOE,2015,FY,-0.30876040209022015,0,-0.30876040209022015,0.06106903936590643,0,-0.35699588477366256,-0.16381750625750183,-0.09051135571966003,0,0.06534585885438184,0.20284518527832163,2.9211399886648852,-0.6118300796958397,4.948380492798128,0.2924016767529365,0,0.0023104915069249625,-0.36595897804965816,0,-0.0794813979706877,1.021629778672032,0.09817144339255608,0.02929434838853264,0,0,-0.6118300796958397,-0.014088445323926698,-0.17430540981224674,0,-0.06493865534916389,0.0010799136069114472,0.2787936568468554,-0.19593613933236576,0,0.038301735134983826,0.0023104915069249625,2.9211399886648852,0,0.30876040209022015
