date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,CDW,USD,0001402057,2025-02-21,2025-02-21 16:20:10,2024,FY,20998700000,16396300000,4602400000,0.2191754728,0,2707700000,218000000,2925700000,25400000,2951100000,19347400000,0,214500000,275300000,1925200000,0.091681866,1651300000,0.0786382014,-215900000,1435400000,0.0683566126,357600000,1077800000,0.0513269869,8.06,7.97,133800000,135200000,https://www.sec.gov/Archives/edgar/data/1402057/000140205725000018/0001402057-25-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205725000018/cdw-20241231.htm
2023-12-31,CDW,USD,0001402057,2024-02-26,2024-02-26 16:05:30,2023,FY,21376000000,16723600000,4652400000,0.2176459581,0,0,0,2971500000,0,2971500000,19695100000,0,226600000,270700000,1947500000,0.0911068488,1680900000,0.0786349177,-230700000,1450200000,0.0678424401,345900000,1104300000,0.051660741,8.2,8.1,134600000,136300000,https://www.sec.gov/Archives/edgar/data/1402057/000140205724000015/0001402057-24-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205724000015/cdw-20231231.htm
2022-12-31,CDW,USD,0001402057,2023-02-24,2023-02-24 16:30:45,2022,FY,23748700000,19062100000,4686600000,0.1973413282,0,2951400000,0,2951400000,0,2951400000,22013500000,0,235700000,290600000,2014100000,0.0848088527,1735200000,0.073065052,-247400000,1487800000,0.0626476397,373300000,1114500000,0.0469288845,8.24,8.14,135200000,137000000,https://www.sec.gov/Archives/edgar/data/1402057/000140205723000052/0001402057-23-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205723000052/cdw-20221231.htm
2021-12-31,CDW,USD,0001402057,2022-02-28,2022-02-28 16:19:18,2021,FY,20820800000,17252300000,3568500000,0.1713911089,0,2149500000,0,2149500000,0,2149500000,19401800000,0,150900000,191200000,1639900000,0.0787625836,1419000000,0.0681530008,-121200000,1297800000,0.0623318989,309200000,988600000,0.0474813648,7.14,7.04,138500000,140500000,https://www.sec.gov/Archives/edgar/data/1402057/000140205722000020/0001402057-22-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205722000020/cdw-20211231.htm
2020-12-31,CDW,USD,0001402057,2021-02-26,2021-02-26 16:02:24,2020,FY,18467500000,15257400000,3210100000,0.1738242859,0,2030900000,0,2030900000,0,2030900000,17288300000,0,154900000,425600000,1582800000,0.0857073237,1179200000,0.0638527142,-176900000,1002300000,0.0542737241,213800000,788500000,0.0426966292,5.53,5.45,142600000,144800000,https://www.sec.gov/Archives/edgar/data/1402057/000140205721000022/0001402057-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205721000022/cdw-20201231.htm
2019-12-31,CDW,USD,0001402057,2020-02-28,2020-02-28 16:33:20,2019,FY,18032400000,14992500000,3039900000,0.1685798895,0,1906300000,0,1906300000,0,1906300000,16898800000,0,159400000,267100000,1376200000,0.0763181828,1133600000,0.0628646215,-183900000,949700000,0.0526663117,212900000,736800000,0.0408597857,5.08,4.99,145100000,147800000,https://www.sec.gov/Archives/edgar/data/1402057/000140205720000042/0001402057-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205720000042/cdw-20191231x10k.htm
2018-12-31,CDW,USD,0001402057,2019-02-27,2019-02-27 16:44:54,2018,FY,16240500000,13533600000,2706900000,0.1666759028,0,1719600000,0,1719600000,0,1719600000,15253200000,0,148600000,265600000,1254700000,0.0772574736,987300000,0.0607924633,-146800000,840500000,0.0517533327,197500000,643000000,0.0395923771,4.26,4.19,150900000,153600000,https://www.sec.gov/Archives/edgar/data/1402057/000140205719000046/0001402057-19-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205719000046/cdw-20181231x10k.htm
2017-12-31,CDW,USD,0001402057,2018-03-01,2018-02-28 17:42:02,2017,FY,14832900000,12382700000,2450200000,0.1651868482,0,1410000000,173700000,1583700000,0,1583700000,13966400000,0,150500000,260900000,1072100000,0.072278516,866500000,0.0584174369,-205800000,660700000,0.0445428743,137600000,523100000,0.0352661988,3.37,3.31,155400000,158200000,https://www.sec.gov/Archives/edgar/data/1402057/000140205718000038/0001402057-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205718000038/cdw-20171231x10k.htm
2016-12-31,CDW,USD,0001402057,2017-03-01,2017-02-28 17:54:47,2016,FY,13672700000,11344400000,2328300000,0.1702882386,0,1345400000,162900000,1508300000,0,1508300000,12852700000,0,146500000,254500000,1074200000,0.0785653163,820000000,0.0599735239,-146800000,673200000,0.0492368003,248100000,425100000,0.0310911524,2.59,2.56,163600000,166000000,https://www.sec.gov/Archives/edgar/data/1402057/000140205717000007/0001402057-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205717000007/cdw-20161231x10k.htm
2015-12-31,CDW,USD,0001402057,2016-02-25,2016-02-24 17:48:36,2015,FY,12988700000,10872900000,2115800000,0.1628954399,0,1226000000,147800000,1373800000,0,1373800000,12246700000,0,159500000,227400000,1033900000,0.07959996,742000000,0.0571265793,-95000000,647000000,0.0498125294,243900000,403100000,0.0310346686,2.37,2.35,170300000,171800000,https://www.sec.gov/Archives/edgar/data/1402057/000140205716000057/0001402057-16-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205716000057/cdw-20151231x10k.htm
2014-12-31,CDW,USD,0001402057,2015-02-26,2015-02-26 07:01:35,2014,FY,12074500000,10153200000,1921300000,0.1591204605,0,1110300000,138000000,1248300000,0,1248300000,11401500000,0,197300000,207900000,792900000,0.0656673154,673000000,0.0557372976,-285300000,387700000,0.03210899,142800000,244900000,0.0202824134,1.44,1.42,170600000,172800000,https://www.sec.gov/Archives/edgar/data/1402057/000140205715000003/0001402057-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205715000003/cdw-20141231x10k.htm
2013-12-31,CDW,USD,0001402057,2014-03-05,2014-03-05 08:33:33,2013,FY,10768600000,9008300000,1760300000,0.163466003,0,1120900000,130800000,1251700000,0,1251700000,10260000000,0,250100000,208200000,653800000,0.0607135561,508600000,0.0472299092,-313100000,195500000,0.0181546348,62700000,132800000,0.0123321509,0.85,0.84,156600000,158700000,https://www.sec.gov/Archives/edgar/data/1402057/000140205714000002/0001402057-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000140205714000002/cdw-20131231x10k.htm
2012-12-31,CDW,USD,0001402057,2013-11-08,2013-11-08 16:37:16,2012,FY,10128200000,8458600000,1669600000,0.1648466657,0,1029500000,129500000,1159000000,0,1159000000,9617600000,0,307400000,210200000,703700000,0.0694792757,510600000,0.0504136964,-324500000,186100000,0.0183744397,67100000,119000000,0.011749373,0.82,0.82,145100000,145800000,https://www.sec.gov/Archives/edgar/data/1402057/000119312513435345/0001193125-13-435345-index.htm,https://www.sec.gov/Archives/edgar/data/1402057/000119312513435345/d626569d10ka.htm
