symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
CEG,2024-12-31,223.71,315000000,70468650000,3022000000,8412000000,75858650000
CEG,2023-12-31,116.89,323000000,37755470000,368000000,9261000000,46648470000
CEG,2022-12-31,86.21,328000000,28276879999,422000000,5768000000,33622879999
CEG,2021-12-31,42,326663937,13719885354,504000000,8196000000,21411885354
CEG,2020-12-31,42,326663937,13719885354,226000000,7212000000,20705885354
CEG,2019-12-31,42,326663937,13719885354,303000000,8294000000,21710885354
CEG,2018-12-31,42,326300000,13704600000,750000000,8893000000,21847600000
CEG,2017-12-31,42,326300000,13704600000,416000000,9046000000,22334600000
CEG,2016-12-31,42,326300000,13704600000,290000000,9995000000,23409600000
CEG,2015-12-31,42,326300000,13704600000,431000000,10240000000,23513600000
CEG,2014-12-31,42,326300000,13704600000,780000000,8232000000,21156600000
CEG,2013-12-31,42,326300000,13704600000,1258000000,7751000000,20197600000
CEG,2012-12-31,42,326300000,13704600000,671000000,0,13033600000
