date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-31,CHD,USD,0000313927,2025-02-13,2025-02-13 15:36:46,2024,FY,964100000,0,964100000,600800000,613300000,62400000,2240600000,931700000,2433200000,2888500000,5321700000,11100000,0,378000000,6642500000,0,8883100000,705100000,32400000,5300000,0,573100000,1315900000,2373100000,0,669200000,164100000,3206400000,0,168500000,4522300000,0,293700000,6319700000,-30900000,-2221700000,4360800000,4360800000,8883100000,0,8883100000,11100000,2405500000,1441400000,https://www.sec.gov/Archives/edgar/data/313927/000095017025019801/0000950170-25-019801-index.htm,https://www.sec.gov/Archives/edgar/data/313927/000095017025019801/chd-20241231.htm
2023-12-31,CHD,USD,0000313927,2024-02-15,2024-02-15 15:17:58,2023,FY,344500000,0,344500000,526900000,613300000,45000000,1529700000,927700000,2431500000,3302300000,5733800000,12000000,0,366000000,7039500000,0,8569200000,630600000,228500000,7200000,0,555700000,1422000000,2377100000,0,743100000,171600000,3291800000,0,174900000,4713800000,0,293700000,6012300000,-27200000,-2423400000,3855400000,3855400000,8569200000,0,8569200000,12000000,2605600000,2261100000,https://www.sec.gov/Archives/edgar/data/313927/000095017024015810/0000950170-24-015810-index.htm,https://www.sec.gov/Archives/edgar/data/313927/000095017024015810/chd-20231231.htm
2022-12-31,CHD,USD,0000313927,2023-02-16,2023-02-16 16:28:52,2022,FY,270300000,0,270300000,422000000,646600000,57000000,1395900000,761100000,2426800000,3431600000,5858400000,12700000,0,317500000,6949700000,0,8345600000,666700000,95900000,7000000,0,414200000,1183800000,2751400000,0,757000000,163499999,3671899999,0,151900000,4855700000,0,293700000,5524600000,-29300000,-2299100000,3489900000,3489900000,8345600000,0,8345600000,12700000,2847300000,2577000000,https://www.sec.gov/Archives/edgar/data/313927/000095017023003066/0000950170-23-003066-index.htm,https://www.sec.gov/Archives/edgar/data/313927/000095017023003066/chd-20221231.htm
2021-12-31,CHD,USD,0000313927,2022-02-17,2022-02-17 14:06:45,2021,FY,240600000,0,240600000,405500000,535400000,51900000,1233400000,652700000,2274500000,3494300000,5768800000,9100000,0,332500000,6763100000,0,7996500000,663800000,976600000,3300000,0,431499999,2075200000,1757300000,0,745100000,185700000,2688100000,0,146600000,4763300000,0,292800000,5366000000,-68200000,-2357400000,3233200000,3233200000,7996500000,0,7996500000,9100000,2733900000,2493300000,https://www.sec.gov/Archives/edgar/data/313927/000156459022005528/0001564590-22-005528-index.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459022005528/chd-10k_20211231.htm
2020-12-31,CHD,USD,0000313927,2021-02-18,2021-02-18 16:14:12,2020,FY,183100000,0,183100000,398800000,495400000,35100000,1112400000,612800000,2229600000,3110200000,5339800000,9100000,0,340400000,6302100000,0,7414500000,588100000,376400000,12700000,0,411400000,1388600000,1980800000,0,707300000,317400000,3005500000,0,168300000,4394100000,0,292800000,4786000000,-77600000,-1980800000,3020400000,3020400000,7414500000,0,7414500000,9100000,2357200000,2174100000,https://www.sec.gov/Archives/edgar/data/313927/000156459021006669/0001564590-21-006669-index.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459021006669/chd-10k_20201231.htm
2019-12-31,CHD,USD,0000313927,2020-02-18,2020-02-18 11:12:28,2019,FY,155700000,0,155700000,356400000,417400000,26900000,956400000,573000000,2079500000,2750000000,4829500000,9700000,0,288800000,5701000000,0,6657400000,473300000,269300000,7500000,0,342200000,1092300000,1954200000,0,579600000,363500000,2897300000,0,144000000,3989600000,0,292800000,4237400000,-66700000,-1795700000,2667800000,2667800000,6657400000,0,6657400000,9700000,2223500000,2067800000,https://www.sec.gov/Archives/edgar/data/313927/000156459020004956/0001564590-20-004956-index.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459020004956/chd-10k_20191231.htm
2018-12-31,CHD,USD,0000313927,2019-02-21,2019-02-21 12:35:48,2018,FY,316700000,0,316700000,345300000,382800000,33400000,1078200000,598200000,1992900000,2274000000,4266900000,8500000,0,117400000,4991000000,0,6069200000,430200000,598300000,2900000,0,294900000,1326300000,1508800000,0,576400000,203900000,2289100000,0,0,3615400000,0,292800000,3832600000,-53600000,-1618000000,2453800000,2453800000,6069200000,0,6069200000,8500000,2107100000,1790400000,https://www.sec.gov/Archives/edgar/data/313927/000156459019003587/0001564590-19-003587-index.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459019003587/chd-10k_20181231.htm
2017-12-31,CHD,USD,0000313927,2018-02-23,2018-02-23 11:47:48,2017,FY,278900000,0,278900000,345900000,330700000,44700000,1000200000,607700000,1958900000,2320500000,4279400000,9300000,0,118200000,5014600000,0,6014800000,398900000,270900000,5000000,0,260200000,935000000,2103400000,0,561200000,197200000,2861800000,0,0,3796800000,0,292800000,3479000000,-36400000,-1517400000,2218000000,2218000000,6014800000,0,6014800000,9300000,2374300000,2095400000,https://www.sec.gov/Archives/edgar/data/313927/000156459018002984/0001564590-18-002984-index.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459018002984/chd-10k_20171231.htm
2016-12-31,CHD,USD,0000313927,2017-02-24,2017-02-24 10:39:11,2016,FY,187800000,0,187800000,287000000,258200000,23800000,756800000,588600000,1444100000,1431800000,2875900000,8500000,0,124300000,3597300000,0,4354100000,331600000,426800000,6200000,0,237300000,1001900000,693400000,0,512200000,168699999,1374299999,0,0,2376200000,0,292800000,2926000000,-63800000,-1177100000,1977900000,1977900000,4354100000,0,4354100000,8500000,1120200000,932400000,https://www.sec.gov/Archives/edgar/data/313927/000156459017002326/0001564590-17-002326-index.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459017002326/chd-10k_20161231.htm
2015-12-31,CHD,USD,0000313927,2016-02-19,2016-02-19 12:27:20,2015,FY,330000000,0,330000000,276200000,274000000,25800000,906000000,609600000,1354900000,1269500000,2624400000,8400000,0,108500000,3350900000,0,4256900000,293900000,357200000,7200000,0,214400000,872700000,692800000,0,484800000,183399999,1360999999,0,0,2233700000,0,146400000,2650000000,-45900000,-727300000,2023200000,2023200000,4256900000,0,4256900000,8400000,1050000000,720000000,https://www.sec.gov/Archives/edgar/data/313927/000156459016012917/0001564590-16-012917-index.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459016012917/chd-10k_20151231.htm
