date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2024-12-31,CHTR,USD,0001091667,2025-01-31,2025-01-31 07:02:28,2024,FY,5853000000,8673000000,-87000000,651000000,-1048000000,-129000000,0,-310000000,-609000000,388000000,14430000000,-11269000000,-189000000,0,0,615000000,-10843000000,-2749000000,32000000,-1213000000,0,140000000,-3790000000,0,-203000000,506000000,709000000,14430000000,-11269000000,3161000000,https://www.sec.gov/Archives/edgar/data/1091667/000109166725000034/0001091667-25-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166725000034/chtr-20241231.htm
2023-12-31,CHTR,USD,0001091667,2024-02-02,2024-02-02 07:03:03,2023,FY,5261000000,8696000000,-80000000,692000000,-447000000,-44000000,0,169000000,-572000000,311000000,14433000000,-11115000000,-427000000,0,0,-12000000,-11554000000,92000000,22000000,-3215000000,0,286000000,-2815000000,0,64000000,709000000,645000000,14433000000,-10943000000,3490000000,https://www.sec.gov/Archives/edgar/data/1091667/000109166724000028/0001091667-24-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166724000028/chtr-20231231.htm
2022-12-31,CHTR,USD,0001091667,2023-01-27,2023-01-27 07:04:46,2022,FY,5849000000,8903000000,87000000,470000000,-396000000,-342000000,0,148000000,-202000000,12000000,14925000000,-9376000000,-1602000000,0,0,262000000,-10716000000,6261000000,5000000,-10277000000,0,-154000000,-4165000000,0,44000000,645000000,601000000,14925000000,-8823000000,6102000000,https://www.sec.gov/Archives/edgar/data/1091667/000109166723000024/0001091667-23-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166723000024/chtr-20221231.htm
2021-12-31,CHTR,USD,0001091667,2022-01-28,2022-01-28 07:05:57,2021,FY,5320000000,9345000000,826000000,430000000,160000000,-35000000,0,362000000,-167000000,158000000,16239000000,-7635000000,-2234000000,-128000000,0,9000000,-9988000000,8858000000,44000000,-15431000000,0,-122000000,-6651000000,0,-400000000,601000000,1001000000,16239000000,-7555000000,8684000000,https://www.sec.gov/Archives/edgar/data/1091667/000109166722000024/0001091667-22-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166722000024/chtr-20211231.htm
2020-12-31,CHTR,USD,0001091667,2021-01-29,2021-01-29 07:06:30,2020,FY,3676000000,9704000000,465000000,351000000,193000000,26000000,0,291000000,-124000000,173000000,14562000000,-7879000000,-1462000000,-183000000,0,-95000000,-9619000000,3657000000,207000000,-11217000000,0,-138000000,-7491000000,0,-2548000000,1001000000,3549000000,14562000000,-7956000000,6606000000,https://www.sec.gov/Archives/edgar/data/1091667/000109166721000022/0001091667-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166721000022/chtr-20201231.htm
2019-12-31,CHTR,USD,0001091667,2020-01-31,2020-01-31 07:08:17,2019,FY,1992000000,9926000000,320000000,315000000,-1005000000,-505000000,0,-103000000,-397000000,200000000,11748000000,-7195000000,-885000000,-148000000,0,12000000,-8216000000,6273000000,118000000,-6873000000,0,-266000000,-748000000,0,2784000000,3549000000,765000000,11748000000,-7140000000,4608000000,https://www.sec.gov/Archives/edgar/data/1091667/000109166720000024/0001091667-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166720000024/chtr12312019-10k.htm
2018-12-31,CHTR,USD,0001091667,2019-01-31,2019-01-31 07:13:55,2018,FY,1506000000,10318000000,110000000,285000000,-243000000,-98000000,-125000000,125000000,-145000000,-209000000,11767000000,-9125000000,-656000000,-21000000,0,-590000000,-10392000000,3364000000,69000000,-4399000000,0,-265000000,-1231000000,0,144000000,765000000,621000000,11767000000,-9595000000,2172000000,https://www.sec.gov/Archives/edgar/data/1091667/000109166719000029/0001091667-19-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166719000029/chtr12312018-10k.htm
2017-12-31,CHTR,USD,0001091667,2018-02-02,2018-02-02 08:07:24,2017,FY,10115000000,10588000000,-9116000000,310000000,441000000,-84000000,8611000000,449000000,-8535000000,-384000000,11954000000,-8681000000,-1674000000,-105000000,0,697000000,-9763000000,8658000000,116000000,-11715000000,0,-164000000,-3105000000,0,-914000000,621000000,1535000000,11954000000,-7870000000,4084000000,https://www.sec.gov/Archives/edgar/data/1091667/000109166718000025/0001091667-18-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166718000025/chtr12312017-10k.htm
2016-12-31,CHTR,USD,0001091667,2017-02-16,2017-02-16 07:10:06,2016,FY,3745000000,6907000000,-2958000000,492000000,980000000,-160000000,6383000000,1029000000,-6272000000,-1125000000,8041000000,-5325000000,-29028000000,0,0,581000000,-11508000000,1539000000,5086000000,-1562000000,0,-66000000,4997000000,0,-20734000000,1535000000,22269000000,8041000000,-33532000000,-25491000000,https://www.sec.gov/Archives/edgar/data/1091667/000109166717000030/0001091667-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166717000030/chtr123116-10k.htm
2015-12-31,CHTR,USD,0001091667,2016-02-10,2016-02-09 19:19:39,2015,FY,-271000000,2125000000,-65000000,78000000,321000000,5000000,1624000000,319000000,-1627000000,171000000,2359000000,-1840000000,0,-15153000000,0,-39000000,-17032000000,14683000000,30000000,-38000000,0,0,14675000000,0,2000000,5000000,3000000,2359000000,-1812000000,547000000,https://www.sec.gov/Archives/edgar/data/1091667/000109166716000396/0001091667-16-000396-index.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166716000396/chtr123115-10k.htm
