date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,dividend,paymentDate,declarationDate,recordDate
2026-01-05,81.095,81.425,80.28,81.39,81.39,205656,205656,0.295,0.36377089,81.03,"January 05, 26",0.0036377089,,,,,
2026-01-02,82.09,82.44,80.8,81.11,81.11,2229600,2229600,-0.98,-1.19,81.61,"January 02, 26",-0.0119,,,,,
2025-12-31,82.13,82.52,81.86,81.96,81.96,1059092,1059092,-0.17,-0.20699,82.1175,"December 31, 25",-0.0020699,,,,,
2025-12-30,82.09,82.64,81.89,82.47,82.47,2330700,2330700,0.38,0.46291,82.2725,"December 30, 25",0.0046291,,,,,
2025-12-29,82.58,82.66,81.93,82.2,82.2,1989419,1989419,-0.38,-0.46016,82.3425,"December 29, 25",-0.0046016,,,,,
2025-12-26,82.7,83,81.96,82.62,82.62,1237200,1237200,-0.08,-0.09673519,82.57,"December 26, 25",-0.0009673519,,,,,
2025-12-24,83.61,83.64,82.29,82.57,82.57,728545,728545,-1.04,-1.24,83.0275,"December 24, 25",-0.0124,,,,,
2025-12-23,83.45,83.61,82.56,82.88,82.88,1609553,1609553,-0.57,-0.68304,83.125,"December 23, 25",-0.0068304,,,,,
2025-12-22,83.38,84.18,82.61,83.84,83.84,1964342,1964342,0.46,0.55169,83.5025,"December 22, 25",0.0055169,,,,,
2025-12-19,82.57,83.08,82.08,82.75,82.75,3587800,3587800,0.18,0.218,82.62,"December 19, 25",0.00218,,,,,
2025-12-18,82.8,83.31,81.92,82.46,82.46,3336700,3336700,-0.34,-0.41063,82.6225,"December 18, 25",-0.0041063,,,,,
2025-12-17,82.63,84.25,82.23,82.48,82.48,3629100,3629100,-0.15,-0.18153,82.8975,"December 17, 25",-0.0018153,,,,,
2025-12-16,81.79,81.89,80.24,81.04,81.04,2061111,2061111,-0.75,-0.91698,81.24,"December 16, 25",-0.0091698,,,,,
2025-12-15,82.16,82.66,80.81,81.53,81.53,2414525,2414525,-0.63,-0.7668,81.79,"December 15, 25",-0.007668,,,,,
2025-12-12,82.28,82.92,81.54,82.08,82.08,3308543,3308543,-0.2,-0.24307,82.205,"December 12, 25",-0.0024307,,,,,
2025-12-11,81.28,82.19,80.84,82.11,82.11,2550206,2550206,0.83,1.02,81.605,"December 11, 25",0.0102,,,,,
