date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,CPAY,USD,0001175454,2025-02-27,2025-02-27 17:13:10,2024,FY,3974589000,869085000,3105504000,0.7813396555,0,616874000,380906000,997780000,320567000,1318347000,2187432000,0,383043000,351088000,2119244000,0.5331982753,1787157000,0.449645737,-402044000,1385113000,0.3484921334,381381000,1003746000,0.2525408287,14.27,13.97,70331000,71848000,https://www.sec.gov/Archives/edgar/data/1175454/000162828025008746/0001628280-25-008746-index.htm,https://www.sec.gov/Archives/edgar/data/1175454/000162828025008746/flt-20241231.htm
2023-12-31,CPAY,USD,0001175454,2023-12-31,2023-12-30 19:00:00,2023,FY,3757719000,819908000,2937811000,0.7818069951,0,603424000,340157000,943581000,337357000,1280938000,2100846000,0,348607000,336604000,2010216000,0.5349564457,1656873000,0.4409251996,-331868000,1325005000,0.3526088566,343115000,981890000,0.2612994745,13.42,13.2,73155000,74387000,,
2022-12-31,CPAY,USD,0001175454,2022-12-31,2022-12-30 19:00:00,2022,FY,3427129000,764707000,2662422000,0.7768665842,0,584135000,309082000,893217000,322564000,1215781000,1980488000,0,164662000,322282000,1762604000,0.5143092075,1446641000,0.4221145454,-170981000,1275660000,0.3722240978,321333000,954327000,0.2784625265,12.62,12.42,75598000,76862000,,
2021-12-31,CPAY,USD,0001175454,2021-12-31,2021-12-30 19:00:00,2021,FY,2833736000,559819000,2273917000,0.8024448996,0,485830000,262118000,747948000,283413000,1031361000,1591180000,0,113705000,284197000,1506710000,0.5317044354,1242556000,0.4384868597,-133748000,1108808000,0.391288391,269311000,839497000,0.2962509563,10.23,9.99,82060000,84061000,,
2020-12-31,CPAY,USD,0001175454,2020-12-31,2020-12-30 19:00:00,2020,FY,2388855000,596363000,1792492000,0.750356133,0,374678000,192732000,567410000,252817000,820227000,1416590000,0,129803000,254801000,1267130000,0.5304340364,972265000,0.4070004249,-89740000,882525000,0.3694343106,178309000,704216000,0.294792275,8.38,8.12,84005000,86719000,,
2019-12-31,CPAY,USD,0001175454,2019-12-31,2019-12-30 19:00:00,2019,FY,2648848000,530669000,2118179000,0.7996604562,0,407210000,204806000,612016000,274733000,886749000,1417418000,0,150048000,274210000,1502077000,0.5670680235,1231430000,0.4648926628,-153611000,1077819000,0.4069010377,182746000,895073000,0.3379102916,10.36,9.94,86401000,90070000,,
2018-12-31,CPAY,USD,0001175454,2018-12-31,2018-12-30 19:00:00,2018,FY,2433492000,487695000,1945797000,0.7995904651,0,389172000,182593000,571765000,283334000,855099000,1342794000,0,138494000,274609000,1508228000,0.619779313,1090698000,0.4482028295,-9298000,1095125000,0.450022026,283642000,811483000,0.3334644207,9.14,8.81,88750000,92151000,,
2017-12-31,CPAY,USD,0001175454,2017-12-31,2017-12-30 19:00:00,2017,FY,2249538000,429613000,1819925000,0.8090216747,0,387694000,283850000,671544000,264621000,936165000,1365778000,0,107146000,264560000,1265296000,0.5624692715,883760000,0.3928628901,9830000,893590000,0.3972326762,153390000,740200000,0.3290453418,8.12,7.91,91129000,93594000,,
2016-12-31,CPAY,USD,0001175454,2016-12-31,2016-12-30 19:00:00,2016,FY,1831546000,355414000,1476132000,0.8059486357,0,283625000,235788000,519413000,202566000,721979000,1077393000,0,71896000,198091000,918071000,0.5012546777,754153000,0.4117576081,-111234000,642919000,0.3510253087,190534000,452385000,0.2469962534,4.89,4.75,92597000,95213000,,
2015-12-31,CPAY,USD,0001175454,2015-12-31,2015-12-30 19:00:00,2015,FY,1702865000,331073000,1371792000,0.8055788333,0,297715000,109075000,406790000,189211000,704258000,1035331000,0,71339000,190202000,800796000,0.4702639375,667534000,0.3920064127,-131530000,536004000,0.3147659973,173573000,362431000,0.2128360146,3.85,3.85,94137922,94139000,,
2014-12-31,CPAY,USD,0001175454,2014-12-31,2014-12-30 19:00:00,2014,FY,1199390000,173337000,1026053000,0.8554790352,0,205963000,75527000,281490000,82860000,460604000,633941000,0,28856000,107246000,654160000,0.5454105837,565449000,0.4714471523,-52506000,512943000,0.4276698989,144236000,368707000,0.3074121012,4.24,4.24,86959198,86982000,,
2013-12-31,CPAY,USD,0001175454,2013-12-31,2013-12-30 19:00:00,2013,FY,895171000,134030000,761141000,0.8502744168,0,136283000,57346000,193629000,72737000,340509000,474539000,0,16461000,66198000,492767000,0.5504724796,420632000,0.4698901104,-23063000,403569000,0.4508289478,119068000,284501000,0.3178174896,3.36,3.36,84655000,84655000,,
