symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
CRL,2029-12-28,4474120317,4559034271,4509233000,1016476572,1035768195,1024453831,661081990,673628610,666270130,717519246,735264306,724857134,796234595,811346264,802483406,14.04,14.24158,13.89787,2,1
CRL,2028-12-28,4391987482,4453712687,4422850085,997816791,1011840157,1004828474,648946300,658066623,653506461,654886736,701709203,678297969.5,781617866,792602761,787110313,13.13818,13.59164,12.68472,4,2
CRL,2027-12-28,4258330526,4286216859,4272273693,967451232,973786736,970618984,629197567,633317964,631257766,445442778,731510434,588476606,757831672,762794449,760313061,11.99914,14.16887,8.62793,13,5
CRL,2026-12-28,4055643742,4085685548,4075671613,921402769,928227974,925952906,599249203,603688086,602208459,558828710,579976572,569402641,721760619,727106994,725324869,10.97775,11.23376,10.82414,11,9
CRL,2025-12-28,3995260965,4049484246,4005249118,907684390,920003391,909953601,590327234,598339096,591803052,527696509,530800385,529248447,711014628,720664448,712792165,10.24117,10.28125,10.22113,11,9
CRL,2024-12-28,4020435632,4050513705,4030461657,913403829,920237274,915681644,594046963,598491205,595528377,522628189,528320176,525474182.5,715494826,720847655,717279102,10.1831,10.23321,10.12296,12,13
CRL,2023-12-28,4046023004,4122812135,4077776000,919217031,936662773,926431002,597827673,609173795,602519396,429352395,439970726,431790000,720048469,733714209,725699376,8.40132,8.52194,8.31627,8,5
CRL,2022-12-27,3778776783,4045132261,3911954522,706617652,1059926479,883272066,543283577,814925366,679104472,387227198,580840801,484034000,469808483,704712729,587260606,10.89032,11.02638,10.74086,4,6
CRL,2021-12-27,3485257624,3556296471,3522444132,601167727,901751591,751459659,436092699,654139050,545115875,291261234,436891853,364076544,454616539,681924810,568270675,10.26456,10.3928,10.12369,5,5
CRL,2020-12-27,2859421150,2917703781,2889930197,477962927,716944392,597453660,267281575,400922361,334101968,228420640,342630959,285525800,343396496,515094744,429245620,7.85801,7.95618,7.75017,5,7
CRL,2019-12-27,2586173734,2638886853,2613767324,424860909,637291366,531076138,266044223,399066336,332555280,191087567,286631354,238859461,461681783,692522675,577102229,6.5536,6.63548,6.46366,4,6
CRL,2018-12-27,2229745803,2275193970,2253536429,370888382,556332574,463610478,240606885,360910328,300758607,164084624,246126936,205105780,368213783,552320674,460267229,5.92524,5.99927,5.84392,5,4
CRL,2017-12-27,1834868208,1872267716,1854445625,275226580,412839869,344033225,209049894,313574842,261312368,80992660,147712991,114352826,299508506,449262760,374385633,5.13316,5.19729,5.06271,5,4
CRL,2016-12-27,1638784206,1672187000,1656269474,277105552,415658329,346381941,174991578,262487368,218739473,113991082,170986625,142488854,304427434,456641151,380534293,4.46656,4.52236,4.40526,9,10
CRL,2015-12-27,1344218756,1371617520,1358561111,234377693,351566540,292972117,159962027,239943043,199952535,116268333,174402499,145335416,255486877,383230315,319358596,3.71209,3.75847,3.66114,9,8
CRL,2014-12-27,925008344,1387512517,1156260431,198246403,297369605,247808004,124387872,186581809,155484841,88769280,133153920,110961600,209228706,313843060,261535883,2.7,3.24,2.16,11,11
