date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2025-07-26,CSCO,USD,0000858877,2025-09-03,2025-09-03 16:52:59,2025,FY,9473000000,7764000000,17237000000,11462000000,3164000000,3123000000,34986000000,3414000000,59136000000,9175000000,68311000000,6878000000,7356000000,1346000000,87305000000,0,122291000000,2528000000,5607000000,0,16416000000,10513000000,35064000000,24036000000,12363000000,0,3985000000,40384000000,0,1175000000,75448000000,0,47747000000,50000000,-954000000,0,46843000000,46843000000,122291000000,0,122291000000,14642000000,29643000000,20170000000,https://www.sec.gov/Archives/edgar/data/858877/000085887725000111/0000858877-25-000111-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887725000111/csco-20250726.htm
2024-07-31,CSCO,USD,0000858877,2024-09-05,2024-09-05 16:41:20,2024,FY,9023000000,10346000000,19369000000,10023000000,3373000000,4097000000,36862000000,2090000000,58660000000,11219000000,69879000000,0,6262000000,9320000000,87551000000,0,124413000000,2304000000,11705000000,1439000000,16249000000,8887000000,40584000000,20527000000,12226000000,0,5619000000,38372000000,0,906000000,78956000000,0,45800000000,1087000000,-1430000000,0,45457000000,45457000000,124413000000,0,124413000000,10346000000,32232000000,23209000000,https://www.sec.gov/Archives/edgar/data/858877/000085887724000017/0000858877-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887724000017/csco-20240727.htm
2023-07-31,CSCO,USD,0000858877,2023-09-07,2023-09-07 16:30:09,2023,FY,10123000000,16023000000,26146000000,9206000000,3644000000,4352000000,43348000000,2085000000,38535000000,1818000000,40353000000,0,6576000000,9490000000,58504000000,0,101852000000,2313000000,1733000000,4235000000,13908000000,9120000000,31309000000,6658000000,11642000000,0,7890000000,26190000000,0,0,57499000000,0,44289000000,1639000000,-1575000000,0,44353000000,44353000000,101852000000,0,101852000000,16023000000,8391000000,-1732000000,https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/0000858877-23-000023-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/csco-20230729.htm
2022-07-31,CSCO,USD,0000858877,2022-09-08,2022-09-08 16:47:54,2022,FY,7079000000,12188000000,19267000000,10527000000,2568000000,4355000000,36717000000,1997000000,38304000000,2569000000,40873000000,0,4449000000,9966000000,57285000000,0,94002000000,2281000000,1421000000,961000000,12784000000,8193000000,25640000000,9140000000,10480000000,0,8969000000,28589000000,0,724000000,54229000000,0,42714000000,-1319000000,-1622000000,0,39773000000,39773000000,94002000000,0,94002000000,12188000000,10561000000,3482000000,https://www.sec.gov/Archives/edgar/data/858877/000085887722000013/0000858877-22-000013-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887722000013/csco-20220730.htm
2021-07-31,CSCO,USD,0000858877,2021-09-09,2021-09-09 16:39:49,2021,FY,9175000000,15343000000,24518000000,10146000000,1559000000,2889000000,39112000000,2338000000,38168000000,3619000000,41787000000,0,4360000000,9900000000,58385000000,0,97497000000,2362000000,2508000000,801000000,12148000000,8438000000,26257000000,9018000000,10016000000,0,10931000000,29965000000,0,0,56222000000,0,42346000000,-654000000,-417000000,0,41275000000,41275000000,97497000000,0,97497000000,15343000000,11526000000,2351000000,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/0000858877-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/csco-20210731.htm
2020-07-31,CSCO,USD,0000858877,2020-09-03,2020-09-03 17:05:55,2020,FY,11809000000,17610000000,29419000000,10523000000,1282000000,2349000000,43573000000,2453000000,33806000000,1576000000,35382000000,0,3990000000,9455000000,51280000000,0,94853000000,2218000000,3005000000,839000000,11406000000,7863000000,25331000000,11578000000,9040000000,0,10984000000,31602000000,0,0,56933000000,0,41202000000,-2763000000,-519000000,0,37920000000,37920000000,94853000000,0,94853000000,17610000000,14583000000,2774000000,https://www.sec.gov/Archives/edgar/data/858877/000085887720000010/0000858877-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887720000010/csco-2020725x10k.htm
2019-07-31,CSCO,USD,0000858877,2019-09-05,2019-09-05 17:17:18,2019,FY,11750000000,21663000000,33413000000,10586000000,1383000000,2373000000,47755000000,2789000000,33529000000,2201000000,35730000000,0,4065000000,7454000000,50038000000,0,97793000000,2059000000,10191000000,1149000000,10668000000,7645000000,31712000000,14475000000,7799000000,0,10236000000,32510000000,0,0,64222000000,0,40266000000,-5903000000,-792000000,0,33571000000,33571000000,97793000000,0,97793000000,21663000000,24666000000,12916000000,https://www.sec.gov/Archives/edgar/data/858877/000085887719000012/0000858877-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887719000012/csco-2019727x10k.htm
2018-07-31,CSCO,USD,0000858877,2018-09-06,2018-09-06 17:14:48,2018,FY,8934000000,37614000000,46548000000,10503000000,1846000000,2940000000,61837000000,3006000000,31706000000,2552000000,34258000000,0,3219000000,6464000000,46947000000,0,108784000000,1904000000,5238000000,1004000000,11490000000,7399000000,27035000000,20331000000,8195000000,0,10019000000,38545000000,0,0,65580000000,0,42820000000,1233000000,-849000000,0,43204000000,43204000000,108784000000,0,108784000000,37614000000,25569000000,16635000000,https://www.sec.gov/Archives/edgar/data/858877/000085887718000011/0000858877-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887718000011/csco-2018728x10k.htm
2017-07-31,CSCO,USD,0000858877,2017-09-07,2017-09-07 17:18:41,2017,FY,11708000000,58784000000,70492000000,10002000000,1616000000,1593000000,83703000000,3322000000,29766000000,2539000000,32305000000,0,4239000000,6249000000,46115000000,0,129818000000,1385000000,7992000000,98000000,10821000000,7287000000,27583000000,25725000000,7673000000,0,2700000000,36098000000,0,0,63681000000,0,45253000000,20838000000,46000000,0,66137000000,66137000000,129818000000,0,129818000000,58784000000,33717000000,22009000000,https://www.sec.gov/Archives/edgar/data/858877/000085887717000016/0000858877-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887717000016/csco-2017729x10k.htm
2016-07-31,CSCO,USD,0000858877,2016-09-08,2016-09-08 17:12:13,2016,FY,7631000000,58125000000,65756000000,10119000000,1217000000,1627000000,78719000000,3506000000,26625000000,2501000000,29126000000,0,4299000000,6002000000,42933000000,0,121652000000,1056000000,4160000000,517000000,10155000000,9023000000,24911000000,24483000000,6317000000,0,2356000000,33156000000,0,0,58067000000,0,44516000000,19396000000,-326000000,0,63586000000,63585000000,121652000000,-1000000,121652000000,58125000000,28643000000,21012000000,https://www.sec.gov/Archives/edgar/data/858877/000085887716000117/0000858877-16-000117-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887716000117/csco-2016730x10k.htm
