date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2025-10-25,CSCO,USD,0000858877,2025-11-18,2025-11-18 16:38:53,2026,Q1,8400000000,7336000000,15736000000,7912000000,3395000000,5833000000,32876000000,2248000000,59119000000,8713000000,67832000000,3719000000,7314000000,7113000000,88226000000,0,121102000000,2418000000,6725000000,0,15801000000,10507000000,35451000000,21364000000,12168000000,0,5246000000,38778000000,0,0,74229000000,0,48167000000,-364000000,-930000000,0,46873000000,46873000000,121102000000,0,121102000000,11055000000,28089000000,19689000000,https://www.sec.gov/Archives/edgar/data/858877/000085887725000171/0000858877-25-000171-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887725000171/csco-20251025.htm
2025-07-26,CSCO,USD,0000858877,2025-09-03,2025-09-03 16:52:59,2025,Q4,9473000000,7764000000,17237000000,11462000000,3164000000,3123000000,34986000000,3414000000,59136000000,9175000000,68311000000,5378000000,7356000000,2846000000,87305000000,0,122291000000,2528000000,5607000000,1857000000,16416000000,8656000000,35064000000,24036000000,12363000000,0,3985000000,40384000000,0,1175000000,75448000000,0,47747000000,50000000,-954000000,0,46843000000,46843000000,122291000000,0,122291000000,13142000000,29643000000,20170000000,https://www.sec.gov/Archives/edgar/data/858877/000085887725000111/0000858877-25-000111-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887725000111/csco-20250726.htm
2025-04-26,CSCO,USD,0000858877,2025-05-20,2025-05-20 16:35:37,2025,Q3,9666000000,7481000000,17147000000,11235000000,2832000000,102000000,31316000000,3295000000,59024000000,9643000000,68667000000,5264000000,7016000000,4224000000,88466000000,0,119782000000,2260000000,6772000000,1821000000,16081000000,7561000000,34495000000,23971000000,11910000000,0,3471000000,39352000000,0,1464000000,73847000000,0,46916000000,152000000,-1133000000,0,45935000000,45935000000,119782000000,0,119782000000,12745000000,30745000000,21118000000,https://www.sec.gov/Archives/edgar/data/858877/000085887725000033/0000858877-25-000033-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887725000033/csco-20250426.htm
2025-01-25,CSCO,USD,0000858877,2025-02-18,2025-02-18 16:34:49,2025,Q2,8556000000,8297000000,16853000000,8743000000,2927000000,6158000000,34681000000,1992000000,58719000000,10139000000,68858000000,0,6591000000,9253000000,86694000000,0,121375000000,1902000000,11775000000,1884000000,15999000000,8459000000,40019000000,20640000000,11796000000,0,3390000000,35826000000,0,1377000000,75845000000,0,46521000000,502000000,-1493000000,0,45530000000,45530000000,121375000000,0,121375000000,8297000000,32422000000,23866000000,https://www.sec.gov/Archives/edgar/data/858877/000085887725000007/0000858877-25-000007-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887725000007/csco-20250125.htm
2024-10-26,CSCO,USD,0000858877,2024-11-19,2024-11-19 16:36:14,2025,Q1,9065000000,9606000000,18671000000,7580000000,3143000000,6358000000,35752000000,2082000000,58774000000,10744000000,69518000000,0,6514000000,9467000000,87581000000,0,123333000000,1996000000,12721000000,2096000000,15615000000,8114000000,40542000000,20561000000,11887000000,0,5066000000,37514000000,0,1295000000,78056000000,0,45991000000,662000000,-1376000000,0,45277000000,45277000000,123333000000,0,123333000000,9606000000,33290000000,24225000000,https://www.sec.gov/Archives/edgar/data/858877/000085887724000030/0000858877-24-000030-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887724000030/csco-20241026.htm
2024-07-31,CSCO,USD,0000858877,2024-09-05,2024-09-05 16:41:20,2024,Q4,9023000000,10346000000,19369000000,10023000000,3373000000,4097000000,36862000000,2090000000,58660000000,11219000000,69879000000,0,6262000000,9320000000,87551000000,0,124413000000,2304000000,11705000000,1439000000,16249000000,8887000000,40584000000,20527000000,12226000000,0,5619000000,38372000000,0,906000000,78956000000,0,45800000000,1087000000,-1430000000,0,45457000000,45457000000,124413000000,0,124413000000,10346000000,32232000000,23209000000,https://www.sec.gov/Archives/edgar/data/858877/000085887724000017/0000858877-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887724000017/csco-20240727.htm
2024-04-27,CSCO,USD,0000858877,2024-05-21,2024-05-21 16:37:23,2024,Q3,10428000000,9857000000,20285000000,8570000000,3118000000,3913000000,35886000000,2000000000,58633000000,11819000000,70452000000,0,5527000000,9133000000,87112000000,0,122998000000,2054000000,12235000000,1867000000,15751000000,8201000000,40108000000,20963000000,11724000000,0,4435000000,37122000000,0,861000000,77230000000,0,45343000000,2055000000,-1630000000,0,45768000000,45768000000,122998000000,0,122998000000,9857000000,33198000000,22770000000,https://www.sec.gov/Archives/edgar/data/858877/000085887724000007/0000858877-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887724000007/csco-20240427.htm
2024-01-27,CSCO,USD,0000858877,2024-02-20,2024-02-20 16:37:31,2024,Q2,13715000000,11956000000,25671000000,8360000000,3209000000,4887000000,42127000000,2005000000,39087000000,1678000000,40765000000,0,7338000000,8939000000,59047000000,0,101174000000,1848000000,4936000000,1876000000,14011000000,8180000000,30851000000,6669000000,11760000000,0,5643000000,24072000000,0,0,54923000000,0,45002000000,2761000000,-1512000000,0,46251000000,46251000000,101174000000,0,101174000000,11956000000,11605000000,-2110000000,https://www.sec.gov/Archives/edgar/data/858877/000085887724000003/0000858877-24-000003-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887724000003/csco-20240127.htm
2023-10-28,CSCO,USD,0000858877,2023-11-21,2023-11-21 16:38:58,2024,Q1,9602000000,13921000000,23523000000,8247000000,3342000000,4547000000,39659000000,2004000000,38900000000,1914000000,40814000000,0,7102000000,9203000000,59123000000,0,98782000000,2084000000,990000000,2380000000,13812000000,7769000000,27035000000,6660000000,11847000000,0,8030000000,26537000000,0,0,53572000000,0,44546000000,2689000000,-2025000000,0,45210000000,45210000000,98782000000,0,98782000000,13921000000,7650000000,-1952000000,https://www.sec.gov/Archives/edgar/data/858877/000085887723000031/0000858877-23-000031-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887723000031/csco-20231028.htm
2023-07-31,CSCO,USD,0000858877,2023-09-07,2023-09-07 16:30:09,2023,Q4,10123000000,16023000000,26146000000,9206000000,3644000000,4352000000,43348000000,2085000000,38535000000,1818000000,40353000000,0,6576000000,9490000000,58504000000,0,101852000000,2313000000,1733000000,4235000000,13908000000,9120000000,31309000000,6658000000,11642000000,0,7890000000,26190000000,0,0,57499000000,0,44289000000,1639000000,-1575000000,0,44353000000,44353000000,101852000000,0,101852000000,16023000000,8391000000,-1732000000,https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/0000858877-23-000023-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/csco-20230729.htm
