symbol,date,marketCap
CSGP,2026-01-02,27583231000
CSGP,2025-12-31,28234075999
CSGP,2025-12-30,28494414000
CSGP,2025-12-29,28385239999
CSGP,2025-12-26,28137499000
CSGP,2025-12-24,28087111000
CSGP,2025-12-23,27982136000
CSGP,2025-12-22,27965339999
CSGP,2025-12-19,27390077000
CSGP,2025-12-18,27243111999
CSGP,2025-12-17,27222117000
CSGP,2025-12-16,26714038000
CSGP,2025-12-15,26768625000
CSGP,2025-12-12,28649777000
CSGP,2025-12-11,28330653000
CSGP,2025-12-10,28498613000
CSGP,2025-12-09,28523807000
CSGP,2025-12-08,27851967000
CSGP,2025-12-05,28557399000
CSGP,2025-12-04,28632981000
CSGP,2025-12-03,28981498000
CSGP,2025-12-02,28637180000
CSGP,2025-12-01,28561598000
CSGP,2025-11-28,28889120000
CSGP,2025-11-26,28477617999
CSGP,2025-11-25,29057080000
CSGP,2025-11-24,28364245000
CSGP,2025-11-21,28238275000
CSGP,2025-11-20,27511848000
CSGP,2025-11-19,27721798000
CSGP,2025-11-18,28053519000
CSGP,2025-11-17,28133300000
CSGP,2025-11-14,28574195000
CSGP,2025-11-13,28775747000
CSGP,2025-11-12,28981498000
CSGP,2025-11-11,28725359000
CSGP,2025-11-10,28229877000
CSGP,2025-11-07,28351648000
CSGP,2025-11-06,28284464000
CSGP,2025-11-05,29577756000
CSGP,2025-11-04,29304821000
CSGP,2025-11-03,29132661999
CSGP,2025-10-31,28893319000
CSGP,2025-10-30,29241836000
CSGP,2025-10-29,29607149000
CSGP,2025-10-28,32848777000
CSGP,2025-10-27,32802588000
CSGP,2025-10-24,32682644000
CSGP,2025-10-23,32586136000
CSGP,2025-10-22,32388924000
CSGP,2025-10-21,32246259999
CSGP,2025-10-20,31453215999
CSGP,2025-10-17,31046203999
CSGP,2025-10-16,31197259999
CSGP,2025-10-15,31549724000
CSGP,2025-10-14,31776308000
CSGP,2025-10-13,31545528000
CSGP,2025-10-10,31713368000
CSGP,2025-10-09,32531588000
CSGP,2025-10-08,33148400000
CSGP,2025-10-07,33819759999
CSGP,2025-10-06,34050540000
CSGP,2025-10-03,35582080000
CSGP,2025-10-02,35204440000
CSGP,2025-10-01,35028208000
CSGP,2025-09-30,35401652000
CSGP,2025-09-29,35342908000
CSGP,2025-09-26,35242204000
CSGP,2025-09-25,34864564000
CSGP,2025-09-24,35267380000
CSGP,2025-09-23,35796076000
CSGP,2025-09-22,36215676000
CSGP,2025-09-19,36547160000
CSGP,2025-09-18,37453496000
CSGP,2025-09-17,36870252000
CSGP,2025-09-16,36979348000
CSGP,2025-09-15,37331812000
CSGP,2025-09-12,36421280000
CSGP,2025-09-11,36530376000
CSGP,2025-09-10,36211480000
CSGP,2025-09-09,36983544000
CSGP,2025-09-08,36949976000
CSGP,2025-09-05,37537416000
CSGP,2025-09-04,37386360000
CSGP,2025-09-03,36866056000
CSGP,2025-09-02,36975152000
CSGP,2025-08-29,37550004000
CSGP,2025-08-28,37902468000
CSGP,2025-08-27,37533220000
CSGP,2025-08-26,37499652000
CSGP,2025-08-25,37977996000
CSGP,2025-08-22,38275912000
CSGP,2025-08-21,37075856000
CSGP,2025-08-20,37029700000
CSGP,2025-08-19,37323420000
CSGP,2025-08-18,36991936000
