holder,shares,dateReported,change
VANGUARD GROUP INC,80219413,2025-09-30,31087
"BlackRock, Inc.",56707009,2025-09-30,6379354
STATE STREET CORP,35280805,2025-09-30,1230074
Capital World Investors,23240070,2025-09-30,25009
FMR LLC,23081732,2025-09-30,9262356
"Aristotle Capital Management, LLC",21041806,2025-09-30,-972316
FRANKLIN RESOURCES INC,18731627,2025-09-30,1051389
"GEODE CAPITAL MANAGEMENT, LLC",18325858,2025-09-30,278595
Capital International Investors,11636836,2025-09-30,-7150289
NORTHERN TRUST CORP,11169284,2025-09-30,194728
JANUS HENDERSON GROUP PLC,10740855,2025-09-30,116279
Independent Franchise Partners LLP,10387954,2025-09-30,-3007521
Invesco Ltd.,9774248,2025-09-30,-406874
"WCM INVESTMENT MANAGEMENT, LLC",8933223,2025-09-30,-111483
MORGAN STANLEY,8809506,2025-09-30,646335
STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,7634624,2025-09-30,0
HARRIS ASSOCIATES L P,6351169,2025-09-30,-556546
WELLS FARGO & COMPANY/MN,6341305,2025-09-30,-66204
Legal & General Group Plc,5753982,2025-09-30,720469
BANK OF AMERICA CORP /DE/,5624238,2025-09-30,214887
Bank of New York Mellon Corp,5081462,2025-09-30,-175383
DIMENSIONAL FUND ADVISORS LP,4667215,2025-09-30,-177525
ALLIANCEBERNSTEIN L.P.,4381340,2025-09-30,125690
GOLDMAN SACHS GROUP INC,4380800,2025-09-30,818106
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,4335379,2025-09-30,-680137
PRINCIPAL FINANCIAL GROUP INC,4234323,2025-09-30,-247886
JPMORGAN CHASE & CO,4169715,2025-09-30,-908319
UBS ASSET MANAGEMENT AMERICAS INC,3800545,2025-09-30,-468669
Amundi,3415554,2025-09-30,1899248
PRICE T ROWE ASSOCIATES INC /MD/,3286730,2025-09-30,-68720
Lombard Odier Asset Management (Europe) Ltd,2985259,2025-09-30,2785384
DEUTSCHE BANK AG\,2839941,2025-09-30,-383557
