symbol,date,marketCap
DASH,2026-01-02,94270348690
DASH,2025-12-31,97139763280
DASH,2025-12-30,97847466430
DASH,2025-12-29,99082730110
DASH,2025-12-26,100343728450
DASH,2025-12-24,99533086660
DASH,2025-12-23,99807589700
DASH,2025-12-22,100746904790
DASH,2025-12-19,100472401750
DASH,2025-12-18,99052706340
DASH,2025-12-17,94918004300
DASH,2025-12-16,97765973340
DASH,2025-12-15,97354218780
DASH,2025-12-12,97572963390
DASH,2025-12-11,96299097720
DASH,2025-12-10,94489093300
DASH,2025-12-09,98645240890
DASH,2025-12-08,96689406730
DASH,2025-12-05,96504975000
DASH,2025-12-04,94870824090
DASH,2025-12-03,95424119280
DASH,2025-12-02,93065108780
DASH,2025-12-01,88175523380
DASH,2025-11-28,85083075070
DASH,2025-11-26,84057977780
DASH,2025-11-25,83847811390
DASH,2025-11-24,80669580880
DASH,2025-11-21,81334392930
DASH,2025-11-20,80519462030
DASH,2025-11-19,86777273520
DASH,2025-11-18,90963444880
DASH,2025-11-17,90350102150
DASH,2025-11-14,88767420560
DASH,2025-11-13,83727716310
DASH,2025-11-12,84285300610
DASH,2025-11-11,86052413930
DASH,2025-11-10,87532156880
DASH,2025-11-07,87630806410
DASH,2025-11-06,84263855060
DASH,2025-11-05,102080818000
DASH,2025-11-04,102908616230
DASH,2025-11-03,103817907550
DASH,2025-10-31,108135993810
DASH,2025-10-30,108008459910
DASH,2025-10-29,113105564780
DASH,2025-10-28,111133040460
DASH,2025-10-27,111953508550
DASH,2025-10-24,109742920949
DASH,2025-10-23,108229518670
DASH,2025-10-22,107260261030
DASH,2025-10-21,111366852610
DASH,2025-10-20,112812236810
DASH,2025-10-17,111830225780
DASH,2025-10-16,113364883710
DASH,2025-10-15,115890054930
DASH,2025-10-14,115010071020
DASH,2025-10-13,116276907759
DASH,2025-10-10,113088560259
DASH,2025-10-09,117093124720
DASH,2025-10-08,119478008650
DASH,2025-10-07,117662776139
DASH,2025-10-06,119771336620
DASH,2025-10-03,115299147860
DASH,2025-10-02,114818770169
DASH,2025-10-01,113777243320
DASH,2025-09-30,115626484870
DASH,2025-09-29,115843292500
DASH,2025-09-26,111579409110
DASH,2025-09-25,111413615040
DASH,2025-09-24,110843963620
DASH,2025-09-23,112973779750
DASH,2025-09-22,111698440750
DASH,2025-09-19,112778227770
DASH,2025-09-18,113960041910
DASH,2025-09-17,110210545250
DASH,2025-09-16,111842979169
DASH,2025-09-15,109717414169
DASH,2025-09-12,109670651740
DASH,2025-09-11,110610151470
DASH,2025-09-10,109436839590
DASH,2025-09-09,109054237889
DASH,2025-09-08,106533317800
DASH,2025-09-05,104939144050
DASH,2025-09-04,105759612140
DASH,2025-09-03,105780867790
DASH,2025-09-02,103770083300
DASH,2025-08-29,104258963250
DASH,2025-08-28,105143198290
DASH,2025-08-27,104429008450
DASH,2025-08-26,105763863270
DASH,2025-08-25,104271716640
DASH,2025-08-22,105138947160
DASH,2025-08-21,104229205340
DASH,2025-08-20,103651051660
