date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2026-01-02,69.2,69.35,69.19,69.27,69.27,1658919,1658919,0.07,0.10116,69.2525,"January 02, 26",0.0010116
2025-12-31,69.2,69.24,69.1,69.16,69.16,1295413,1295413,-0.04,-0.05780347,69.175,"December 31, 25",-0.0005780347
2025-12-30,69.19,69.22,69.19,69.22,69.22,2151521,2151521,0.03,0.04335887,69.205,"December 30, 25",0.0004335887
2025-12-29,69.2,69.24,69.14,69.22,69.22,1789233,1789233,0.02,0.02890173,69.2,"December 29, 25",0.0002890173
2025-12-26,69.14,69.21,69.08,69.16,69.16,1098210,1098210,0.02,0.02892682,69.1475,"December 26, 25",0.0002892682
2025-12-24,69.15,69.16,69.12,69.14,69.14,500800,500800,-0.01,-0.01446132,69.1425,"December 24, 25",-0.0001446132
2025-12-23,69.18,69.2,69.11,69.14,69.14,1778900,1778900,-0.04,-0.05782018,69.1575,"December 23, 25",-0.0005782018
2025-12-22,69.26,69.3,69.06,69.18,69.18,1791411,1791411,-0.08,-0.11551,69.2,"December 22, 25",-0.0011551
2025-12-19,69.3,69.33,69.24,69.27,69.27,2824825,2824825,-0.03,-0.04329004,69.285,"December 19, 25",-0.0004329004
2025-12-18,69.3,69.34,69.23,69.27,69.27,2542300,2542300,-0.03,-0.04329004,69.285,"December 18, 25",-0.0004329004
2025-12-17,69.35,69.35,69.21,69.22,69.22,2746124,2746124,-0.13,-0.18745,69.2825,"December 17, 25",-0.0018745
2025-12-16,69.31,69.38,69.19,69.2,69.2,2689838,2689838,-0.11,-0.15871,69.27,"December 16, 25",-0.0015871
2025-12-15,69.3,69.41,69.26,69.29,69.29,5098500,5098500,-0.01,-0.01443001,69.315,"December 15, 25",-0.0001443001
2025-12-12,69.2,69.27,69.15,69.26,69.26,2394300,2394300,0.06,0.0867052,69.22,"December 12, 25",0.000867052
2025-12-11,69.15,69.22,69.12,69.16,69.16,3300202,3300202,0.01,0.01446132,69.1625,"December 11, 25",0.0001446132
2025-12-10,68.95,69.29,68.91,69.15,69.15,10085100,10085100,0.2,0.29007,69.075,"December 10, 25",0.0029007
2025-12-09,69,69.07,68.91,68.95,68.95,4124348,4124348,-0.05,-0.07246377,68.9825,"December 09, 25",-0.0007246377
2025-12-08,69.08,69.15,68.95,69.03,69.03,2384400,2384400,-0.05,-0.07237985,69.0525,"December 08, 25",-0.0007237985
2025-12-05,69.15,69.15,68.98,69.07,69.07,5955847,5955847,-0.08,-0.11569,69.0875,"December 05, 25",-0.0011569
2025-12-04,69.15,69.18,69.08,69.11,69.11,6982200,6982200,-0.04,-0.05784526,69.13,"December 04, 25",-0.0005784526
2025-12-03,69.11,69.2,69.09,69.1,69.1,3621940,3621940,-0.01,-0.01446969,69.125,"December 03, 25",-0.0001446969
2025-12-02,69.15,69.24,69.11,69.11,69.11,2339618,2339618,-0.04,-0.05784526,69.1525,"December 02, 25",-0.0005784526
2025-12-01,69.04,69.19,69.01,69.12,69.12,3091400,3091400,0.08,0.11587,69.09,"December 01, 25",0.0011587
2025-11-28,69.05,69.1,69.02,69.1,69.1,1190724,1190724,0.05,0.0724113,69.0675,"November 28, 25",0.000724113
2025-11-26,69,69.11,68.98,69,69,2576525,2576525,0,0,69.0225,"November 26, 25",0
2025-11-25,69,69.13,69,69.07,69.07,2314100,2314100,0.07,0.10145,69.05,"November 25, 25",0.0010145
2025-11-24,68.87,69.05,68.87,68.95,68.95,2160427,2160427,0.08,0.11616,68.935,"November 24, 25",0.0011616
2025-11-21,68.98,68.98,68.81,68.85,68.85,2365600,2365600,-0.13,-0.18846,68.905,"November 21, 25",-0.0018846
2025-11-20,69.1,69.12,68.84,68.87,68.87,3561700,3561700,-0.23,-0.33285,68.9825,"November 20, 25",-0.0033285
2025-11-19,68.87,69.08,68.87,68.97,68.97,2886653,2886653,0.1,0.1452,68.9475,"November 19, 25",0.001452
2025-11-18,68.8,69.02,68.8,68.97,68.97,3030900,3030900,0.17,0.24709,68.8975,"November 18, 25",0.0024709
2025-11-17,69,69.06,68.8,68.83,68.83,2167400,2167400,-0.17,-0.24638,68.9225,"November 17, 25",-0.0024638
2025-11-14,68.87,69.07,68.84,69,69,1842365,1842365,0.13,0.18876,68.945,"November 14, 25",0.0018876
2025-11-13,68.95,68.99,68.86,68.91,68.91,2130839,2130839,-0.04,-0.05801305,68.9275,"November 13, 25",-0.0005801305
2025-11-12,68.8,69.17,68.71,68.99,68.99,5529200,5529200,0.19,0.27616,68.9175,"November 12, 25",0.0027616
2025-11-11,68.65,68.8,68.6,68.8,68.8,2896100,2896100,0.15,0.2185,68.7125,"November 11, 25",0.002185
2025-11-10,68.55,68.69,68.44,68.6,68.6,4264700,4264700,0.05,0.07293946,68.57,"November 10, 25",0.0007293946
2025-11-07,68.41,68.6,68.33,68.35,68.35,3595343,3595343,-0.06,-0.08770648,68.4225,"November 07, 25",-0.0008770648
2025-11-06,68.56,68.69,68.39,68.52,68.52,5372121,5372121,-0.04,-0.05834306,68.54,"November 06, 25",-0.0005834306
2025-11-05,68.75,68.8,68.53,68.54,68.54,7780633,7780633,-0.21,-0.30545,68.655,"November 05, 25",-0.0030545
2025-11-04,68.7,68.84,68.61,68.61,68.61,2995600,2995600,-0.09,-0.131,68.69,"November 04, 25",-0.00131
2025-11-03,68.42,68.81,68.42,68.69,68.69,2116827,2116827,0.27,0.39462,68.585,"November 03, 25",0.0039462
2025-10-31,68.8,68.98,68.68,68.74,68.74,8343400,8343400,-0.06,-0.0872093,68.8,"October 31, 25",-0.000872093
