symbol,date,analystRatingsbuy,analystRatingsHold,analystRatingsSell,analystRatingsStrongSell,analystRatingsStrongBuy
DELL,2026-01-01,14,6,1,0,5
DELL,2025-12-01,14,7,1,0,5
DELL,2025-11-01,15,7,1,0,5
DELL,2025-10-01,15,5,0,0,5
DELL,2025-09-01,15,5,0,0,4
DELL,2025-08-01,15,5,1,0,4
DELL,2025-07-01,16,5,0,0,5
DELL,2025-06-01,15,5,0,0,6
DELL,2025-05-01,14,4,0,0,7
DELL,2025-04-01,14,3,0,0,7
DELL,2025-03-01,14,4,0,0,8
DELL,2025-02-01,13,4,0,1,7
DELL,2025-01-01,14,3,0,1,7
DELL,2024-12-01,14,3,0,1,7
DELL,2024-11-01,17,5,0,1,7
DELL,2024-10-01,17,5,0,0,7
DELL,2024-09-01,17,5,1,0,7
DELL,2024-08-01,13,7,1,0,5
DELL,2024-07-01,14,7,1,0,4
DELL,2024-06-01,14,7,1,0,4
DELL,2024-05-01,9,7,0,0,4
DELL,2024-04-01,9,7,0,0,4
DELL,2024-03-01,9,7,0,0,4
DELL,2024-02-01,9,7,0,0,4
DELL,2024-01-01,9,7,0,0,4
DELL,2023-12-01,9,7,0,0,4
DELL,2023-11-01,9,7,0,0,4
DELL,2023-10-01,9,7,0,0,4
DELL,2023-09-01,9,7,0,0,4
DELL,2023-08-01,9,7,0,0,4
DELL,2023-07-01,9,7,0,0,4
DELL,2023-06-01,9,7,0,0,4
DELL,2023-05-01,9,7,0,0,4
DELL,2023-04-01,9,7,0,0,4
DELL,2023-03-01,9,7,0,0,4
DELL,2023-02-01,9,7,0,0,4
DELL,2023-01-01,0,0,0,0,0
DELL,2022-12-01,0,0,0,0,0
DELL,2022-11-01,0,0,0,0,0
DELL,2022-10-01,0,0,0,0,0
DELL,2022-09-01,8,8,0,0,4
DELL,2022-08-01,0,0,0,0,0
DELL,2022-07-01,8,7,0,0,4
DELL,2022-06-01,0,0,0,0,0
DELL,2022-05-01,11,5,0,0,5
DELL,2022-04-01,0,0,0,0,0
DELL,2022-03-01,0,0,0,0,0
DELL,2022-02-01,0,0,0,0,0
DELL,2022-01-01,0,0,0,0,0
DELL,2021-12-01,0,0,0,0,0
DELL,2021-11-01,0,0,0,0,0
DELL,2021-10-01,0,0,0,0,0
DELL,2021-09-01,0,0,0,0,0
DELL,2021-08-01,0,0,0,0,0
DELL,2021-07-01,0,0,0,0,0
DELL,2021-06-01,0,0,0,0,0
DELL,2021-05-01,0,0,0,0,0
DELL,2021-04-01,0,0,0,0,0
DELL,2021-03-01,0,0,0,0,0
DELL,2021-02-01,8,8,0,0,3
DELL,2021-01-01,8,8,0,0,3
DELL,2020-12-01,0,0,0,0,0
DELL,2020-06-01,9,10,0,0,5
DELL,2020-05-01,9,10,0,0,5
DELL,2020-04-01,9,10,0,0,5
DELL,2020-03-01,9,10,0,0,5
DELL,2020-02-01,9,10,0,0,5
DELL,2020-01-01,9,9,0,0,5
DELL,2019-12-01,9,9,0,0,6
DELL,2019-11-01,8,8,0,0,7
DELL,2019-10-01,8,8,0,0,7
DELL,2019-09-01,9,7,0,0,7
DELL,2019-08-01,8,7,0,0,7
DELL,2019-07-01,9,6,0,0,6
DELL,2019-06-01,9,6,0,0,6
DELL,2019-05-01,7,6,0,0,6
DELL,2019-04-01,7,5,0,0,6
DELL,2019-03-01,7,5,0,0,6
DELL,2019-02-01,7,4,0,0,6
