date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2025-01-31,DELL,USD,0001571996,2025-03-25,2025-03-25 16:21:05,2025,FY,95567000000,74317000000,21250000000,0.2223570898,3061000000,0,0,11952000000,0,15013000000,89330000000,160000000,1414000000,3123000000,9585000000,0.1002961273,6237000000,0.0652631138,-1189000000,5048000000,0.0528215807,472000000,4592000000,0.0480500591,6.51,6.38,696130000,724000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199625000034/0001571996-25-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199625000034/dell-20250131.htm
2024-01-31,DELL,USD,0001571996,2024-03-25,2024-03-25 16:20:07,2024,FY,88425000000,67356000000,21069000000,0.2382697201,2801000000,11435000000,900000000,12335000000,522000000,15658000000,83014000000,329000000,1501000000,3303000000,8891000000,0.1005484874,5411000000,0.0611931015,-1324000000,4087000000,0.0462199604,715000000,3388000000,0.0383149562,4.71,4.6,736000000,736000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000036/0001571996-24-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000036/dell-20240202.htm
2023-01-31,DELL,USD,0001571996,2023-03-30,2023-03-30 16:19:36,2023,FY,102301000000,79615000000,22686000000,0.2217573631,2779000000,12673000000,1100000000,13773000000,363000000,16915000000,96530000000,100000000,1281000000,3156000000,7662000000,0.0748966286,5771000000,0.0564119608,-2546000000,3225000000,0.0315246185,803000000,2442000000,0.0238707344,3.33,3.24,734000000,753000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000007/0001571996-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000007/dell-20230203.htm
2022-01-31,DELL,USD,0001571996,2022-03-24,2022-03-24 16:29:54,2022,FY,101197000000,79306000000,21891000000,0.2163206419,2577000000,13257000000,1300000000,14557000000,98000000,17232000000,96538000000,62000000,1542000000,4551000000,12016000000,0.1187386978,4659000000,0.0460389142,1264000000,5923000000,0.058529403,981000000,5563000000,0.0549719853,7.3,7.02,762000000,791000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199622000009/0001571996-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199622000009/dell-20220128.htm
2021-01-31,DELL,USD,0001571996,2021-03-26,2021-03-26 16:45:18,2021,FY,86670000000,66530000000,20140000000,0.2323756779,2455000000,13000000000,1000000000,14000000000,0,16455000000,82985000000,148000000,2052000000,5390000000,9788000000,0.1129341179,3685000000,0.0425175955,-1339000000,2346000000,0.0270681897,101000000,3250000000,0.0374985577,4.37,4.22,744000000,767000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199621000007/0001571996-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199621000007/dell-20210129.htm
2020-01-31,DELL,USD,0001571996,2020-03-27,2020-03-27 08:32:26,2020,FY,84815000000,64176000000,20639000000,0.2433413901,2454000000,0,0,15819000000,0,18273000000,82449000000,99000000,2396000000,6143000000,8488000000,0.1000766374,2366000000,0.027896009,-2417000000,-51000000,-0.0006013087,-572000000,4616000000,0.0544243353,6.38,6.03,724000000,751000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199620000017/0001571996-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199620000017/delltechnologiesfy2010k.htm
2019-01-31,DELL,USD,0001571996,2019-03-29,2019-03-29 16:47:53,2019,FY,90621000000,65568000000,25053000000,0.2764590989,4604000000,0,0,20640000000,0,25244000000,90812000000,313000000,2619000000,7746000000,8004000000,0.0883238984,-191000000,-0.0021076792,-2170000000,-2361000000,-0.0260535637,-180000000,-2310000000,-0.0254907803,-2.96,-2.96,719000000,719000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199619000008/0001571996-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199619000008/delltechnologiesfy1910k.htm
2018-01-31,DELL,USD,0001571996,2018-03-29,2018-03-29 09:12:59,2018,FY,79040000000,58503000000,20537000000,0.2598304656,4384000000,0,0,18569000000,0,22953000000,81456000000,207000000,2519000000,8634000000,6384000000,0.0807692308,-2416000000,-0.0305668016,-2353000000,-4769000000,-0.0603365385,-1843000000,-2849000000,-0.0360450405,-3.7,-3.7,770000000,718435000,https://www.sec.gov/Archives/edgar/data/1571996/000157199618000004/0001571996-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199618000004/delltechnologiesfy1810k.htm
2017-01-31,DELL,USD,0001571996,2017-03-31,2017-03-31 08:33:13,2017,FY,62164000000,48515000000,13649000000,0.2195643781,2636000000,0,0,13403000000,0,16039000000,64554000000,102000000,1796000000,4938000000,2591000000,0.0416800721,-2390000000,-0.0384466894,-2104000000,-4494000000,-0.0722926453,-1420000000,-1167000000,-0.0187729232,-1.62,-1.62,718435000,718435000,https://www.sec.gov/Archives/edgar/data/1571996/000157199617000004/0001571996-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199617000004/delltechnologiesfy1710k.htm
2016-01-31,DELL,USD,0001571996,2016-01-31,2016-01-30 19:00:00,2016,FY,50911000000,42524000000,8387000000,0.1647384652,1051000000,0,0,7850000000,0,8901000000,51425000000,39000000,702000000,2872000000,2288000000,0.0449411718,-514000000,-0.01009605,-772000000,-1286000000,-0.025259767,-118000000,-1104000000,-0.0216849011,-1.54,-1.54,718435000,718435000,,
