date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,DLR,USD,0001297996,2025-02-25,2025-02-24 21:40:43,2024,FY,5554968000,2519115000,3035853000,0.546511339,0,480023000,0,480023000,2083966000,2563989000,5083104000,0,452836000,1771797000,2867720000,0.516244198,471864000,0.0849445037,171223000,643087000,0.1157679036,54760000,602490000,0.1084596707,1.74,1.61,323336000,331547000,https://www.sec.gov/Archives/edgar/data/1297996/000155837025001424/0001558370-25-001424-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837025001424/dlr-20241231x10k.htm
2023-12-31,DLR,USD,0001297996,2024-02-23,2024-02-23 07:24:51,2023,FY,5477061000,2598071000,2878990000,0.5256450494,0,0,0,449056000,1905473000,2354529000,4952600000,0,0,1694859000,3158491000,0.5766762503,524461000,0.0957559173,501430000,1025891000,0.1873068421,75579000,948838000,0.1732385307,3.04,3,298603000,309065000,https://www.sec.gov/Archives/edgar/data/1297996/000155837024001575/0001558370-24-001575-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837024001575/dlr-20231231x10k.htm
2022-12-31,DLR,USD,0001297996,2023-02-27,2023-02-24 21:24:08,2022,FY,4691834000,2017562000,2674272000,0.5699843601,0,0,0,422167000,1662137000,2084304000,4101866000,0,0,1577933000,2288940000,0.4878561347,589968000,0.1257435792,-178093000,411875000,0.0877855014,31550000,377684000,0.0804981591,1.18,1.11,286334000,297919000,https://www.sec.gov/Archives/edgar/data/1297996/000155837023002087/0001558370-23-002087-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837023002087/dlr-20221231x10k.htm
2021-12-31,DLR,USD,0001297996,2022-02-25,2022-02-25 17:19:45,2021,FY,4427882000,1778320000,2649562000,0.598381348,0,0,0,400654000,1554899000,1955553000,3733873000,0,0,1486632000,3600689000,0.8131854011,694009000,0.15673611,1126202000,1820211000,0.4110793829,72799000,1709259000,0.3860218046,5.95,5.94,282474927,283221968,https://www.sec.gov/Archives/edgar/data/1297996/000155837022002195/0001558370-22-002195-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837022002195/dlr-20211231x10k.htm
2020-12-31,DLR,USD,0001297996,2021-03-01,2021-03-01 17:05:19,2020,FY,3903609000,1514116000,2389493000,0.6121240626,0,0,0,351369000,1480598000,1831967000,3346083000,0,0,1366379000,2100177000,0.5380090578,557526000,0.1428232182,-156749000,400777000,0.1026683256,38047000,356398000,0.0912996153,1.01,1,260098978,262522508,https://www.sec.gov/Archives/edgar/data/1297996/000155837021002191/0001558370-21-002191-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837021002191/dlr-20201231x10k.htm
2019-12-31,DLR,USD,0001297996,2020-03-02,2020-03-02 17:20:37,2019,FY,3209241000,1192761000,2016480000,0.6283354849,0,0,0,211097000,1211168000,1422265000,2615026000,0,0,1163774000,2128047000,0.6630997797,594215000,0.1851574874,17001000,611216000,0.1904550017,11995000,579761000,0.1806536187,2.37,2.35,208325823,209462247,https://www.sec.gov/Archives/edgar/data/1297996/000155837020001906/0001558370-20-001906-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837020001906/dlr-20191231x10kabe894.htm
2018-12-31,DLR,USD,0001297996,2019-02-25,2019-02-25 17:29:13,2018,FY,3046478000,1097983000,1948495000,0.6395893881,0,0,0,163667000,1235041000,1398708000,2496691000,0,0,1186896000,1851624000,0.607791686,549787000,0.1804664271,-206588000,343199000,0.1126543504,2084000,331246000,0.1087308032,1.21,1.21,206035408,206673471,https://www.sec.gov/Archives/edgar/data/1297996/000129799619000032/0001297996-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000129799619000032/dlrq412311810kss.htm
2017-12-31,DLR,USD,0001297996,2018-03-01,2018-02-28 21:30:27,2017,FY,2457928000,894611000,1563317000,0.6360304289,0,0,0,161441000,950581000,1112022000,2006633000,0,0,842464000,1365274000,0.5554572795,451295000,0.1836079006,-187127000,264168000,0.1074758903,7901000,248259000,0.1010033654,0.99,0.99,174059386,174895098,https://www.sec.gov/Archives/edgar/data/1297996/000129799618000026/0001297996-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000129799618000026/dlr12311710k.htm
2016-12-31,DLR,USD,0001297996,2017-03-01,2017-03-01 16:49:18,2016,FY,2142213000,762674000,1379539000,0.6439784466,0,0,0,162225000,720028000,882253000,1644927000,0,0,699324000,1382605000,0.6454096768,497286000,0.2321365803,-55049000,442237000,0.2064393223,10385000,426187000,0.1989470702,2.21,2.2,149953662,150679688,https://www.sec.gov/Archives/edgar/data/1297996/000129799617000020/0001297996-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000129799617000020/dlr12311610k.htm
2015-12-31,DLR,USD,0001297996,2016-09-28,2016-09-28 17:02:03,2015,FY,1763336000,642473000,1120863000,0.6356491332,0,0,0,114358000,604594000,718952000,1361425000,0,0,570527000,1082385000,0.6138279942,401911000,0.2279264984,-93869000,215685000,0.1223164502,6451000,204332000,0.1158780856,1.57,1.56,138247606,138865421,https://www.sec.gov/Archives/edgar/data/1297996/000129799616000260/0001297996-16-000260-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000129799616000260/dlr12311510k_am2.htm
2014-12-31,DLR,USD,0001297996,2015-03-02,2015-03-02 17:07:00,2014,FY,1617587000,594678000,1021760000,0.6316569062,0,0,0,101831000,661263000,763094000,1357772000,2663000,0,538513000,938251000,0.5800312441,258666000,0.1599085552,-50013000,208653000,0.12899028,5238000,200183000,0.1237540856,1,1,133369047,133637235,https://www.sec.gov/Archives/edgar/data/1297996/000129799615000010/0001297996-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000129799615000010/dlr12311410k.htm
2013-12-31,DLR,USD,0001297996,2014-03-03,2014-02-28 21:05:59,2013,FY,1482259000,546917000,935342000,0.6310246725,0,0,0,74396000,479134000,553530000,1100447000,139000,0,475464000,986604000,0.6656083721,381812000,0.2575879114,-60071000,321741000,0.2170612558,1292000,314488000,0.2121680489,2.12,2.12,127941134,128127641,https://www.sec.gov/Archives/edgar/data/1297996/000119312514078397/0001193125-14-078397-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312514078397/d681374d10k.htm
2012-12-31,DLR,USD,0001297996,2013-02-28,2013-02-28 17:28:11,2012,FY,1274520000,452298000,826769000,0.6486904874,0,0,0,66809000,393882000,460691000,912989000,1892000,0,382553000,758355000,0.5950122399,366078000,0.2872281329,-147384000,218694000,0.1715893042,2647000,210334000,0.1650299721,1.48,1.48,115717667,116006577,https://www.sec.gov/Archives/edgar/data/1297996/000119312513084894/0001193125-13-084894-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312513084894/d476084d10k.htm
2011-12-31,DLR,USD,0001297996,2012-02-28,2012-02-27 21:46:42,2011,FY,1062710000,380583000,682127000,0.6418750176,0,0,0,61648000,316169000,377817000,758400000,3260000,0,302488000,621859000,0.585163403,304310000,0.286352815,-142226000,162084000,0.152519502,-42000,156265000,0.1470438784,1.33,1.32,98405375,99169749,https://www.sec.gov/Archives/edgar/data/1297996/000119312512082659/0001193125-12-082659-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000119312512082659/d263690d10k.htm
