symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
DOW,2024-12-31,40.13,703800000,28243494000,2189000000,17645000000,43699494000
DOW,2023-12-31,54.84,705700000,38700588000,2987000000,16447000000,52160588000
DOW,2022-12-31,50.39,721000000,36331190000,3886000000,16706000000,49151190000
DOW,2021-12-31,56.72,743600000,42176992000,2988000000,16135000000,55323992000
DOW,2020-12-31,55.5,740500000,41097750000,5104000000,19044000000,55037750000
DOW,2019-12-31,54.73,742500000,40637025000,2367000000,19156000000,57426025000
DOW,2018-12-31,49.8,747200000,37210560000,2724000000,19899000000,54385560000
DOW,2017-12-31,49.8,742662124,36984573775,6188000000,21001000000,51797573775
DOW,2016-12-31,49.8,750000000,37350000000,0,0,37350000000
DOW,2015-12-31,49.8,750000000,37350000000,0,0,37350000000
