symbol,date,marketCap
DXCM,2026-01-02,26023794000
DXCM,2025-12-31,25957307000
DXCM,2025-12-30,26227166000
DXCM,2025-12-29,26387517000
DXCM,2025-12-26,26426626999
DXCM,2025-12-24,26367962000
DXCM,2025-12-23,26148946000
DXCM,2025-12-22,26371873000
DXCM,2025-12-19,25836066000
DXCM,2025-12-18,25777401000
DXCM,2025-12-17,25714825000
DXCM,2025-12-16,25957307000
DXCM,2025-12-15,25707003000
DXCM,2025-12-12,26188055999
DXCM,2025-12-11,26962434000
DXCM,2025-12-10,26422716000
DXCM,2025-12-09,25941663000
DXCM,2025-12-08,25663982000
DXCM,2025-12-05,25613138999
DXCM,2025-12-04,25519275000
DXCM,2025-12-03,25362834999
DXCM,2025-12-02,25206395000
DXCM,2025-12-01,24842672000
DXCM,2025-11-28,24823117000
DXCM,2025-11-26,24455483000
DXCM,2025-11-25,24126959000
DXCM,2025-11-24,24330331000
DXCM,2025-11-21,23555953000
DXCM,2025-11-20,22848062000
DXCM,2025-11-19,23360403000
DXCM,2025-11-18,23532487000
DXCM,2025-11-17,22875439000
DXCM,2025-11-14,22707266000
DXCM,2025-11-13,23356492000
DXCM,2025-11-12,23313471000
DXCM,2025-11-11,22734643000
DXCM,2025-11-10,21447924000
DXCM,2025-11-07,21510500000
DXCM,2025-11-06,22691622000
DXCM,2025-11-05,23184408000
DXCM,2025-11-04,23927498000
DXCM,2025-11-03,23634173000
DXCM,2025-10-31,22769842000
DXCM,2025-10-30,26673020000
DXCM,2025-10-29,26665198000
DXCM,2025-10-28,27075853000
DXCM,2025-10-27,27623393000
DXCM,2025-10-24,27576393000
DXCM,2025-10-23,27862626000
DXCM,2025-10-22,27721470000
DXCM,2025-10-21,27348975000
DXCM,2025-10-20,26831403000
DXCM,2025-10-17,26113859999
DXCM,2025-10-16,26007993000
DXCM,2025-10-15,25647261000
DXCM,2025-10-14,25960940999
DXCM,2025-10-13,25564920000
DXCM,2025-10-10,25533552000
DXCM,2025-10-09,26694168000
DXCM,2025-10-08,26576538000
DXCM,2025-10-07,25890363000
DXCM,2025-10-06,26019756000
DXCM,2025-10-03,26290305000
DXCM,2025-10-02,26051124000
DXCM,2025-10-01,25909968000
DXCM,2025-09-30,26384409000
DXCM,2025-09-29,26058965999
DXCM,2025-09-26,26309909999
DXCM,2025-09-25,26780430000
DXCM,2025-09-24,26466750000
DXCM,2025-09-23,26741220000
DXCM,2025-09-22,27254871000
DXCM,2025-09-19,26447145000
DXCM,2025-09-18,29713338000
DXCM,2025-09-17,29972124000
DXCM,2025-09-16,30015255000
DXCM,2025-09-15,29634918000
DXCM,2025-09-12,29885862000
DXCM,2025-09-11,29799600000
DXCM,2025-09-10,29799600000
DXCM,2025-09-09,30740640000
DXCM,2025-09-08,30583800000
DXCM,2025-09-05,31567971000
DXCM,2025-09-04,31665996000
DXCM,2025-09-03,30944532000
DXCM,2025-09-02,29133030000
DXCM,2025-08-29,29540814000
DXCM,2025-08-28,29438868000
DXCM,2025-08-27,29948598000
DXCM,2025-08-26,29846652000
DXCM,2025-08-25,29783915999
DXCM,2025-08-22,32254146000
DXCM,2025-08-21,31611102000
DXCM,2025-08-20,32022807000
DXCM,2025-08-19,31720890000
DXCM,2025-08-18,31689521999
DXCM,2025-08-15,31740495000
DXCM,2025-08-14,31352315999
DXCM,2025-08-13,31352315999
DXCM,2025-08-12,31434657000
DXCM,2025-08-11,30524984999
DXCM,2025-08-08,30921006000
DXCM,2025-08-07,29956440000
DXCM,2025-08-06,29956440000
DXCM,2025-08-05,29587865999
DXCM,2025-08-04,29897625000
DXCM,2025-08-01,31085688000
DXCM,2025-07-31,31669917000
DXCM,2025-07-30,34920426000
DXCM,2025-07-29,35034135000
DXCM,2025-07-28,35104713000
DXCM,2025-07-25,34892979000
DXCM,2025-07-24,34010753999
DXCM,2025-07-23,33889203000
DXCM,2025-07-22,33375552000
DXCM,2025-07-21,32948163000
DXCM,2025-07-18,32893269000
DXCM,2025-07-17,32975609999
DXCM,2025-07-16,32987373000
DXCM,2025-07-15,33242238000
DXCM,2025-07-14,33457893000
DXCM,2025-07-11,32689377000
DXCM,2025-07-10,33508865999
DXCM,2025-07-09,33277527000
DXCM,2025-07-08,32842296000
DXCM,2025-07-07,32520774000
DXCM,2025-07-03,32516853000
DXCM,2025-07-02,32771718000
DXCM,2025-07-01,32771718000
DXCM,2025-06-30,34226409000
DXCM,2025-06-27,33849993000
DXCM,2025-06-26,33344184000
