date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,D,USD,0000715957,2025-02-27,2025-02-27 08:17:17,2024,FY,14459000000,7537000000,6922000000,0.4787329691,0,0,0,0,3675000000,3675000000,11212000000,0,1887000000,2639000000,6708000000,0.4639324988,3247000000,0.2245660142,-1065000000,2182000000,0.1509094682,308000000,2124000000,0.1468981257,2.44,2.44,839200000,839400000,https://www.sec.gov/Archives/edgar/data/715957/000095017025028387/0000950170-25-028387-index.htm,https://www.sec.gov/Archives/edgar/data/103682/000095017025028387/d-20241231.htm
2023-12-31,D,USD,0000715957,2024-02-23,2024-02-23 07:30:17,2023,FY,14393000000,7435000000,6958000000,0.4834294449,0,0,0,0,3544000000,3544000000,10979000000,0,1674000000,3128000000,6822000000,0.4739804071,3414000000,0.2371986382,-682000000,2732000000,0.1898144932,575000000,1994000000,0.1385395678,2.38,2.29,804032258,836500000,https://www.sec.gov/Archives/edgar/data/715957/000095017024019110/0000950170-24-019110-index.htm,https://www.sec.gov/Archives/edgar/data/103682/000095017024019110/d-20231231.htm
2022-12-31,D,USD,0000715957,2023-02-21,2023-02-21 07:00:15,2022,FY,13938000000,7561000000,6377000000,0.4575261874,0,0,0,0,4944000000,4944000000,12505000000,0,1002000000,3113000000,6373000000,0.4572392022,1433000000,0.1028124552,-893000000,540000000,0.0387430047,113000000,1321000000,0.094776869,1.19,1.09,823900000,835000000,https://www.sec.gov/Archives/edgar/data/715957/000095017023003287/0000950170-23-003287-index.htm,https://www.sec.gov/Archives/edgar/data/103682/000095017023003287/d-20221231.htm
2021-12-31,D,USD,0000715957,2022-02-24,2022-02-24 12:58:30,2021,FY,11419000000,6007000000,5412000000,0.4739469306,0,0,0,0,3416000000,3416000000,9423000000,0,1294000000,2781000000,5386000000,0.4716700236,1996000000,0.174796392,-116000000,1880000000,0.1646378842,-181000000,3399000000,0.2976617918,3.99,3.98,807800000,808500000,https://www.sec.gov/Archives/edgar/data/715957/000156459022006589/0001564590-22-006589-index.htm,https://www.sec.gov/Archives/edgar/data/103682/000156459022006589/d-10k_20211231.htm
2020-12-31,D,USD,0000715957,2021-02-25,2021-02-25 08:17:20,2020,FY,14172000000,6870000000,7302000000,0.5152413209,0,0,0,0,5247000000,5247000000,12117000000,0,1377000000,2836000000,6935000000,0.4893451877,2055000000,0.1450042337,-644000000,1411000000,0.0995625176,83000000,-401000000,-0.02829523,-0.5,-0.57,831000000,831000000,https://www.sec.gov/Archives/edgar/data/715957/000156459021008442/0001564590-21-008442-index.htm,https://www.sec.gov/Archives/edgar/data/103682/000156459021008442/d-10k_20201231.htm
2019-12-31,D,USD,0000715957,2020-02-28,2020-02-28 08:56:19,2019,FY,14401000000,8323000000,6078000000,0.422054024,0,0,0,0,4534000000,4534000000,12857000000,0,1486000000,2977000000,5889000000,0.4089299354,1544000000,0.1072147768,-675000000,869000000,0.0603430317,209000000,1358000000,0.094299007,1.66,1.66,808800000,808900000,https://www.sec.gov/Archives/edgar/data/715957/000119312520054469/0001193125-20-054469-index.htm,https://www.sec.gov/Archives/edgar/data/103682/000119312520054469/d854390d10k.htm
2018-12-31,D,USD,0000715957,2019-02-28,2019-02-28 17:17:16,2018,FY,11199000000,6199000000,5000000000,0.4464684347,0,0,0,0,1987000000,1987000000,8186000000,0,1279000000,2280000000,5040000000,0.4500401822,3013000000,0.2690418787,-394000000,2619000000,0.2338601661,522000000,2447000000,0.2185016519,3.74,3.59,654200000,681000000,https://www.sec.gov/Archives/edgar/data/715957/000119312519057924/0001193125-19-057924-index.htm,https://www.sec.gov/Archives/edgar/data/103682/000119312519057924/d662998d10k.htm
2017-12-31,D,USD,0000715957,2018-02-27,2018-02-27 09:13:42,2017,FY,12586000000,6208000000,6378000000,0.5067535357,0,0,0,0,2441000000,2441000000,8649000000,0,1205000000,2202000000,6007000000,0.4772763388,3937000000,0.3128078818,-847000000,3090000000,0.2455108851,-30000000,2999000000,0.2382806293,4.72,4.72,636000000,636000000,https://www.sec.gov/Archives/edgar/data/715957/000119312518059578/0001193125-18-059578-index.htm,https://www.sec.gov/Archives/edgar/data/103682/000119312518059578/d512216d10k.htm
2016-12-31,D,USD,0000715957,2017-02-28,2017-02-28 08:30:57,2016,FY,11737000000,6170000000,5567000000,0.4743120048,0,0,0,0,2119000000,2119000000,8289000000,0,1010000000,1849000000,5261000000,0.4482406066,3448000000,0.2937718327,-581000000,2867000000,0.2442702565,655000000,2123000000,0.1808809747,3.38,3.38,616400000,628000000,https://www.sec.gov/Archives/edgar/data/715957/000119312517060413/0001193125-17-060413-index.htm,https://www.sec.gov/Archives/edgar/data/103682/000119312517060413/d334692d10k.htm
2015-12-31,D,USD,0000715957,2016-02-26,2016-02-26 12:51:50,2015,FY,11683000000,6201000000,5482000000,0.469228794,0,0,0,0,1946000000,1946000000,8147000000,0,904000000,1669000000,5205000000,0.4455191304,3536000000,0.3026619875,-708000000,2828000000,0.2420611144,905000000,1899000000,0.1625438672,3.21,3.2,592400000,593700000,https://www.sec.gov/Archives/edgar/data/715957/000119312516480850/0001193125-16-480850-index.htm,https://www.sec.gov/Archives/edgar/data/103682/000119312516480850/d126742d10k.htm
