date,symbol,calendarYear,period,growthNetIncome,growthDepreciationAndAmortization,growthDeferredIncomeTax,growthStockBasedCompensation,growthChangeInWorkingCapital,growthAccountsReceivables,growthInventory,growthAccountsPayables,growthOtherWorkingCapital,growthOtherNonCashItems,growthNetCashProvidedByOperatingActivites,growthInvestmentsInPropertyPlantAndEquipment,growthAcquisitionsNet,growthPurchasesOfInvestments,growthSalesMaturitiesOfInvestments,growthOtherInvestingActivites,growthNetCashUsedForInvestingActivites,growthDebtRepayment,growthCommonStockIssued,growthCommonStockRepurchased,growthDividendsPaid,growthOtherFinancingActivites,growthNetCashUsedProvidedByFinancingActivities,growthEffectOfForexChangesOnCash,growthNetChangeInCash,growthCashAtEndOfPeriod,growthCashAtBeginningOfPeriod,growthOperatingCashFlow,growthCapitalExpenditure,growthFreeCashFlow
2024-12-31,EG,2024,FY,-0.4545093365117203,0,0,0.2857142857142857,1.140785498489426,-0.9609120521172638,0,6.5,1.0383111806098515,-1.0662650602409638,0.08873270371183835,0,0,-0.1980365605958023,0.6015649452269171,-0.16806722689075632,0.2412741443578448,-0.3333333333333333,-1,0,-0.1597222222222222,-0.020833333333333332,-1.2716312056737589,1.7272727272727273,1.8717948717948718,0.0779401530967293,0.027896995708154508,0.08873270371183835,0,0.08873270371183835
2023-12-31,EG,2023,FY,3.2160804020100504,0,0,0.08888888888888889,-0.2999153976311337,-0.08608490566037735,0,-0.9104477611940298,-0.15044835602789772,-0.5181422351233672,0.23220568335588634,0,0,-0.3901176470588235,-0.006838669567920423,0.6479289940828402,-0.7267407840842598,0,0,1,-0.12941176470588237,-0.11627906976744186,4.927576601671309,-1.564102564102564,1.9069767441860466,0.027896995708154508,-0.029840388619014575,0.23220568335588634,0,0.23220568335588634
2022-12-31,EG,2022,FY,-0.5670775924583031,0,0,0.046511627906976744,-0.007139857202855943,-0.09560723514211886,0,0.08064516129032258,0.014146177164028292,21.966666666666665,-0.036003130707018,0,0,0.14710014047762393,-0.05368436534784527,-0.9259259259259259,0.11656758852416645,1,0,0.7288888888888889,-0.032388663967611336,-0.3870967741935484,-1.5324884714021059,60.032863849765256,-1.0672705370691948,-0.029746797227491063,0.797540326151904,-0.036003130707018,0,-0.036003130707018
2021-12-31,EG,2021,FY,1.6828793774319066,0,0,0.10256410256410256,-0.014486754966887417,-0.43866171003717475,0,8.75,-0.0030221625251846875,1.3157894736842106,0.3336812804453723,0,0,-0.16643258426966293,0.3838795033584368,-12.5,-0.050502307901167526,0.07933156606532636,0,-0.125,0.008032128514056224,0.225,-0.15725875,-0.787,107.535,0.7973669339899782,-0.007901875659005292,0.3336812804453723,0,0.3336812804453723
2020-12-31,EG,2020,FY,-0.49081737679811305,0,0,0.14645187841730847,1.7414327390158302,-100.15223000368596,0,-1.3610271221625525,2.679323142917859,-0.30551890941073,0.5518341772849057,0,0,-0.20086573649233358,-0.16294937590064296,0.6887029088318577,-1.6074483961679076,0,0,-7.128759551292473,-0.06264029839280989,-1.3864924527176183,3.9018415812134775,1.2524827470122875,-1.0394890121823603,-0.007901875659005292,0.23158384075476873,0.5518341772849057,0,0.5518341772849057
2019-12-31,EG,2019,FY,10.337035747576959,0,1,0.05094380425715963,2.558931138643449,1.0060654229531434,0,4.4152003910068425,-0.28368369396007365,-1.3019030747082325,2.0357254671192933,0,0,0.015017287012022967,-0.18094782245876773,0.24887022289771527,-4.051451786525332,0,0,0.6732710081801764,-0.0837152727995893,0.3314053213131756,0.12920965021447026,-2.656258712015612,6.225651512269355,0.23158384075476873,0.03311146697907465,2.0357254671192933,0,2.0357254671192933
2018-12-31,EG,2018,FY,-0.8155550169756252,0,0,0.06838960953229693,-0.6493251405160682,-0.5189877931370568,0,0.21894548704200179,-0.1206810546557334,5.265884393472797,-0.4752965744181826,0,0,-0.2749260240800114,0.37450981332387084,0.2070477827260507,0.6183049699895028,0,0,-0.50608,-0.04332615975526197,-0.37620772946859904,-0.1493367409913671,5.741573033707865,-0.8626922197917006,0.03311146697907465,0.31777964068874215,-0.4752965744181826,0,-0.4752965744181826
2017-12-31,EG,2017,FY,-0.5154775860546157,0,0,0.1477005833775286,1.912342710554426,-1.694041764826971,0,-0.6156106870229008,1.954908570797844,-1.477249115219907,-0.1596610291991905,-1,-1,-0.28029538316359354,0.21731781589684224,0.5019666896927703,-0.11355383181860329,0,-1,0.870562896077538,-0.06069074233304672,-117.76923076923077,0.5175199370841149,-1.0279910458253936,-0.22757031029334623,0.31777964068874215,0.6989543746342426,-0.1596610291991905,-1,-0.1596610291991905
2016-12-31,EG,2016,FY,0.018893123721071024,0,1,0.24301925884070255,2.347765184571686,0.3983028454725114,0,-0.40082786379125024,2.113255634145643,-0.5903879155249245,0.24847166891498645,83.32516914039964,11.130401626842907,0.16321803740130902,-0.11795179134847474,-1.2336018594541422,0.0341036057794659,0,-0.20931087739942633,0.03442242269265283,-0.11579776936387466,-0.9218436873747495,-0.7151006822298793,8.12912160379847,2.2889686378530194,0.6989543746342426,-0.3516003236763785,0.24847166891498645,83.32516914039964,0.24847166891498645
2015-12-31,EG,2015,FY,-0.18453562338844987,0,-0.6291331546023236,0.001887059489550408,0.011114470248728872,-1.238850853787043,0,0.5446870142715841,3.9127533572441404,16.695114485123057,0.050696744858081726,0,0,-0.009697219402381241,0.05720990610097618,-1.2175633955194343,0.10212741835976018,1,-0.2377935982958686,0.1999204038206166,-0.20007812874795255,0,-0.06612711061005919,-2.6572677595628416,0.1155323504381627,-0.3516003236763785,-0.2844506380626188,0.050696744858081726,0,0.050696744858081726
