date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-31,EME,USD,0000105634,2025-02-26,2025-02-26 07:32:46,2024,FY,1339550000,0,1339550000,3862328000,95667000,91644000,5389189000,523617000,1018415000,648180000,1666595000,0,0,137072000,2327284000,0,7716473000,937087000,83493000,0,2047540000,1085743000,4153863000,265424000,0,0,358492000,623916000,0,348917000,4777779000,0,612000,4778061000,-85527000,-1755489000,2937657000,2938694000,7716473000,1037000,7716473000,0,348917000,-990633000,https://www.sec.gov/Archives/edgar/data/105634/000010563425000015/0000105634-25-000015-index.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563425000015/eme-20241231.htm
2023-12-31,EME,USD,0000105634,2024-02-28,2024-02-28 07:33:04,2023,FY,789750000,0,789750000,3473375000,110774000,73072000,4446971000,489876000,956549000,586032000,1542581000,0,0,130293000,2162750000,0,6609721000,935967000,80166000,0,1595109000,907113000,3518355000,265106000,0,0,355445000,620551000,0,339969000,4138906000,0,611000,3814439000,-85704000,-1259568000,2469778000,2470815000,6609721000,1037000,6609721000,0,345272000,-444478000,https://www.sec.gov/Archives/edgar/data/105634/000010563424000006/0000105634-24-000006-index.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563424000006/eme-20231231.htm
2022-12-31,EME,USD,0000105634,2023-02-23,2023-02-23 07:33:54,2022,FY,456439000,0,456439000,2840547000,85641000,79346000,3461973000,425882000,919151000,593975000,1513126000,0,0,123626000,2062634000,0,5524607000,849284000,82785000,0,1098263000,723190000,2753522000,452389000,2273000,61600000,280531999,796793999,0,224571000,3550316000,0,609000,3214281000,-93451000,-1147850000,1973589000,1974291000,5524607000,702000,5524607000,0,535174000,78735000,https://www.sec.gov/Archives/edgar/data/105634/000010563423000005/0000105634-23-000005-index.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563423000005/eme-20221231.htm
2021-12-31,EME,USD,0000105634,2022-02-24,2022-02-24 07:33:33,2021,FY,821345000,0,821345000,2434662000,54098000,80889000,3390994000,412844000,890268000,589365000,1479633000,0,0,157975000,2050452000,0,5441446000,734275000,74049000,0,788134000,765273000,2361731000,466286000,2505000,51000000,306834999,826625999,0,225553000,3188357000,0,607000,2835504000,-83562000,-500162000,2252387000,2253089000,5441446000,702000,5441446000,0,540335000,-281010000,https://www.sec.gov/Archives/edgar/data/105634/000010563422000006/0000105634-22-000006-index.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563422000006/eme-20211231.htm
2020-12-31,EME,USD,0000105634,2021-02-25,2021-02-25 07:33:36,2020,FY,902867000,0,902867000,2094052000,53338000,70679000,3120936000,400582000,851783000,582893000,1434676000,-7400000,7400000,107646000,1942904000,0,5063840000,671886000,70542000,0,722252000,698552000,2163232000,464981000,2283000,36800000,343300000,847364000,0,211333000,3010596000,0,606000,2480321000,-109233000,-319026000,2052668000,2053244000,5063840000,576000,5063840000,-7400000,535523000,-367344000,https://www.sec.gov/Archives/edgar/data/105634/000010563421000044/0000105634-21-000044-index.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563421000044/eme-20201231.htm
2019-12-31,EME,USD,0000105634,2020-02-27,2020-02-27 07:34:50,2019,FY,358818000,0,358818000,2208643000,40446000,51976000,2659883000,401658000,1063911000,611444000,1675355000,-3400000,3400000,93462000,2170475000,0,4830358000,665402000,71236000,0,623642000,578330000,1938610000,499089000,2142000,75200000,257537000,833968000,0,210541000,2772578000,0,604000,2367481000,-89288000,-221663000,2057134000,2057780000,4830358000,646000,4830358000,-3400000,570325000,211507000,https://www.sec.gov/Archives/edgar/data/105634/000010563420000043/0000105634-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563420000043/eme-20191231x10k.htm
2018-12-31,EME,USD,0000105634,2019-02-21,2019-02-21 07:35:40,2018,FY,363907000,0,363907000,1931863000,42321000,48116000,2386207000,134351000,990887000,488286000,1479173000,2899000,0,86177000,1702600000,0,4088807000,652091000,16013000,0,552290000,514004000,1734398000,279764000,2069000,75700000,255435000,612968000,0,2138000,2347366000,0,601000,2060440000,-87662000,-232834000,1740545000,1741441000,4088807000,896000,4088807000,2899000,295777000,-68130000,https://www.sec.gov/Archives/edgar/data/105634/000010563419000044/0000105634-19-000044-index.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563419000044/eme-20181231x10k.htm
2017-12-31,EME,USD,0000105634,2018-02-22,2018-02-22 07:34:51,2017,FY,467430000,0,467430000,1730543000,42724000,43812000,2284509000,127156000,964893000,495036000,1459929000,2309000,10000000,82001000,1681395000,0,3965904000,567840000,15364000,0,524155999,543592000,1650952000,294786000,0,74700000,271348999,640834999,0,3093000,2291787000,0,599000,1796556000,-94200000,-29688000,1673267000,1674117000,3965904000,850000,3965904000,2309000,310150000,-157280000,https://www.sec.gov/Archives/edgar/data/105634/000010563418000045/0000105634-18-000045-index.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563418000045/eme-20171231x10k.htm
2016-12-31,EME,USD,0000105634,2017-02-23,2017-02-23 07:34:32,2016,FY,464617000,0,464617000,1626128000,37426000,40944000,2210847000,127951000,979628000,487398000,1467026000,8792000,12900000,66654000,1683323000,0,3894170000,501213000,15030000,0,489242000,506289000,1511774000,408296000,0,130300000,264126000,802722000,0,0,2314496000,0,606000,1596269000,-101703000,41917000,1537089000,1537942000,3852438000,853000,3852438000,8792000,423326000,-41291000,https://www.sec.gov/Archives/edgar/data/105634/000010563417000043/0000105634-17-000043-index.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563417000043/eme-20161231x10k.htm
2015-12-31,EME,USD,0000105634,2016-02-25,2016-02-25 07:35:10,2015,FY,486831000,0,486831000,1477596000,37545000,64140000,2067419000,122018000,843170000,472834000,1316004000,8359000,11300000,21370000,1479051000,0,3546470000,488251000,17541000,0,429235000,477394000,1412421000,297559000,0,167900000,184721000,650180000,0,0,2062601000,0,617000,1432980000,-76953000,120067000,1476711000,1480056000,3542657000,3345000,3542657000,8359000,315100000,-171731000,https://www.sec.gov/Archives/edgar/data/105634/000010563416000297/0000105634-16-000297-index.htm,https://www.sec.gov/Archives/edgar/data/105634/000010563416000297/eme-20151231x10k.htm
