symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
EME,2024-12-31,453.9,46616000,21159002400,1339550000,348917000,20168369400
EME,2023-12-31,215.43,47358467,10202434545,789750000,345272000,9757956545
EME,2022-12-31,148.11,49931940,7395419633,456439000,535174000,7474154633
EME,2021-12-31,127.39,54068982,6887847616,821345000,540335000,6606837616
EME,2020-12-31,91.46,55196173,5048241982,902867000,535523000,4680897982
EME,2019-12-31,86.3,56208280,4850774564,358818000,570325000,5062281564
EME,2018-12-31,59.69,58112838,3468755300,363907000,295777000,3400625300
EME,2017-12-31,81.75,59254256,4844035428,467430000,310150000,4686755428
EME,2016-12-31,70.76,60769808,4300071614,464617000,423326000,4258780614
EME,2015-12-31,48.04,62789120,3016389324,486831000,315100000,2844658324
EME,2014-12-31,44.49,66331886,2951105608,432056000,335440000,2854489608
EME,2013-12-31,42.44,67086299,2847142529,439813000,354663000,2761992529
EME,2012-12-31,34.61,66701869,2308551686,605303000,155899000,1859147686
EME,2011-12-31,26.81,66780093,1790374293,511322000,156379000,1435431293
EME,2010-12-31,28.98,66393782,1924091802,710836000,360487000,1573742802
EME,2009-12-31,26.9,65910793,1773000331,726975000,465923000,1511948331
EME,2008-12-31,22.43,65373483,1466327223,405869000,200104000,1260562223
EME,2007-12-31,23.63,64431471,1522515659,251637000,227244000,1498122659
EME,2006-12-31,28.43,63236496,1797813581,273735000,1898000,1525976581
EME,2005-12-31,16.88,62286726,1051399934,103785000,1957000,949571934
EME,2004-12-31,11.29,60791620,686337389,59109000,82138000,709366389
EME,2003-12-31,10.97,60650000,665330500,78260000,140328000,727398500
EME,2002-12-31,13.25,59341509,786274994,93103000,135181000,828352994
EME,2001-12-31,11.35,51825907,588224044,189766000,1795000,400253044
EME,2000-12-31,6.38,41759375,266424812,137685000,116629000,245368812
EME,1999-12-31,4.56,38881119,177297902,58552000,118238000,236983902
EME,1998-12-31,4.03,41000000,165230000,83100000,125300000,207430000
EME,1997-12-31,5.13,38481013,197407596,49400000,186500000,334507596
EME,1996-12-31,3.25,39578947,128631577,50700000,87700000,165631577
EME,1995-12-31,2.41,38584071,92987611,53000000,171700000,211687611
EME,1994-12-31,1.34,37731380,50560049,52500000,162100000,160160049
