symbol,date,marketCap
EQIX,2026-01-05,74564057045
EQIX,2026-01-02,74869026020
EQIX,2025-12-31,75069889120
EQIX,2025-12-30,75417725220
EQIX,2025-12-29,74956230000
EQIX,2025-12-26,74789660600
EQIX,2025-12-24,74340903040
EQIX,2025-12-23,74479057660
EQIX,2025-12-22,74262517440
EQIX,2025-12-19,74320326820
EQIX,2025-12-18,72906446560
EQIX,2025-12-17,73278778160
EQIX,2025-12-16,74285053300
EQIX,2025-12-15,74602514980
EQIX,2025-12-12,73517854240
EQIX,2025-12-11,73891165660
EQIX,2025-12-10,71957980800
EQIX,2025-12-09,72572327940
EQIX,2025-12-08,72499821260
EQIX,2025-12-05,72661491560
EQIX,2025-12-04,71143750380
EQIX,2025-12-03,71793371040
EQIX,2025-12-02,71270147160
EQIX,2025-12-01,71848240960
EQIX,2025-11-28,73810820420
EQIX,2025-11-26,73526672620
EQIX,2025-11-25,73305233300
EQIX,2025-11-24,74527068840
EQIX,2025-11-21,73945055760
EQIX,2025-11-20,73761829420
EQIX,2025-11-19,74964068560
EQIX,2025-11-18,76344634940
EQIX,2025-11-17,76120256160
EQIX,2025-11-14,76971719740
EQIX,2025-11-13,77066762280
EQIX,2025-11-12,79682881680
EQIX,2025-11-11,80447141280
EQIX,2025-11-10,81141833660
EQIX,2025-11-07,80810654500
EQIX,2025-11-06,80279592060
EQIX,2025-11-05,80552961840
EQIX,2025-11-04,81316241620
EQIX,2025-11-03,81603328880
EQIX,2025-10-31,82893751820
EQIX,2025-10-30,81634683120
EQIX,2025-10-29,78163180860
EQIX,2025-10-28,79966049660
EQIX,2025-10-27,82576290140
EQIX,2025-10-24,82131504150
EQIX,2025-10-23,81391871550
EQIX,2025-10-22,81110106750
EQIX,2025-10-21,80420370000
EQIX,2025-10-20,80727571900
EQIX,2025-10-17,79630841550
EQIX,2025-10-16,79517352950
EQIX,2025-10-15,80443850400
EQIX,2025-10-14,79972285700
EQIX,2025-10-13,78883382150
EQIX,2025-10-10,78326701000
EQIX,2025-10-09,79082965550
EQIX,2025-10-08,78622162700
EQIX,2025-10-07,77003971800
EQIX,2025-10-06,77273996400
EQIX,2025-10-03,76188027900
EQIX,2025-10-02,75587321000
EQIX,2025-10-01,75719398250
EQIX,2025-09-30,76628285400
EQIX,2025-09-29,76479576200
EQIX,2025-09-26,77322913900
EQIX,2025-09-25,76593064800
EQIX,2025-09-24,77269104650
EQIX,2025-09-23,78588898800
EQIX,2025-09-22,78079178450
EQIX,2025-09-19,77411943750
EQIX,2025-09-18,76829825500
EQIX,2025-09-17,76191941300
EQIX,2025-09-16,76243793850
EQIX,2025-09-15,77454012800
EQIX,2025-09-12,77153659350
EQIX,2025-09-11,78021455800
EQIX,2025-09-10,76370001000
EQIX,2025-09-09,76266295900
EQIX,2025-09-08,74893670850
EQIX,2025-09-05,75692982800
EQIX,2025-09-04,75130431550
EQIX,2025-09-03,74571793700
