date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,dividend,recordDate,paymentDate,declarationDate
2026-01-05,761.08,767,755.4,766.1136,766.1136,159674,159674,5.03,0.66137594,762.84,"January 05, 26",0.0066137594,,,,,
2026-01-02,766.16,766.6,758.43,764.11,764.11,556767,556767,-2.05,-0.26757,763.825,"January 02, 26",-0.0026757,,,,,
2025-12-31,769.71,771.33,764.5,766.16,766.16,340736,340736,-3.55,-0.46121,767.925,"December 31, 25",-0.0046121,,,,,
2025-12-30,765.41,771.7,762.99,769.71,769.71,276041,276041,4.3,0.56179,767.4525,"December 30, 25",0.0056179,,,,,
2025-12-29,765.83,769.23,763.15,765,765,404957,404957,-0.83,-0.10838,765.8025,"December 29, 25",-0.0010838,,,,,
2025-12-26,759.41,763.84,757.88,763.3,763.3,164123,164123,3.89,0.51224,761.1075,"December 26, 25",0.0051224,,,,,
2025-12-24,759.43,762,755.22,758.72,758.72,122919,122919,-0.71,-0.09349117,758.8425,"December 24, 25",-0.0009349117,,,,,
2025-12-23,757,761.04,753.11,760.13,760.13,333816,333816,3.13,0.41347,757.82,"December 23, 25",0.0041347,,,,,
2025-12-22,753.15,762.96,751.22,757.92,757.92,413218,413218,4.77,0.63334,756.3125,"December 22, 25",0.0063334,,,,,
2025-12-19,742.56,763.06,740.33,758.51,758.51,1371455,1371455,15.95,2.15,751.115,"December 19, 25",0.0215,,,,,
2025-12-18,752.5,757.03,740.75,744.08,744.08,723404,723404,-8.42,-1.12,748.59,"December 18, 25",-0.0112,,,,,
2025-12-17,757,764.5,739.81,747.88,747.88,924500,924500,-9.12,-1.2,752.2975,"December 17, 25",-0.012,,,,,
2025-12-16,759.66,763.11,749.5,758.15,758.15,582555,582555,-1.51,-0.19877,757.605,"December 16, 25",-0.0019877,,,,,
2025-12-15,755.86,762.55,749.5,761.39,761.39,632870,632870,5.52,0.73162,757.325,"December 15, 25",0.0073162,,,,,
2025-12-12,755.82,764.5,726.95,750.32,750.32,697133,697133,-5.5,-0.72769,749.3975,"December 12, 25",-0.0072769,,,,,
2025-12-11,737.41,757.16,730.82,754.13,754.13,555733,555733,16.72,2.27,744.88,"December 11, 25",0.0227,,,,,
2025-12-10,743.22,747.46,732.65,734.4,734.4,429384,429384,-8.82,-1.19,739.4325,"December 10, 25",-0.0119,,,,,
2025-12-09,737.02,747,730.87,740.67,740.67,417400,417400,3.65,0.49524,738.89,"December 09, 25",0.0049524,,,,,
2025-12-08,741.59,748.39,737.21,739.93,739.93,546336,546336,-1.66,-0.22384,741.78,"December 08, 25",-0.0022384,,,,,
2025-12-05,727.49,747.88,724.71,741.58,741.58,760900,760900,14.09,1.94,735.415,"December 05, 25",0.0194,,,,,
2025-12-04,722.1,738,720.62,726.09,726.09,720800,720800,3.99,0.55256,726.7025,"December 04, 25",0.0055256,,,,,
2025-12-03,728.8,735.19,724.42,732.72,732.72,991823,991823,3.92,0.53787,730.2825,"December 03, 25",0.0053787,,,,,
2025-12-02,735,735.57,724.16,727.38,727.38,828253,828253,-7.62,-1.04,730.5275,"December 02, 25",-0.0104,,,,,
2025-12-01,746.63,746.63,732.16,733.28,733.28,588536,588536,-13.35,-1.79,739.675,"December 01, 25",-0.0179,,,,,
2025-11-28,748.64,759.21,745.01,753.31,753.31,301100,301100,4.67,0.6238,751.5425,"November 28, 25",0.006238,,,,,
2025-11-26,747.47,756.81,745.52,750.41,750.41,476452,476452,2.94,0.39333,750.0525,"November 26, 25",0.0039333,,,,,
2025-11-25,768.85,768.85,747.5,748.15,748.15,626208,626208,-20.7,-2.69,758.3375,"November 25, 25",-0.0269,,,,,
2025-11-24,754,760.85,743.19,760.62,760.62,1031605,1031605,6.62,0.87798,754.665,"November 24, 25",0.0087798,,,,,
2025-11-21,755.61,759.74,744.4,754.68,754.68,536201,536201,-0.93,-0.12308,753.6075,"November 21, 25",-0.0012308,,,,,
2025-11-20,772.18,781.11,752.24,752.81,752.81,607640,607640,-19.37,-2.51,764.585,"November 20, 25",-0.0251,,,,,
2025-11-19,773.37,774.79,755.43,765.08,765.08,512100,512100,-8.29,-1.07,767.1675,"November 19, 25",-0.0107,4.69,4.69,2025-11-19,2025-12-17,2025-10-29
2025-11-18,777.58,781.77,769.61,779.17,774.48,397681,397681,1.59,0.20448,777.0325,"November 18, 25",0.0020448,,,,,
2025-11-17,786.91,790.51,771,776.88,772.2,355200,355200,-10.03,-1.27,781.325,"November 17, 25",-0.0127,,,,,
2025-11-14,784.69,787.02,777.87,785.57,780.84,498316,498316,0.88,0.11215,783.7875,"November 14, 25",0.0011215,,,,,
2025-11-13,810.96,812.62,780.67,786.54,781.81,574843,574843,-24.42,-3.01,797.6975,"November 13, 25",-0.0301,,,,,
2025-11-12,819.64,827.16,812.57,813.24,808.34,672335,672335,-6.4,-0.78083,818.1525,"November 12, 25",-0.0078083,,,,,
2025-11-11,828.69,831.8,820.29,821.04,816.1,441165,441165,-7.65,-0.92314,825.455,"November 11, 25",-0.0092314,,,,,
2025-11-10,824,833.98,816.28,828.13,823.15,512926,512926,4.13,0.50121,825.5975,"November 10, 25",0.0050121,,,,,
2025-11-07,824.14,825.25,812.64,824.75,819.79,306860,306860,0.61,0.07401655,821.695,"November 07, 25",0.0007401655,,,,,
2025-11-06,817,827.67,807.47,819.33,814.4,671554,671554,2.33,0.28519,817.8675,"November 06, 25",0.0028519,,,,,
2025-11-05,822.54,829.28,810.58,822.12,817.17,592000,592000,-0.42,-0.05106135,821.13,"November 05, 25",-0.0005106135,,,,,
2025-11-04,834.08,839.73,824.14,829.91,824.91,435973,435973,-4.17,-0.49995,831.965,"November 04, 25",-0.0049995,,,,,
2025-11-03,840.47,846,821.17,832.84,827.83,506699,506699,-7.63,-0.90783,835.12,"November 03, 25",-0.0090783,,,,,
2025-10-31,828.62,852.19,821.92,846.01,840.92,816969,816969,17.39,2.1,837.185,"October 31, 25",0.021,,,,,
