symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
ERIE,2026-12-31,4327400000,4327400000,4327400000,701695012,701695012,701695012,642722887,642722887,642722887,738152813,738152813,738152813,19964018,19964018,19964018,14.01,14.01,14.01,1,1
ERIE,2025-12-31,4091800000,4091800000,4091800000,663492085,663492085,663492085,607730626,607730626,607730626,663336468,663336468,663336468,18877102,18877102,18877102,12.59,12.59,12.59,1,1
ERIE,2024-12-31,3796171600,3796171600,3796171600,615555455,615555455,615555455,563822704,563822704,563822704,596689330,596689330,596689330,17513250,17513250,17513250,11.32505,11.32505,11.32505,1,1
ERIE,2023-12-31,3223480000,3223480000,3223480000,355985230,533977847,444981539,478764240,478764240,478764240,278255445,417383168,347819307,14871196,14871196,14871196,8.48955,8.48955,8.48955,1,1
ERIE,2022-12-30,2815133800,2815133800,2815133800,323622938,485434408,404528673,418115017,418115017,418115017,252959496,379439246,316199371,12987332,12987332,12987332,6.12485,6.12485,6.12485,1,1
ERIE,2021-12-30,2629922000,2629922000,2629922000,307368513,461052768,384210641,390606614,390606614,390606614,240552485,360828729,300690607,12132876,12132876,12132876,5.77,5.77,5.77,1,1
ERIE,2020-12-30,2527116000,2527116000,2527116000,289731554,434597331,362164443,375337452,375337452,375337452,229801673,344702510,287252092,11658591,11658591,11658591,5.5,5.5,5.5,1,1
ERIE,2019-12-30,2481732000,2481732000,2481732000,313170817,469756226,391463522,368596838,368596838,368596838,249606311,374409469,312007891,11449217,11449217,11449217,6.22,6.22,6.22,1,1
ERIE,2018-12-30,1771250000,1771250000,1771250000,259659903,389489857,324574881,263073188,263073188,263073188,200382410,300573617,250478014,8171481,8171481,8171481,4.8988,4.8988,4.8988,9,8
ERIE,2017-12-30,1681160000,1681160000,1681160000,257296297,385944447,321620372,70095534,105143300,87619418,160493328,240739992,200616660,389726607,584589912,487158260,4.0528,4.0528,4.0528,14,13
ERIE,2016-12-30,1595260000,1595260000,1595260000,237913281,356869922,297391602,236934444,236934444,236934444,156338453,234507680,195423067,159210467,238815702,199013085,3.94715,3.94715,3.94715,8,9
ERIE,2015-12-30,1513590000,1513590000,1513590000,190907035,336619368,263763202,224804486,224804486,224804486,143666813,215500221,179583517,50312049,75468073,62890061,3.40855,3.40855,3.40855,9,8
ERIE,2014-12-30,6126608159,9189912239,7658260199,371426443,557139665,464283054,909948534,1364922801,1137435668,137903891,206855837,172379864,28264482,42396723,35330602,3.51,4.21,2.81,19,19
ERIE,2013-12-30,8004159066,12006238601,10005198834,538515700,807773550,673144625,285481481,428222222,356851852,131594201,197391304,164492753,36926371,55389557,46157964,3.22,3.86,2.58,19,19
ERIE,2012-12-30,4723813480,7085720220,5904766850,374478584,561717877,468098231,701599815,1052399723,876999769,133235826,199853739,166544783,21792831,32689247,27241039,3.29,3.95,2.63,8,8
ERIE,2011-12-30,3806093405,5709140109,4757616758,205543492,382936393,294239943,565296331,847944497,706620414,122336138,183504209,152920174,17559023,26338535,21948779,2.6,3.12,2.08,11,11
ERIE,2010-12-30,4507559167,6761338749,5634448959,378617730,567926595,473272163,669480853,1004221279,836851066,100038429,150057645,125048037,20795164,31192746,25993955,2.375,2.85,1.9,17,17
ERIE,2009-12-30,4478756680,6718135020,5598445850,142629369,213944052,178286711,37940775,56911163,47425969,98396559,147594840,122995700,719991371,1079987058,899989215,2.78,3.33,2.23,19,19
ERIE,2008-12-30,1165795837,1748693757,1457244797,109984797,164977196,137480997,20549600,30824400,25687000,54131355,89315490,71723423,715638403,1073457606,894548005,3.47,4.15,2.79,20,20
ERIE,2007-12-30,875995505,1313993258,1094994382,227974265,341961399,284967832,33654083,50481125,42067604,141244718,211867075,176555897,4041315,6061973,5051644,2.6,3.12,2.08,16,16
ERIE,2006-12-30,999440149,1499160224,1249300187,272460876,408691314,340576095,102860764,154291147,128575956,163839012,245758518,204798765,4610815,6916222,5763519,3.17,3.8,2.54,19,19
ERIE,2005-12-30,1006549066,1509823599,1258186333,302045893,453068840,377557367,80367235,120550852,100459044,183718682,275578023,229648353,4643611,6965417,5804514,3.24,3.88,2.6,16,16
ERIE,2004-12-30,999194597,1498791894,1248993246,305830383,458745576,382287980,46828833,70243250,58536042,186829801,280244702,233537252,4609682,6914523,5762102,3.24,3.89,2.59,13,13
ERIE,2003-12-30,890619427,1335929141,1113274284,243062342,364593515,303827929,84623092,126934638,105778865,157980650,236970976,197475813,4108781,6163172,5135977,2.8,3.36,2.24,19,19
ERIE,2002-12-30,753706150,1130559225,942132688,204091322,306136984,255114153,54803702,82205553,68504628,134564994,201847492,168206243,3477146,5215719,4346433,2.43,2.92,1.94,10,10
ERIE,2001-12-30,700232076,1050348115,875290096,148549722,222824585,185687154,104001289,156001935,130001612,97915195,146872793,122393994,3230449,4845673,4038061,2.3,2.76,1.84,13,13
ERIE,2000-12-30,591049921,886574881,738812401,170965124,256447687,213706406,42212720,63319080,52765900,114887297,172330946,143609122,2726748,4090122,3408435,1.91,2.29,1.53,8,8
ERIE,1999-12-30,544165991,816248986,680207489,160303976,240455964,200379970,80821726,121232588,101027157,109257316,163885974,136571645,2510454,3765681,3138067,1.78,2.14,1.42,11,11
