symbol,date,marketCap
EVRG,2026-01-02,16844940000
EVRG,2025-12-31,16708944999
EVRG,2025-12-30,16872600000
EVRG,2025-12-29,16838025000
EVRG,2025-12-26,16773485000
EVRG,2025-12-24,16828805000
EVRG,2025-12-23,16727384999
EVRG,2025-12-22,16695115000
EVRG,2025-12-19,16704335000
EVRG,2025-12-18,16893345000
EVRG,2025-12-17,16962495000
EVRG,2025-12-16,16891040000
EVRG,2025-12-15,17084660000
EVRG,2025-12-12,17010900000
EVRG,2025-12-11,16911785000
EVRG,2025-12-10,16944055000
EVRG,2025-12-09,16941750000
EVRG,2025-12-08,16904870000
EVRG,2025-12-05,16891040000
EVRG,2025-12-04,17013205000
EVRG,2025-12-03,17123845000
EVRG,2025-12-02,17179165000
EVRG,2025-12-01,17407360000
EVRG,2025-11-28,17898325000
EVRG,2025-11-26,17773855000
EVRG,2025-11-25,17649385000
EVRG,2025-11-24,17753110000
EVRG,2025-11-21,17483425000
EVRG,2025-11-20,17453460000
EVRG,2025-11-19,17430410000
EVRG,2025-11-18,17686265000
EVRG,2025-11-17,17776160000
EVRG,2025-11-14,17626335000
EVRG,2025-11-13,17596370000
EVRG,2025-11-12,17826870000
EVRG,2025-11-11,17746195000
EVRG,2025-11-10,17649385000
EVRG,2025-11-07,17423495000
EVRG,2025-11-06,17416580000
EVRG,2025-11-05,17695485000
EVRG,2025-11-04,17757720000
EVRG,2025-11-03,17810735000
EVRG,2025-10-31,17697024000
EVRG,2025-10-30,17913600000
EVRG,2025-10-29,17726976000
EVRG,2025-10-28,17897472000
EVRG,2025-10-27,18042624000
EVRG,2025-10-24,17961984000
EVRG,2025-10-23,17945856000
EVRG,2025-10-22,18139392000
EVRG,2025-10-21,17998848000
EVRG,2025-10-20,18120960000
EVRG,2025-10-17,17966592000
EVRG,2025-10-16,17856000000
EVRG,2025-10-15,18120960000
EVRG,2025-10-14,17991936000
EVRG,2025-10-13,17853696000
EVRG,2025-10-10,17849088000
EVRG,2025-10-09,17669376000
EVRG,2025-10-08,17932032000
EVRG,2025-10-07,17899776000
EVRG,2025-10-06,17851392000
EVRG,2025-10-03,17653248000
EVRG,2025-10-02,17531136000
EVRG,2025-10-01,17563392000
EVRG,2025-09-30,17515008000
