date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,EVRG,USD,0001711269,2025-02-27,2025-02-26 17:36:21,2024,FY,5823700000,3926700000,1897000000,0.3257379329,0,0,0,0,452600000,452600000,4379300000,0,563100000,1170500000,2641600000,0.4535947937,1444400000,0.2480210176,-528600000,915800000,0.1572539794,30000000,873500000,0.1499905558,3.79,3.79,230300000,230600000,https://www.sec.gov/Archives/edgar/data/1711269/000171126925000004/0001711269-25-000004-index.htm,https://www.sec.gov/Archives/edgar/data/54476/000171126925000004/evrg-20241231.htm
2023-12-31,EVRG,USD,0001711269,2023-12-31,2023-12-29 19:00:00,2023,FY,5485300000,3819200000,1666100000,0.3037390845,0,0,0,0,406600000,406600000,4225800000,0,525800000,1138900000,2416500000,0.4405410825,1259500000,0.2296136948,-500300000,759200000,0.1384062859,15600000,731300000,0.1333199643,3.18,3.17,230000000,230500000,,
2022-12-31,EVRG,USD,0001711269,2023-02-24,2023-02-23 17:36:43,2022,FY,5859100000,4156600000,1702500000,0.2905736376,0,0,0,0,398100000,398100000,4554700000,0,404000000,984900000,2194100000,0.3744773088,1304400000,0.2226280487,-491900000,812500000,0.1386731751,47500000,752700000,0.1284668294,3.27,3.27,229900000,230300000,https://www.sec.gov/Archives/edgar/data/1711269/000171126923000011/0001711269-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/54476/000171126923000011/evrg-20221231.htm
2021-12-31,EVRG,USD,0001711269,2022-02-25,2022-02-24 17:47:20,2021,FY,5586700000,3847300000,1739400000,0.311346591,0,0,0,0,380500000,380500000,4227800000,0,372600000,947800000,2321500000,0.4155404801,1358900000,0.2432384055,-349600000,1009299999,0.1806612131,117400000,879700000,0.157463261,3.84,3.83,229000000,229600000,https://www.sec.gov/Archives/edgar/data/1711269/000171126922000008/0001711269-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/54476/000171126922000008/evrg-20211231.htm
2020-12-31,EVRG,USD,0001711269,2021-02-26,2021-02-26 06:13:21,2020,FY,4913400000,3405300000,1508100000,0.3069361338,0,0,0,0,364200000,364200000,3769500000,0,383900000,938400000,2046200000,0.4164529654,1143900000,0.2328123092,-411700000,732200000,0.1490210445,102200000,618300000,0.1258395408,2.72,2.72,227200000,227500000,https://www.sec.gov/Archives/edgar/data/1711269/000171126921000023/0001711269-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/54476/000171126921000023/evrg-20201231.htm
2019-12-31,EVRG,USD,0001711269,2020-03-02,2020-03-02 06:47:35,2019,FY,5147800000,3596500000,1551300000,0.3013520339,0,0,0,0,365500000,365500000,3962000000,0,374000000,913100000,2059900000,0.400151521,1185800000,0.2303508295,-403200000,782600000,0.1520261082,97000000,669900000,0.1301332608,2.8,2.79,239500000,239900000,https://www.sec.gov/Archives/edgar/data/1711269/000171126920000012/0001711269-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/54476/000171126920000012/evrg-12312019x10k.htm
2018-12-31,EVRG,USD,0001711269,2019-02-22,2019-02-21 18:10:50,2018,FY,4275899999,2925200000,1350700000,0.315886714,0,0,0,0,269100000,269100000,3194300000,0,279600000,662400000,1541600000,0.3605322857,1081600000,0.2529525948,-476600000,605000000,0.1414906804,59000000,535800000,0.125306953,2.5,2.5,213900000,214100000,https://www.sec.gov/Archives/edgar/data/1711269/000171126919000013/0001711269-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/54476/000171126919000013/evrg-12312018x10k.htm
2017-12-31,EVRG,USD,0001711269,2017-12-31,2017-12-30 19:00:00,2017,FY,2571000000,1712700000,858300000,0.3338389732,0,0,0,238767000,-71167000,167600000,1880300000,0,171000000,403900000,1055900000,0.4106962271,690700000,0.2686503306,-203000000,487700000,0.1896927266,151155000,323920000,0.1259898872,2.27,2.27,142500000,142600000,,
2016-12-31,EVRG,USD,0001711269,2016-12-31,2016-12-30 19:00:00,2016,FY,2562087000,1427091000,1134996000,0.4429966664,0,0,0,251251000,191662000,442913000,1870004000,0,161700000,365233000,1066100000,0.4161060885,692083000,0.2701247069,-146343000,545740000,0.2130060377,184540000,346577000,0.1352713628,2.43,2.43,142100000,142500000,,
2015-12-31,EVRG,USD,0001711269,2015-12-31,2015-12-30 19:00:00,2015,FY,2459164000,1430988000,1028175999,0.4180998091,0,0,0,250278000,156901000,407179000,1838167000,0,176802000,337565000,968163000,0.3936959877,620997000,0.2525236218,-167201000,453796000,0.1845326298,152000000,291929000,0.1187106675,2.11,2.09,137957515,139278223,,
2014-12-31,EVRG,USD,0001711269,2014-12-31,2014-12-30 19:00:00,2014,FY,2601703000,1578004000,1023699000,0.39347266,0,0,0,250439000,140302000,390741000,1968745000,0,183118000,312493000,969206000,0.3725275329,632958000,0.2432860323,-159363000,473595000,0.1820326917,151270000,313259000,0.1204053653,2.4,2.35,130014941,132824525,,
2013-12-31,EVRG,USD,0001711269,2013-12-31,2013-12-30 19:00:00,2013,FY,2370654000,1445054000,925600000,0.3904407813,0,0,0,224133000,122282000,346415000,1791469000,0,182167000,295283000,902034000,0.3805000645,579185000,0.2443144381,-154601000,424584000,0.1790999446,123721000,292520000,0.1233921104,2.29,2.27,127462994,128298694,,
2012-12-31,EVRG,USD,0001711269,2012-12-31,2012-12-30 19:00:00,2012,FY,2261470000,1471825000,789645000,0.3491733253,0,0,0,226012000,1500000,227512000,1699337000,0,176337000,294833000,879768000,0.3890248378,562133000,0.2485697356,-153535000,408598000,0.1806780545,126136000,275146000,0.1216668804,2.15,2.15,126711869,126898786,,
2011-12-31,EVRG,USD,0001711269,2011-12-31,2011-12-30 19:00:00,2011,FY,2169422000,1472367000,697055000,0.321309086,0,0,0,203495000,10900000,214395000,1686762000,0,172460000,306473000,818457000,0.3772696137,493629000,0.2275394091,-154105000,339524000,0.1565043592,103344000,230239000,0.1061291902,1.95,1.93,116890552,118290222,,
2010-12-31,EVRG,USD,0001711269,2010-12-31,2010-12-30 19:00:00,2010,FY,2056900000,855298000,1201602000,0.5841810492,0,0,0,223071000,505674000,728745000,1584043000,0,174941000,271937000,765623000,0.3722217901,472857000,0.2298881812,-179201000,293656000,0.1427662988,85032000,203896000,0.0991278137,1.81,1.8,111629292,112014924,,
2009-12-31,EVRG,USD,0001711269,2009-12-31,2009-12-30 19:00:00,2009,FY,1858231000,786398000,1071833000,0.576802884,0,0,0,199961000,516930000,716891000,1503289000,0,157360000,251534000,625235000,0.3364678557,354942000,0.1910106978,-154762000,200180000,0.1077261116,58850000,175075000,0.0942159505,1.58,1.58,109647689,109647689,,
2008-12-31,EVRG,USD,0001711269,2008-12-31,2008-12-30 19:00:00,2008,FY,1838996000,898086000,940910000,0.5116433097,0,0,0,184427000,471838000,656265000,1554351000,0,106450000,231626000,492264000,0.2676808432,284645000,0.1547828272,-102569000,182076000,0.099008372,3936000,178140000,0.0968680737,1.69,1.69,103958414,103958414,,
2007-12-31,EVRG,USD,0001711269,2007-12-31,2007-12-30 19:00:00,2007,FY,1726834000,737331000,989503000,0.5730157039,0,0,0,178587000,473525000,652112000,1389443000,0,0,217819000,555210000,0.3215190343,337391000,0.1953812584,-105198000,232193000,0.1344616796,63839000,168354000,0.0974928685,1.85,1.83,90675511,90675511,,
2006-12-31,EVRG,USD,0001711269,2006-12-31,2006-12-30 19:00:00,2006,FY,1605743000,664187000,941556000,0.5863678061,0,0,0,166301000,468485000,634786000,1298973000,0,98650000,203920000,1809663000,1.1269941703,306770000,0.191045516,-85149000,221621000,0.1380177276,56312000,165309000,0.1029486039,1.88,1.87,87509800,87881818,,
2005-12-31,EVRG,USD,0001711269,2005-12-31,2005-12-30 19:00:00,2005,FY,1583278000,678749000,904529000,0.5713014392,0,0,0,164810000,385741000,550551000,1229300000,0,109080000,150520000,451248000,0.2850086971,353978000,0.2235728659,-158597000,195381000,0.1234028389,60513000,134868000,0.0851827664,1.55,1.54,86855485,87428571,,
2004-12-31,EVRG,USD,0001711269,2004-12-31,2004-12-30 19:00:00,2004,FY,1464489000,589098000,875391000,0.5977450155,0,0,0,173498000,412002000,585500000,1174598000,0,0,184325000,474216000,0.323809875,289891000,0.1979468606,-156368000,133523000,0.0911737814,33443000,178870000,0.1221381656,2.14,2.13,82941374,83521127,,
2003-12-31,EVRG,USD,0001711269,2003-12-31,2003-12-30 19:00:00,2003,FY,1461143000,390312000,1070831000,0.7328721419,0,0,0,160825000,439781000,600606000,990918000,0,224356000,161902000,652363000,0.4464744382,470225000,0.3218199724,-225542000,244683000,0.1674599954,81768000,85010000,0.0581804793,1.16,1.16,72429000,73287500,,
2002-12-31,EVRG,USD,0001711269,2002-12-31,2002-12-30 19:00:00,2002,FY,1423151000,379500000,1043651000,0.7333382052,0,0,0,218345000,551357000,769702000,1149202000,0,0,290839000,445756000,0.3132176417,-224816000,-0.1579705878,-196652000,-323647000,-0.2274157837,-157605000,-793001000,-0.5572149406,-11.06,-11.06,71732000,71732000,,
2001-12-31,EVRG,USD,0001711269,2001-12-31,2001-12-31 00:00:00,2001,FY,1308536000,394337000,914199000,0.6986426052,0,0,0,174301000,539938000,714239000,1108576000,0,0,413642000,613602000,0.468922521,55971000,0.0427737563,-23350000,-143601000,-0.1097417266,-80875000,-20876000,-0.015953707,-0.3,-0.3,70650000,70650000,,
2000-12-31,EVRG,USD,0001711269,2000-12-31,2000-12-31 00:00:00,2000,FY,2368476000,1035832000,1332644000,0.5626588574,0,0,0,343163000,763850000,1107013000,2142845000,0,289568000,408304000,652000000,0.2752825023,225631000,0.0952642121,-88520000,137111000,0.0578899681,46061000,136481000,0.0576239742,1.96,1.96,68962245,68962245,,
1999-12-31,EVRG,USD,0001711269,1999-12-31,1999-12-31 00:00:00,1999,FY,2030087000,658946000,1371141000,0.6754099701,0,0,0,340609000,828884000,1169493000,1828439000,0,0,433000000,605317000,0.2981729354,274400000,0.1351666209,-231291000,-32700000,-0.0161076841,-33400000,12400000,0.0061081126,0.2,0.2,67080281,67328244,,
1998-12-31,EVRG,USD,0001711269,1998-12-31,1998-12-31 00:00:00,1998,FY,2034054000,823259000,1210795000,0.5952619744,0,0,0,263310000,724548000,987858000,1811117000,0,0,224800000,511062000,0.2512529166,230500000,0.113320492,-189687000,60800000,0.0298910452,14600000,47800000,0.0234998678,0.67,0.67,65633743,67365854,,
1997-12-31,EVRG,USD,0001711269,1997-12-31,1997-12-31 00:00:00,1997,FY,2151800000,967500000,1184300000,0.550376429,0,0,0,316500000,713300000,1029800000,1997300000,0,0,202700000,411200000,0.1910958267,1007400000,0.4681661864,728000000,872700000,0.4055674319,378600000,494100000,0.2296217121,7.51,7.51,66511318,66511318,,
1996-12-31,EVRG,USD,0001711269,1996-12-31,1996-12-31 00:00:00,1996,FY,2046800000,883100000,1163700000,0.5685460231,0,0,0,199400000,593900000,793300000,1676400000,0,0,199900000,571700000,0.2793140512,393000000,0.1920070354,-112300000,258100000,0.1260992769,89100000,169000000,0.0825679109,2.41,2.41,70124481,70124481,,
1995-12-31,EVRG,USD,0001711269,1995-12-31,1995-12-31 00:00:00,1995,FY,1744300000,659000000,1085300000,0.6221980164,0,0,0,182100000,529400000,711500000,1370500000,0,0,154100000,551600000,0.3162300063,364100000,0.2087370292,-107700000,270200000,0.1549045462,88500000,181700000,0.104167861,2.71,2.71,67047970,67047970,,
1994-12-31,EVRG,USD,0001711269,1994-12-31,1994-12-31 00:00:00,1994,FY,1764800000,562400000,1202400000,0.6813236627,0,0,0,0,831700000,831700000,1394100000,0,0,136500000,546400000,0.3096101541,365200000,0.2069356301,-87700000,283000000,0.1603581142,95600000,187400000,0.10618767,2.82,2.82,66453901,66453901,,
1993-12-31,EVRG,USD,0001711269,1993-12-31,1993-12-30 19:00:00,1993,FY,1909400000,0,0,0,0,0,0,0,1909400000,1909400000,1909400000,0,0,0,1909400000,1,1909400000,1,-1909400000,0,0,-177400000,177400000,0.0929087672,2.76,2.76,59384058,59384058,,
1992-12-31,EVRG,USD,0001711269,1992-12-31,1992-12-30 19:00:00,1992,FY,1556300000,0,0,0,0,0,0,0,1556300000,1556300000,1556300000,0,0,0,1556300000,1,1556300000,1,-1556300000,0,0,-127900000,127900000,0.0821820986,2.2,2.2,52318182,52318182,,
1991-12-31,EVRG,USD,0001711269,1991-12-31,1991-12-30 19:00:00,1991,FY,1162200000,0,0,0,0,0,0,0,1162200000,1162200000,1162200000,0,0,0,1162200000,1,1162200000,1,-1162200000,0,0,-72300000,72300000,0.0622096025,1.91,1.91,34502618,34502618,,
1990-12-31,EVRG,USD,0001711269,1990-12-31,1990-12-30 19:00:00,1990,FY,1149800000,0,0,0,0,0,0,0,1149800000,1149800000,1149800000,0,0,0,1149800000,1,1149800000,1,-1149800000,0,0,-79600000,79600000,0.0692294312,2.25,2.25,34622222,34622222,,
1989-12-31,EVRG,USD,0001711269,1989-12-31,1989-12-30 19:00:00,1989,FY,1127600000,0,0,0,0,0,0,0,1127600000,1127600000,1127600000,0,0,0,1127600000,1,1127600000,1,-1127600000,0,0,-72800000,72800000,0.0645619014,2.05,2.05,34585366,34585366,,
1988-12-31,EVRG,USD,0001711269,1988-12-31,1988-12-30 19:00:00,1988,FY,1166100000,0,0,0,0,0,0,0,1166100000,1166100000,1166100000,0,0,0,1166100000,1,1166100000,1,-1166100000,0,0,-79800000,79800000,0.068433239,2.25,2.25,34577778,34577778,,
1987-12-31,EVRG,USD,0001711269,1987-12-31,1987-12-30 19:00:00,1987,FY,1166500000,0,0,0,0,0,0,0,1166500000,1166500000,1166500000,0,0,0,1166500000,1,1166500000,1,-1166500000,0,0,-88700000,88700000,0.0760394342,2.46,2.46,34552846,34552846,,
1986-12-31,EVRG,USD,0001711269,1986-12-31,1986-12-30 19:00:00,1986,FY,1198900000,0,0,0,0,0,0,0,1198900000,1198900000,1198900000,0,0,0,1198900000,1,1198900000,1,-1198900000,0,0,-91400000,91400000,0.0762365502,2.43,2.43,34485597,34485597,,
1985-12-31,EVRG,USD,0001711269,1985-12-31,1985-12-30 19:00:00,1985,FY,1354100000,0,0,0,0,0,0,0,1354100000,1354100000,1354100000,0,0,0,1354100000,1,1354100000,1,-1354100000,0,0,-88000000,88000000,0.0649878148,2.31,2.31,34199134,34199134,,
