symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
FDS,2030-08-31,2994392558,3033812447,3014000000,1129635505,1144506670,1137032418,916605081,928671792,922607060,978151545,994924639,986494525,491749004,498222667,494969002,25.7,25.91962,25.48265,11,6
FDS,2029-08-31,2815470981,2852535444,2833906835,1062137285,1076119865,1069092217,861835900,873181599,867479248,837581449,851943965,844725282,462365913,468452761,465393510,22.00665,22.19471,21.82054,7,6
FDS,2028-08-31,2724274624,2725639373,2724956999,1027733432,1028248284,1027990858,833920040,834337800,834128920,741310715,867382796,804346755.5,447389347,447613471,447501409,20.84349,22.59692,19.31251,12,8
FDS,2027-08-31,2558581949,2598716568,2578649259,965225820,980366617,972796218,783200322,795485817,789343069,715129458,736892602,726011030,420178751,426769790,423474270,19.02831,19.19741,18.63044,12,11
FDS,2026-08-31,2432179950,2458139215,2448105994,917540627,927333768,923548732,744507761,752454079,749382838,663975686,679784549,671880117.5,399420598,403683714,402036025,17.52883,17.70964,17.29779,12,11
FDS,2025-08-31,2306371770,2331582567,2316356064,870079453,879590234,873846031,705996973,713714179,709053237,652878966,658639787,655759376.5,378759965,382900165,380399618,17.07874,17.15878,17.0087,13,14
FDS,2024-08-31,2174594768,2198828806,2188834130,820366539,829508837,825738342,665659086,673077299,670017857,616291151,637423245,626857198,357119112,361098905,359457546,16.32578,16.60605,16.05552,13,13
FDS,2023-08-31,2075050896,2102368048,2088638440,496452947,744679421,620566184,395547453,593321184,494434319,337434319,506151480,421792900,351420970,527131460,439276215,12.73065,12.83944,12.62299,10,9
FDS,2022-08-30,1820354411,1841862982,1830713389,451320862,676981293,564151078,359588596,539382896,449485746,306758474,460137710,383448092,319473611,479210419,399342016,13.49082,13.59763,13.39158,6,7
FDS,2021-08-30,1575554754,1594170872,1584520666,464259031,696388547,580323789,376864683,565297028,471080856,321454474,482181711,401818093,274518870,411778306,343148588,11.04798,11.13545,10.96671,6,5
FDS,2020-08-30,1481017112,1498516211,1489445044,400711228,601066843,500889036,323232322,484848484,404040403,274435412,411653118,343044266,252311032,378466549,315388791,10.52188,10.60519,10.44448,6,5
FDS,2019-08-30,1425901973,1442749854,1434016265,369620836,554431255,462026046,336247677,504371516,420309597,270437483,405656225,338046854,252363456,378545185,315454321,9.85529,9.93332,9.78279,14,15
FDS,2018-08-30,1341862409,1357717312,1349498462,328690485,493035728,410863107,296352122,444528185,370440154,220642004,330963006,275802505,259597243,389395865,324496554,8.53701,8.6046,8.47421,15,14
FDS,2017-08-30,1212173957,1226496514,1219072000,310880742,466321114,388600928,277433533,416150300,346791917,207104872,310657307,258881090,245481826,368222739,306852283,7.29549,7.35325,7.24182,15,14
FDS,2016-08-30,1123234508,1136506192,1129626429,396109075,594163614,495136345,275962027,413943042,344952535,271967606,407951410,339959508,228559084,342838629,285698857,6.40643,6.45715,6.3593,14,15
FDS,2015-08-30,1001075740,1012904046,1006772500,296576608,444864912,370720760,270207270,405310904,337759088,195463610,293195416,244329513,217731575,326597364,272164470,5.59843,5.64275,5.55725,15,14
FDS,2014-08-30,747627352,1121441028,934534190,272704228,409056342,340880285,244700350,367050526,305875438,171140019,256710029,213925024,210182707,315274061,262728384,5.04,6.05,4.03,16,16
