date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-31,FIX,USD,0001035983,2025-02-20,2025-02-20 16:13:24,2024,FY,549939000,0,549939000,2134865000,59224000,46213000,2790241000,506286000,875270000,434417000,1309687000,6800000,85441000,12633000,1920847000,0,4711088000,654943000,34200000,5568000,1399265000,488794000,2582770000,274400000,0,2225000,147017000,423642000,0,240265000,3006412000,0,411000,1627330000,0,76935000,1704676000,1704676000,4711088000,0,4711088000,6800000,308600000,-241339000,https://www.sec.gov/Archives/edgar/data/1035983/000155837025001222/0001558370-25-001222-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837025001222/fix-20241231x10k.htm
2023-12-31,FIX,USD,0001035983,2024-02-22,2024-02-22 16:08:04,2023,FY,205150000,0,205150000,1586103000,65538000,54309000,1911100000,414280000,666834000,280397000,947231000,4300000,17723000,10945000,1394479000,0,3305579000,419962000,29293000,6592000,946779000,318579000,1721205000,227481000,0,1120000,77944000,306545000,0,212562000,2027750000,0,411000,1147663000,0,129755000,1277829000,1277829000,3305579000,0,3305579000,4300000,256774000,51624000,https://www.sec.gov/Archives/edgar/data/1035983/000155837024001529/0001558370-24-001529-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837024001529/fix-20231231x10k.htm
2022-12-31,FIX,USD,0001035983,2023-02-22,2023-02-22 16:18:13,2022,FY,57214000,0,57214000,1166692000,35309000,48456000,1307671000,274615000,611789000,273901000,885690000,2500000,115665000,11337000,1289807000,0,2597478000,337385000,30151000,5335000,548293000,249638000,1170802000,358989000,0,0,67764000,426753000,0,132895000,1597555000,0,411000,854644000,0,144868000,999923000,999923000,2597478000,0,2597478000,2500000,389140000,331926000,https://www.sec.gov/Archives/edgar/data/1035983/000155837023001757/0001558370-23-001757-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837023001757/fix-20221231x10k.htm
2021-12-31,FIX,USD,0001035983,2022-02-23,2022-02-23 16:36:56,2021,FY,58776000,0,58776000,922988000,21853000,23704000,1027321000,253310000,592114000,304781000,896895000,0,22905000,8683000,1181793000,0,2209114000,254788000,21838000,3861000,321114000,234953000,836554000,492943000,0,1745000,72206000,566894000,0,126751000,1403448000,0,411000,628774000,0,176481000,805666000,805666000,2209114000,0,2209114000,0,514781000,456005000,https://www.sec.gov/Archives/edgar/data/1035983/000155837022001753/0001558370-22-001753-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837022001753/fix-20211231x10k.htm
2020-12-31,FIX,USD,0001035983,2021-02-25,2021-02-25 16:18:11,2020,FY,54896000,0,54896000,727974000,13472000,15510000,811852000,211933000,464392000,231807000,696199000,0,29401000,7970000,945503000,0,1757355000,204145000,16586000,3731000,230796000,237646000,692904000,316309000,0,1339000,50374000,368022000,0,97162000,1060926000,0,411000,502810000,0,193208000,696429000,696429000,1757355000,0,1757355000,0,332895000,277999000,https://www.sec.gov/Archives/edgar/data/1035983/000155837021001828/0001558370-21-001828-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837021001828/fix-20201231x10k.htm
2019-12-31,FIX,USD,0001035983,2020-02-26,2020-02-26 17:03:00,2019,FY,50788000,0,50788000,714947000,10053000,14396000,790184000,193869000,332447000,159974000,492421000,0,21923000,6615000,714828000,0,1505012000,196195000,34833000,2938000,172424000,201607000,607997000,278015000,0,1425000,32271000,311711000,0,86713000,919708000,0,411000,368685000,0,216208000,585304000,585304000,1505012000,0,1505012000,0,312848000,262060000,https://www.sec.gov/Archives/edgar/data/1035983/000155837020001491/0001558370-20-001491-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837020001491/fix-20191231x10ka923f7.htm
2018-12-31,FIX,USD,0001035983,2019-02-21,2019-02-21 16:35:34,2018,FY,45620000,0,45620000,545120000,12416000,6544000,609700000,99618000,235182000,95275000,330457000,0,17634000,5155000,452864000,0,1062564000,176167000,3279000,2685000,136219000,148708000,467058000,73639000,0,1387000,22433000,97459000,0,0,564517000,0,411000,268904000,0,228732000,498047000,498047000,1062564000,0,1062564000,0,76918000,31298000,https://www.sec.gov/Archives/edgar/data/1035983/000155837019000857/0001558370-19-000857-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837019000857/fix-20181231x10k.htm
2017-12-31,FIX,USD,0001035983,2018-02-22,2018-02-22 16:31:21,2017,FY,36542000,0,36542000,434218000,10303000,8294000,489357000,87591000,200584000,76044000,276628000,0,22966000,4578000,391763000,0,881120000,132011000,613000,2308000,109900000,128896000,373728000,59926000,0,2263000,27258000,89447000,0,0,463175000,0,411000,168269000,0,249265000,417945000,417945000,881120000,0,881120000,0,60539000,23997000,https://www.sec.gov/Archives/edgar/data/1035983/000155837018000936/0001558370-18-000936-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837018000936/fix-20171231x10k.htm
2016-12-31,FIX,USD,0001035983,2017-02-23,2017-02-23 16:12:26,2016,FY,32074000,0,32074000,368569000,9208000,6106000,415957000,68195000,149208000,42435000,191643000,0,27170000,5938000,292946000,0,708903000,103440000,763000,1973000,89242000,122263000,317681000,2048000,0,2289000,10252000,14589000,0,256000,332270000,0,411000,123984000,0,252238000,376633000,376633000,708903000,0,708903000,0,2811000,-29263000,https://www.sec.gov/Archives/edgar/data/1035983/000155837017000882/0001558370-17-000882-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000155837017000882/fix-20161231x10k.htm
2015-12-31,FIX,USD,0001035983,2016-02-23,2016-02-23 16:43:21,2015,FY,56464000,0,56464000,354032000,7941000,5836000,424273000,60813000,143874000,41079000,184953000,0,16276000,5279000,267321000,0,691594000,106684000,751000,2216000,87572000,108168000,305391000,10756000,0,1810000,8632000,21198000,0,507000,326589000,0,411000,69390000,0,276920000,346721000,365005000,691594000,18284000,691594000,0,11507000,-44957000,https://www.sec.gov/Archives/edgar/data/1035983/000104746916010332/0001047469-16-010332-index.htm,https://www.sec.gov/Archives/edgar/data/1035983/000104746916010332/a2227387z10-k.htm
