symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
FIX,2024-12-31,424.06,35689000,15134277340,549939000,308600000,14892938340
FIX,2023-12-31,205.67,35802000,7363397340,205150000,256774000,7415021340
FIX,2022-12-31,115.08,35932000,4135054560,57214000,389140000,4466980560
FIX,2021-12-31,98.94,36285000,3590037900,58776000,514781000,4046042900
FIX,2020-12-31,52.66,36542000,1924301719,54896000,332895000,2202300719
FIX,2019-12-31,49.85,36854000,1837171900,50788000,312848000,2099231900
FIX,2018-12-31,43.68,37202000,1624983360,45620000,76918000,1656281360
FIX,2017-12-31,43.65,37239000,1625482350,36542000,60539000,1649479350
FIX,2016-12-31,33.3,37335000,1243255500,32074000,2811000,1213992500
FIX,2015-12-31,28.42,37442000,1064101640,56464000,11507000,1019144640
FIX,2014-12-31,17.12,37547000,642804640,32064000,40346000,651086640
FIX,2013-12-31,19.39,37245000,722180550,52054000,2000000,672126550
FIX,2012-12-31,12.16,37112000,451281920,40757000,7400000,417924920
FIX,2011-12-31,10.72,37389000,400810080,51237000,15381000,364954080
FIX,2010-12-31,13.17,37549000,494520330,86346000,29936000,438110330
FIX,2009-12-31,12.34,38046000,469487640,127850000,7608000,349245640
FIX,2008-12-31,10.66,39424000,420259840,117015000,10699000,313943840
FIX,2007-12-31,12.78,40573000,518522940,139631000,1500000,380391940
FIX,2006-12-31,12.64,40247000,508722080,90286000,0,418436080
FIX,2005-12-31,9.2,39298000,361541600,55593000,0,305948600
FIX,2004-12-31,7.68,38409000,294981120,32576000,8822000,271227120
FIX,2003-12-31,5.48,37193333,203819464,10136000,10403000,204086464
FIX,2002-12-31,3.35,37604317,125974461,6104000,12384000,132254461
FIX,2001-12-31,3.7,37497143,138739429,4156000,182028000,316611429
FIX,2000-12-31,2.13,37451111,79770866,16021000,274601000,338350866
FIX,1999-12-31,7.38,38561000,284580180,3700000,305833000,586713180
FIX,1998-12-31,17.88,32962000,589360560,7000000,236500000,818860560
FIX,1997-12-31,19.75,19090909,377045452,18100000,24700000,383645452
