date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,declarationDate,recordDate,paymentDate,dividend
2026-01-02,64.95,66.04,64.41,65.96,65.96,959647,959647,1.01,1.56,65.34,"January 02, 26",0.0156,,,,,
2025-12-31,65.39,65.71,64.86,64.93,64.93,753700,753700,-0.46,-0.70347,65.2225,"December 31, 25",-0.0070347,,,,,
2025-12-30,64.92,65.74,64.82,65.39,65.39,865075,865075,0.47,0.72397,65.2175,"December 30, 25",0.0072397,,,,,
2025-12-29,65.1,65.73,65.08,65.12,65.12,917900,917900,0.02,0.03072197,65.2575,"December 29, 25",0.0003072197,,,,,
2025-12-26,64.75,65.66,64.75,65.42,65.42,691432,691432,0.67,1.03,65.145,"December 26, 25",0.0103,,,,,
2025-12-24,64.5,64.98,64.43,64.94,64.94,719447,719447,0.44,0.68217,64.7125,"December 24, 25",0.0068217,,,,,
2025-12-23,64.7,64.86,63.96,64.5,64.5,1327817,1327817,-0.2,-0.30912,64.505,"December 23, 25",-0.0030912,,,,,
2025-12-22,63.96,65.37,63.95,64.55,64.55,2137300,2137300,0.59,0.92245,64.4575,"December 22, 25",0.0092245,,,,,
2025-12-19,63.27,64.04,63.15,63.6,63.6,5721400,5721400,0.33,0.52157,63.515,"December 19, 25",0.0052157,,,,,
2025-12-18,63.26,63.96,63,63.41,63.41,1055530,1055530,0.15,0.23712,63.4075,"December 18, 25",0.0023712,,,,,
2025-12-17,62.46,63.41,62.46,63.12,63.12,1423400,1423400,0.66,1.06,62.8625,"December 17, 25",0.0106,,,,,
2025-12-16,63.37,63.64,62.5,62.57,62.57,1254435,1254435,-0.8,-1.26,63.02,"December 16, 25",-0.0126,,,,,
2025-12-15,63.33,63.96,62.95,63.21,63.21,1312744,1312744,-0.12,-0.18948,63.3625,"December 15, 25",-0.0018948,,,,,
2025-12-12,63.89,64.01,63.02,63.08,63.08,933943,933943,-0.81,-1.27,63.5,"December 12, 25",-0.0127,,,,,
2025-12-11,63.55,64.22,63.34,63.44,63.44,1085701,1085701,-0.11,-0.17309,63.6375,"December 11, 25",-0.0017309,,,,,
2025-12-10,62.17,63.64,62.02,63.43,63.43,1241600,1241600,1.26,2.03,62.815,"December 10, 25",0.0203,,,,,
2025-12-09,61.24,62.3,61.02,62.2,62.2,1048117,1048117,0.96,1.57,61.69,"December 09, 25",0.0157,,,,,
2025-12-08,61.12,61.66,60.67,61.26,61.26,1257500,1257500,0.14,0.22906,61.1775,"December 08, 25",0.0022906,,,,,
2025-12-05,60.07,61.26,60.07,60.89,60.89,971300,971300,0.82,1.37,60.5725,"December 05, 25",0.0137,,,,,
2025-12-04,59.37,60.24,59.25,60.19,60.19,1091300,1091300,0.82,1.38,59.7625,"December 04, 25",0.0138,,,,,
2025-12-03,59.35,60.25,59.12,59.33,59.33,920200,920200,-0.02,-0.0336984,59.5125,"December 03, 25",-0.000336984,,,,,
2025-12-02,59.46,59.56,58.4,59.22,59.22,1146400,1146400,-0.24,-0.40363,59.16,"December 02, 25",-0.0040363,,,,,
2025-12-01,57.71,59.73,57.71,59.34,59.34,1542663,1542663,1.63,2.82,58.6225,"December 01, 25",0.0282,,,,,
2025-11-28,58.54,58.74,57.98,58.26,58.26,955400,955400,-0.28,-0.47831,58.38,"November 28, 25",-0.0047831,,,,,
2025-11-26,57.85,58.72,57.85,58.12,58.12,1612521,1612521,0.27,0.46672,58.135,"November 26, 25",0.0046672,,,,,
2025-11-25,57.8,58.48,57.8,57.97,57.97,2432300,2432300,0.17,0.29412,58.0125,"November 25, 25",0.0029412,,,,,
2025-11-24,58.82,58.84,56.81,57.71,57.71,5025600,5025600,-1.11,-1.89,58.045,"November 24, 25",-0.0189,,,,,
2025-11-21,58.73,59.84,58.73,59.14,59.14,1168527,1168527,0.41,0.69811,59.11,"November 21, 25",0.0069811,,,,,
2025-11-20,58.62,59.39,58.35,58.65,58.65,1013400,1013400,0.03,0.05117707,58.7525,"November 20, 25",0.0005117707,,,,,
2025-11-19,58.41,59.24,58.19,58.26,58.26,893834,893834,-0.15,-0.25681,58.525,"November 19, 25",-0.0025681,,,,,
2025-11-18,57.89,59.41,57.57,58.52,58.52,1234306,1234306,0.63,1.09,58.3475,"November 18, 25",0.0109,,,,,
2025-11-17,58.54,59.54,57.68,58.06,58.06,1552861,1552861,-0.48,-0.81995,58.455,"November 17, 25",-0.0081995,,,,,
2025-11-14,58.82,59.2,58.34,58.46,58.46,968518,968518,-0.36,-0.61204,58.705,"November 14, 25",-0.0061204,,,,,
2025-11-13,60.16,60.23,58.78,58.95,58.95,1993748,1993748,-1.21,-2.01,59.53,"November 13, 25",-0.0201,,,,,
2025-11-12,59.62,60.56,59.55,60.27,60.27,1542347,1542347,0.65,1.09,60,"November 12, 25",0.0109,,,,,
2025-11-11,60.27,60.73,59.59,59.99,59.99,1210200,1210200,-0.28,-0.46458,60.145,"November 11, 25",-0.0046458,,,,,
2025-11-10,59.48,60.54,59.16,60.05,60.05,1448400,1448400,0.57,0.95831,59.8075,"November 10, 25",0.0095831,,,,,
2025-11-07,59.32,59.98,58.86,59.48,59.48,2228749,2228749,0.16,0.26972,59.41,"November 07, 25",0.0026972,,,,,
2025-11-06,58.56,59.68,58.41,59.34,59.34,1301600,1301600,0.78,1.33,58.9975,"November 06, 25",0.0133,,,,,
2025-11-05,58.15,59,57.75,58.36,58.36,1846023,1846023,0.21,0.36113,58.315,"November 05, 25",0.0036113,,,,,
2025-11-04,57.21,58.55,56.4,58.15,58.15,1095736,1095736,0.94,1.64,57.5775,"November 04, 25",0.0164,,,,,
2025-11-03,58.13,58.66,56.5,57.32,57.32,2123414,2123414,-0.81,-1.39,57.6525,"November 03, 25",-0.0139,,,,,
2025-10-31,58.79,58.8,57.57,58.41,58.41,1541400,1541400,-0.38,-0.64637,58.3925,"October 31, 25",-0.0064637,,,,,
2025-10-30,56.25,59.99,56,58.83,58.83,2436905,2436905,2.59,4.59,57.7675,"October 30, 25",0.0459,,,,,
2025-10-29,54.24,54.78,53.71,54.35,54.35,862136,862136,0.11,0.2028,54.27,"October 29, 25",0.002028,,,,,
2025-10-28,55.4,55.49,54.47,54.53,54.53,768000,768000,-0.87,-1.57,54.9725,"October 28, 25",-0.0157,,,,,
2025-10-27,53,54.82,52.99,54.81,54.81,1098566,1098566,1.81,3.42,53.905,"October 27, 25",0.0342,,,,,
2025-10-24,53,53.88,52.85,52.9,52.9,1185011,1185011,-0.1,-0.18868,53.1575,"October 24, 25",-0.0018868,,,,,
2025-10-23,52.79,53.17,52.69,52.83,52.83,757600,757600,0.04,0.07577193,52.87,"October 23, 25",0.0007577193,,,,,
2025-10-22,52.47,53.45,52.26,52.49,52.49,921521,921521,0.02,0.03811702,52.6675,"October 22, 25",0.0003811702,,,,,
2025-10-21,52.29,52.85,52.08,52.47,52.47,696200,696200,0.18,0.34423,52.4225,"October 21, 25",0.0034423,,,,,
2025-10-20,52.21,52.25,51.55,52.11,52.11,812839,812839,-0.1,-0.19153,52.03,"October 20, 25",-0.0019153,,,,,
2025-10-17,51.44,52.01,51.37,51.89,51.89,856816,856816,0.45,0.87481,51.6775,"October 17, 25",0.0087481,,,,,
2025-10-16,51.76,51.97,50.72,51.27,51.27,703049,703049,-0.485,-0.94668,51.43,"October 16, 25",-0.0094668,,,,,
2025-10-15,52.31,52.59,51.51,51.6,51.6,961300,961300,-0.71,-1.36,52.0025,"October 15, 25",-0.0136,,,,,
2025-10-14,51.57,52.22,51.27,52.11,52.11,959007,959007,0.54,1.05,51.7925,"October 14, 25",0.0105,,,,,
2025-10-13,51.7,52.06,51.02,51.95,51.95,644907,644907,0.25,0.48356,51.6825,"October 13, 25",0.0048356,,,,,
2025-10-10,53.11,53.11,51.25,51.4,51.4,955413,955413,-1.71,-3.22,52.2175,"October 10, 25",-0.0322,,,,,
2025-10-09,53.97,53.97,52.61,52.66,52.66,832828,832828,-1.31,-2.43,53.3025,"October 09, 25",-0.0243,,,,,
2025-10-08,55.14,55.42,53.5,53.76,53.76,1452792,1452792,-1.38,-2.5,54.455,"October 08, 25",-0.025,,,,,
2025-10-07,55.02,55.7,54.64,55.07,55.07,1932000,1932000,0.05,0.09087605,55.1075,"October 07, 25",0.0009087605,,,,,
2025-10-06,55.75,56.07,55.02,55.07,55.07,1242071,1242071,-0.68,-1.22,55.4775,"October 06, 25",-0.0122,,,,,
2025-10-03,55.74,56.41,55.68,55.75,55.75,1497102,1497102,0.01,0.01794044,55.895,"October 03, 25",0.0001794044,,,,,
2025-10-02,55.83,56.47,55.56,55.88,55.88,1634100,1634100,0.05,0.08955759,55.935,"October 02, 25",0.0008955759,,,,,
2025-10-01,56.62,56.68,55.6,55.95,55.95,2124209,2124209,-0.67,-1.18,56.2125,"October 01, 25",-0.0118,,,,,
