holder,shares,dateReported,change
VANGUARD GROUP INC,13236933,2025-09-30,-36175
"BlackRock, Inc.",8353527,2025-09-30,331792
STATE STREET CORP,6668743,2025-09-30,90127
Resolution Capital Ltd,3163216,2025-09-30,-101437
Invesco Ltd.,2660078,2025-09-30,-52834
"GEODE CAPITAL MANAGEMENT, LLC",2175027,2025-09-30,7494
ProShare Advisors LLC,1797002,2025-09-30,96271
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,1572035,2025-09-30,-150590
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1371231,2025-09-30,34125
NORTHERN TRUST CORP,1357425,2025-09-30,99161
"RUSH ISLAND MANAGEMENT, LP",1311488,2025-09-30,-294248
JPMORGAN CHASE & CO,1287566,2025-09-30,-512262
CENTERSQUARE INVESTMENT MANAGEMENT LLC,1270854,2025-09-30,27306
DIMENSIONAL FUND ADVISORS LP,1207603,2025-09-30,24806
PGGM Investments,1071815,2025-09-30,-173527
WELLS FARGO & COMPANY/MN,936810,2025-09-30,-3327
PRICE T ROWE ASSOCIATES INC /MD/,878690,2025-09-30,377072
MORGAN STANLEY,872683,2025-09-30,-119447
AQR CAPITAL MANAGEMENT LLC,841483,2025-09-30,646036
Bank of New York Mellon Corp,758031,2025-09-30,-5344
Legal & General Group Plc,718855,2025-09-30,-41264
HSBC HOLDINGS PLC,704852,2025-09-30,54957
"GRS Advisors, LLC",655162,2025-09-30,154935
GOLDMAN SACHS GROUP INC,606323,2025-09-30,-29010
UBS ASSET MANAGEMENT AMERICAS INC,587687,2025-09-30,481427
"CBOE Vest Financial, LLC",578948,2025-09-30,14744
FMR LLC,535541,2025-09-30,-174161
Qube Research & Technologies Ltd,526279,2025-09-30,-283206
NOMURA ASSET MANAGEMENT CO LTD,524384,2025-09-30,28102
"Rakuten Investment Management, Inc.",504945,2025-09-30,504945
JANUS HENDERSON GROUP PLC,419282,2025-09-30,-101669
"MARSHALL WACE, LLP",412744,2025-09-30,232635
"Sumitomo Mitsui Trust Holdings, Inc.",392333,2025-09-30,-9095
"ADAGE CAPITAL PARTNERS GP, L.L.C.",388133,2025-09-30,17033
Woodline Partners LP,381816,2025-09-30,-138132
VICTORY CAPITAL MANAGEMENT INC,375811,2025-09-30,8038
CBRE INVESTMENT MANAGEMENT LISTED REAL ASSETS LLC,369569,2025-09-30,-1527
SEI INVESTMENTS CO,338443,2025-09-30,25637
SCHRODER INVESTMENT MANAGEMENT GROUP,338057,2025-09-30,338057
DEUTSCHE BANK AG\,336001,2025-09-30,-18575
APG Asset Management US Inc.,314532,2025-09-30,0
UBS Group AG,309890,2025-09-30,-2216
BANK OF AMERICA CORP /DE/,284786,2025-09-30,-175338
PRIVATE MANAGEMENT GROUP INC,279772,2025-09-30,175377
LASALLE INVESTMENT MANAGEMENT SECURITIES LLC,277443,2025-09-30,-18949
"RMB Capital Management, LLC",273341,2025-09-30,-17331
AMERIPRISE FINANCIAL INC,261286,2025-09-30,18288
"Masterton Capital Management, LP",245646,2025-09-30,-151867
WESTWOOD HOLDINGS GROUP INC,223668,2025-09-30,-2947
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,205988,2025-09-30,-10681
"Nuveen, LLC",199166,2025-09-30,-7317
"MetLife Investment Management, LLC",196208,2025-09-30,174104
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",194469,2025-09-30,7187
ROYAL BANK OF CANADA,192467,2025-09-30,55024
RWC Asset Management LLP,185015,2025-09-30,-13570
BANK OF MONTREAL /CAN/,183433,2025-09-30,18228
"Gotham Asset Management, LLC",180604,2025-09-30,142399
"Russell Investments Group, Ltd.",175717,2025-09-30,27108
RHUMBLINE ADVISERS,174078,2025-09-30,-3077
BARCLAYS PLC,167712,2025-09-30,-170033
STRS OHIO,163315,2025-09-30,74601
NORDEA INVESTMENT MANAGEMENT AB,162752,2025-09-30,5182
Swiss National Bank,158900,2025-09-30,3300
PRINCIPAL FINANCIAL GROUP INC,154586,2025-09-30,5
Amundi,153464,2025-09-30,-10853
PACIFIC HEIGHTS ASSET MANAGEMENT LLC,150000,2025-09-30,50000
RAYMOND JAMES FINANCIAL INC,148982,2025-09-30,16389
Jain Global LLC,148518,2025-09-30,148518
BALYASNY ASSET MANAGEMENT L.P.,148041,2025-09-30,-326042
"State of Tennessee, Treasury Department",145412,2025-09-30,25898
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,140407,2025-09-30,2500
BANK OF NOVA SCOTIA,137817,2025-09-30,21181
"BNP PARIBAS ARBITRAGE, SNC",134587,2025-09-30,39257
VAN LANSCHOT KEMPEN INVESTMENT MANAGEMENT N.V.,132235,2025-09-30,13111
Rockefeller Capital Management L.P.,130990,2025-09-30,747
"Susquehanna Portfolio Strategies, LLC",129843,2025-09-30,9458
Freestone Grove Partners LP,129341,2025-09-30,23281
TRUIST FINANCIAL CORP,129198,2025-09-30,107529
"Asset Management One Co., Ltd.",127097,2025-09-30,-16944
"BOOTHBAY FUND MANAGEMENT, LLC",123958,2025-09-30,37439
CITIGROUP INC,120335,2025-09-30,-31190
Neuberger Berman Group LLC,119064,2025-09-30,-50018
ALLIANCEBERNSTEIN L.P.,114337,2025-09-30,-5869
Meiji Yasuda Asset Management Co Ltd.,114249,2025-09-30,19412
MIZUHO MARKETS AMERICAS LLC,113046,2025-09-30,10864
Janney Montgomery Scott LLC,107316,2025-09-30,-13736
Hudson Bay Capital Management LP,93076,2025-09-30,0
LPL Financial LLC,82632,2025-09-30,7365
CITADEL ADVISORS LLC,80883,2025-09-30,-16659
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,77922,2025-09-30,-535
Quantinno Capital Management LP,76835,2025-09-30,12236
ENVESTNET ASSET MANAGEMENT INC,76808,2025-09-30,1107
"YOUSIF CAPITAL MANAGEMENT, LLC",76791,2025-09-30,-5828
"Horizon Investments, LLC",76186,2025-09-30,74979
