symbol,date,analystRatingsbuy,analystRatingsHold,analystRatingsSell,analystRatingsStrongSell,analystRatingsStrongBuy
FSLR,2026-01-01,21,5,1,0,9
FSLR,2025-12-01,21,5,1,1,9
FSLR,2025-11-01,21,5,1,0,9
FSLR,2025-10-01,21,4,1,1,9
FSLR,2025-09-01,21,4,1,0,8
FSLR,2025-08-01,22,4,1,0,8
FSLR,2025-07-01,22,5,1,0,10
FSLR,2025-06-01,21,6,1,0,11
FSLR,2025-05-01,20,7,1,0,13
FSLR,2025-04-01,22,6,1,0,12
FSLR,2025-03-01,22,5,0,0,12
FSLR,2025-02-01,22,6,0,0,14
FSLR,2025-01-01,21,8,0,0,13
FSLR,2024-12-01,20,8,0,0,13
FSLR,2024-11-01,20,8,0,0,14
FSLR,2024-10-01,23,8,0,1,14
FSLR,2024-09-01,23,8,0,1,13
FSLR,2024-08-01,23,11,3,0,13
FSLR,2024-07-01,21,11,3,0,6
FSLR,2024-06-01,21,11,3,0,6
FSLR,2024-05-01,4,11,3,0,4
FSLR,2024-04-01,4,11,3,0,4
FSLR,2024-03-01,4,11,3,0,4
FSLR,2024-02-01,4,11,3,0,4
FSLR,2024-01-01,4,11,3,0,4
FSLR,2023-12-01,4,11,3,0,4
FSLR,2023-11-01,4,11,3,0,4
FSLR,2023-10-01,4,11,3,0,4
FSLR,2023-09-01,4,11,3,0,4
FSLR,2023-08-01,4,11,3,0,4
FSLR,2023-07-01,4,11,3,0,4
FSLR,2023-06-01,4,11,3,0,4
FSLR,2023-05-01,4,11,3,0,4
FSLR,2023-04-01,4,11,3,0,4
FSLR,2023-03-01,4,11,3,0,4
FSLR,2023-02-01,4,11,3,0,4
FSLR,2023-01-01,6,8,0,0,3
FSLR,2022-12-01,6,8,0,0,3
FSLR,2022-11-01,6,8,0,0,3
FSLR,2022-10-01,6,8,0,0,3
FSLR,2022-09-01,6,14,3,0,2
FSLR,2022-08-01,6,8,0,0,3
FSLR,2022-07-01,6,14,3,0,2
FSLR,2022-06-01,6,8,0,0,3
FSLR,2022-05-01,5,15,2,0,2
FSLR,2022-04-01,6,8,0,0,3
FSLR,2022-03-01,6,8,0,0,3
FSLR,2022-02-01,6,8,0,0,3
FSLR,2022-01-01,6,8,0,0,3
FSLR,2021-12-01,6,8,0,0,3
FSLR,2021-11-01,6,8,0,0,3
FSLR,2021-10-01,6,8,0,0,3
FSLR,2021-09-01,6,8,0,0,3
FSLR,2021-08-01,6,8,0,0,3
FSLR,2021-07-01,6,8,0,0,3
FSLR,2021-06-01,6,8,0,0,3
FSLR,2021-05-01,6,8,0,0,3
FSLR,2021-04-01,6,8,0,0,3
FSLR,2021-03-01,6,8,0,0,3
FSLR,2021-02-01,5,6,6,0,2
FSLR,2021-01-01,6,5,5,0,2
FSLR,2020-12-01,6,6,0,0,3
FSLR,2020-09-01,9,9,0,0,5
FSLR,2020-08-01,11,5,2,0,4
FSLR,2020-07-01,11,5,2,0,4
FSLR,2020-06-01,9,7,0,0,5
FSLR,2020-05-01,11,6,1,0,4
FSLR,2020-04-01,9,7,0,0,5
FSLR,2020-03-01,9,7,0,0,5
FSLR,2020-02-01,9,7,0,0,5
FSLR,2020-01-01,9,7,0,0,5
FSLR,2019-12-01,9,7,0,0,5
FSLR,2019-11-01,9,7,0,0,5
FSLR,2019-10-01,9,7,0,0,5
FSLR,2019-09-01,9,7,0,0,5
FSLR,2019-08-01,9,7,0,0,5
FSLR,2019-07-01,9,7,0,0,5
FSLR,2019-06-01,9,7,0,0,5
FSLR,2019-05-01,9,7,0,0,5
FSLR,2019-04-01,9,7,0,0,5
FSLR,2019-03-01,9,7,0,0,5
FSLR,2019-02-01,9,7,0,0,5
FSLR,2019-01-01,8,12,0,0,5
