date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,change,changeOverTime,changePercent,high,close,unadjustedVolume,adjClose,vwap,volume,low,open
2026-01-09,"January 09, 26",0.035,0.035,2026-01-09,2026-02-13,2025-11-24,,,,,,,,,,,
2026-01-02,"January 02, 26",,,,,,0.24,0.0029063,0.29063,83.57,82.82,3433517,82.82,82.7925,3433517,82.2,82.58
2025-12-31,"December 31, 25",,,,,,-1.05,-0.0126,-1.26,83.17,82.02,1578157,82.02,82.55,1578157,81.94,83.07
2025-12-30,"December 30, 25",,,,,,0.33,0.0039759,0.39759,83.59,83.33,1510777,83.33,83.205,1510777,82.9,83
2025-12-29,"December 29, 25",,,,,,-0.42,-0.0050257,-0.50257,84.07,83.15,1383400,83.15,83.4275,1383400,82.92,83.57
2025-12-26,"December 26, 25",,,,,,0.06,0.0007181329,0.07181329,83.99,83.61,1462553,83.61,83.605,1462553,83.27,83.55
2025-12-24,"December 24, 25",,,,,,-0.04,-0.0004794438,-0.04794438,83.84,83.39,807000,83.39,83.44,807000,83.1,83.43
2025-12-23,"December 23, 25",,,,,,-0.49,-0.0058466,-0.58466,84.01,83.32,2117054,83.32,83.5775,2117054,83.17,83.81
2025-12-22,"December 22, 25",,,,,,0.54,0.0064748,0.64748,84.18,83.94,2237987,83.94,83.6425,2237987,83.05,83.4
2025-12-19,"December 19, 25",,,,,,-0.105,-0.0013253,-0.13253,83.64,82.89,6437673,82.89,82.9575,6437673,82.3,83
2025-12-18,"December 18, 25",,,,,,-0.29,-0.003502,-0.3502,83.48,82.52,2095266,82.52,82.7625,2095266,82.24,82.81
2025-12-17,"December 17, 25",,,,,,0.18,0.0021898,0.21898,83.56,82.38,3100823,82.38,82.5625,3100823,82.11,82.2
2025-12-16,"December 16, 25",,,,,,-2.2,-0.0261,-2.61,84.5,82.25,3207430,82.25,83.235,3207430,81.74,84.45
2025-12-15,"December 15, 25",,,,,,-0.36,-0.0042448,-0.42448,85.06,84.45,3566542,84.45,84.4825,3566542,83.61,84.81
2025-12-12,"December 12, 25",,,,,,-2.04,-0.0237,-2.37,86,83.96,2386990,83.96,84.88,2386990,83.56,86
2025-12-11,"December 11, 25",,,,,,1.58,0.0187,1.87,86.19,86.05,3479021,86.05,85.2125,3479021,84.14,84.47
2025-12-10,"December 10, 25",,,,,,1.8,0.0216,2.16,84.87,84.47,2562186,84.47,83.6325,2562186,82.51,82.68
2025-12-09,"December 09, 25",,,,,,-0.11,-0.0013231,-0.13231,83.64,83.03,2749562,83.03,83.125,2749562,82.69,83.14
2025-12-08,"December 08, 25",,,,,,-2.31,-0.027,-2.7,85.89,83.09,4234100,83.09,84.2125,4234100,82.47,85.4
2025-12-05,"December 05, 25",,,,,,2.55,0.0308,3.08,85.56,85.46,4439631,85.46,84.1175,4439631,82.54,82.91
2025-12-04,"December 04, 25",,,,,,-0.41,-0.0049439,-0.49439,83.7,82.52,3321365,82.52,82.675,3321365,81.55,82.93
2025-12-03,"December 03, 25",,,,,,3.38,0.0421,4.21,84.11,83.59,5253942,83.59,82.0025,5253942,80.1,80.21
2025-12-02,"December 02, 25",,,,,,0.5,0.006272,0.6272,80.73,80.22,2367919,80.22,80.005,2367919,79.35,79.72
2025-12-01,"December 01, 25",,,,,,-0.11,-0.0013863,-0.13863,80.29,79.24,2541151,79.24,79.47,2541151,79,79.35
2025-11-28,"November 28, 25",,,,,,-0.66,-0.0081835,-0.81835,80.69,79.99,1353331,79.99,80.24,1353331,79.63,80.65
2025-11-26,"November 26, 25",,,,,,0.56,0.0069939,0.69939,81.27,80.63,3091600,80.63,80.42,3091600,79.71,80.07
2025-11-25,"November 25, 25",,,,,,1.72,0.022,2.2,81.94,79.96,5949700,79.96,79.5725,5949700,78.15,78.24
2025-11-24,"November 24, 25",,,,,,1.73,0.0226,2.26,79.02,78.24,7118842,78.24,77.57,7118842,76.51,76.51
2025-11-21,"November 21, 25",,,,,,1.56,0.0208,2.08,77.1,76.45,8388815,76.45,75.4475,8388815,73.35,74.89
2025-11-20,"November 20, 25",,,,,,1.62,0.0222,2.22,75.35,74.75,8322431,74.75,74.0675,8322431,73.04,73.13
2025-11-19,"November 19, 25",,,,,,1.07,0.015,1.5,72.34,72.31,4219253,72.31,71.695,4219253,70.89,71.24
2025-11-18,"November 18, 25",,,,,,0.54,0.0076617,0.76617,71.51,71.02,3371500,71.02,70.7625,3371500,70.04,70.48
2025-11-17,"November 17, 25",,,,,,-1.94,-0.0267,-2.67,73,70.63,4806100,70.63,71.6225,4806100,70.29,72.57
2025-11-14,"November 14, 25",,,,,,-0.56,-0.0075973,-0.75973,74.03,73.15,4407300,73.15,73.3475,4407300,72.5,73.71
2025-11-13,"November 13, 25",,,,,,-0.37,-0.0049771,-0.49771,75.59,73.97,2708297,73.97,74.455,2708297,73.92,74.34
2025-11-12,"November 12, 25",,,,,,1.28,0.0174,1.74,75.5,74.98,3034634,74.98,74.3675,3034634,73.29,73.7
2025-11-11,"November 11, 25",,,,,,-0.09,-0.0012245,-0.12245,74.39,73.41,3673014,73.41,73.53,3673014,72.82,73.5
