date,symbol,calendarYear,period,growthNetIncome,growthDepreciationAndAmortization,growthDeferredIncomeTax,growthStockBasedCompensation,growthChangeInWorkingCapital,growthAccountsReceivables,growthInventory,growthAccountsPayables,growthOtherWorkingCapital,growthOtherNonCashItems,growthNetCashProvidedByOperatingActivites,growthInvestmentsInPropertyPlantAndEquipment,growthAcquisitionsNet,growthPurchasesOfInvestments,growthSalesMaturitiesOfInvestments,growthOtherInvestingActivites,growthNetCashUsedForInvestingActivites,growthDebtRepayment,growthCommonStockIssued,growthCommonStockRepurchased,growthDividendsPaid,growthOtherFinancingActivites,growthNetCashUsedProvidedByFinancingActivities,growthEffectOfForexChangesOnCash,growthNetChangeInCash,growthCashAtEndOfPeriod,growthCashAtBeginningOfPeriod,growthOperatingCashFlow,growthCapitalExpenditure,growthFreeCashFlow
2024-12-31,GOOGL,2024,FY,0.3567043837658378,0.28168424577264356,0.32281334535617673,0.014470169189670526,-1.1862158647594279,0.2479254436358994,-1,-0.45933734939759036,-3.7423664122137406,-0.8548418397050263,0.23148821575295345,-0.6289417382406747,-4.921212121212121,-0.13386907337578044,0.19049521222565882,-1.537583254043768,-0.6825924694231977,2.168421052631579,0,-0.011674037460978148,0,-0.12279987791230033,-0.10597422773362185,-0.45368171021377673,-1.268326417704011,-0.024201596806387227,0.09913615795968737,0.23148821575295345,-0.6289417382406747,0.04703935534930571
2023-12-31,GOOGL,2023,FY,0.23049089575135062,-0.25,0.03935156540032174,0.16000413180456563,-0.7203579418344519,-2.380664652567976,0,-0.06082036775106082,2.6768,-0.2131623148572301,0.11203890923001257,-0.024329045577259012,0.9289711579853638,0.006387814016338063,-0.10567304944269791,-1.6614222781623662,-0.3332840673958025,0.9859436265443515,0,-0.0372369131138694,0,-0.06087425796006476,-0.0334876786559055,0.16798418972332016,1.322269807280514,0.09913615795968737,0.04459298161852471,0.11203890923001257,-0.024329045577259012,0.15805699050158306
2022-12-31,GOOGL,2022,FY,-0.21123722594136757,0.28028293545534927,-5.469579646017699,0.25923517169614985,-0.4674983585029547,0.7452446399120396,-1,1.4982332155477032,-5.194630872483222,1.5246335015621244,-0.0017130013529437437,-0.2778003246753247,-1.661955691367456,0.41025399539243956,-0.24186708762806822,1.9371534195933457,0.4285955578076176,-1.5224166083508281,0,-0.17945657795281855,0,0.0595818107998376,-0.13681105570222613,-0.7630662020905923,1.1692028985507246,0.04459298161852471,-0.2085773663328925,-0.0017130013529437437,-0.2778003246753247,-0.10448874828388945
2021-12-31,GOOGL,2021,FY,0.8881273436141945,-0.09169891217054829,0.30071942446043165,0.18358863828804556,-1.8336070060207992,-0.3940833844267321,0.22828143815585755,-0.5922190201729106,-0.9191973969631236,-1.4718811881188119,0.40734598611878875,-0.10587496072887213,-2.5474254742547426,0.03977015812063916,-0.03510068767779943,6.955882352941177,-0.08391053611204345,-9.207142857142857,0,-0.6139843975729558,0,-2.373972602739726,-1.5140117994100295,-12.958333333333334,-1.692858039412577,-0.2085773663328925,0.43069521029300467,0.40734598611878875,-0.10587496072887213,0.5641294960670354
2020-12-31,GOOGL,2020,FY,0.1725533587630667,0.16263475087004498,7.034682080924855,0.2035390031498981,1.2307692307692308,-0.5032258064516129,-0.2568396829455382,0.6214953271028038,1.5965706890973794,-0.4896755162241888,0.19449743213499635,0.05380499405469679,0.7065606361829025,-0.40591900006846166,0.36342257965998165,-0.8845500848896435,-0.11128818961717134,-6.835820895522388,0,-0.6932485322896281,0,0.35753575357535755,-0.0516609935800767,2.0434782608695654,3.433500278241514,0.43069521029300467,0.10759834740434704,0.19449743213499635,0.05380499405469679,0.38328167376985667
2019-12-31,GOOGL,2019,FY,0.11735424258198855,0.303929164360819,-0.7776349614395887,0.15406821340746285,-0.8331295843520783,-1.0009220839096358,-0.00861850443599493,-0.598875351452671,-0.6441489361702127,0.5043134961251645,0.13651998082174646,0.06328811806356657,-0.6867873910127431,-0.9575922344967548,0.9544758152768659,5.010204081632653,-0.03462671905697446,0.9607441042917826,0,-1.0271074380165288,0,-0.12416522384368044,-0.7610592609454435,0.9238410596026491,-0.6997995322418977,0.10759834740434704,0.558656089594027,0.13651998082174646,0.06328811806356657,0.35651716888577434
2018-12-31,GOOGL,2018,FY,1.4274206286526616,0.3065798987707881,2.0155038759689923,0.21799713504362547,-0.4691758598312784,0.42436305732484075,1.1428571428571428,0.45964432284541723,-1.2185792349726776,-21.661631419939578,0.2933326143808471,-0.9067809466019418,-4.195121951219512,0.44399616776665957,-0.3253101004134672,-0.9354413702239789,0.0922582083373141,-0.5597441169750971,0,-0.8726784977300867,0,-0.20112893642305407,-0.5882140274765003,-1.745679012345679,3.717203812982297,0.558656089594027,-0.17053723486607833,0.2933326143808471,-0.9067809466019418,-0.04496590956623583
2017-12-31,GOOGL,2017,FY,-0.3499332580347058,0.12548828125,7.7894736842105265,0.14560644487542893,1.8018181818181818,-0.4615981380915438,0.5214876033057851,5.6454545454545455,1.5689964157706093,-0.26280623608017817,0.029276279276279276,-0.291030160595378,0.7089249492900609,-0.09719918708682754,0.09807043146272792,1.693784277879342,-0.007572597465105086,-2.2786516853932586,0,-0.31221229352829677,0,-0.018765133171912834,0.004080652904464715,3.3823529411764706,0.3932800881299917,-0.17053723486607833,-0.21940902773581486,0.029276279276279276,-0.291030160595378,-0.07423327137546469
2016-12-31,GOOGL,2016,FY,0.19146072914117934,0.2135097768121667,0.7877094972067039,0.2882952142994426,9.06845965770171,-0.23113658070678128,0.4956736711990111,-0.458128078817734,25.61764705882353,225.5,0.3847217952659084,-0.02995461422087746,-3.1779661016949152,-0.1186046511627907,0.07119848413074373,-5.251428571428572,-0.31436885833579353,0.9027534965034965,0,-1.0747191011235955,0,-0.36416184971098264,-1.2659776992113136,0.6082949308755761,-1.0194660734149055,-0.21940902773581486,-0.09799967297105794,0.3847217952659084,-0.02995461422087746,0.6030790241479919
2015-12-31,GOOGL,2015,FY,0.13181944059817224,0.016870857601928097,-0.7211538461538461,0.2159383033419023,-2.1236263736263736,-0.2760511882998172,0.10746064339493498,-0.5344036697247706,-2.259259259259259,0.9987389659520807,0.163031819806936,0.09526416643854366,0.9475788538427365,-0.3125943202085334,0.2341420637240573,-1.249465431218817,-0.12614580859653288,-0.1790775573305849,0,0,0,-0.7044334975369458,-1.555246699096595,-0.0023094688221709007,-2.263157894736842,-0.09799967297105794,-0.029156524499947083,0.163031819806936,0.09526416643854366,0.4109661031794692
