date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,HCA,USD,0000860730,2025-02-14,2025-02-13 18:26:28,2024,FY,70603000000,60056000000,10547000000,0.1493845871,0,31170000000,0,31170000000,-31170000000,0,60056000000,0,2061000000,3312000000,13896000000,0.1968188321,10547000000,0.1493845871,-2024000000,8523000000,0.12071725,1866000000,5760000000,0.0815829356,22.27,22,258603000,261806000,https://www.sec.gov/Archives/edgar/data/860730/000095017025020134/0000950170-25-020134-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000095017025020134/hca-20241231.htm
2023-12-31,HCA,USD,0000860730,2024-02-16,2024-02-16 17:03:58,2023,FY,64968000000,55341000000,9627000000,0.1481806428,0,0,0,0,0,0,55341000000,0,1938000000,3077000000,12721000000,0.1958040882,9627000000,0.1481806428,-1921000000,7706000000,0.1186122399,1615000000,5242000000,0.0806858761,19.24,18.96,272404000,276412000,https://www.sec.gov/Archives/edgar/data/860730/000095017024016524/0000950170-24-016524-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000095017024016524/hca-20231231.htm
2022-12-31,HCA,USD,0000860730,2023-02-17,2023-02-17 17:12:43,2022,FY,60233000000,51180000000,9053000000,0.1502996696,0,0,0,0,0,0,51180000000,0,1739000000,2969000000,13288000000,0.2206099646,9053000000,0.1502996696,-473000000,8580000000,0.1424468315,1746000000,5643000000,0.0936861853,19.44,19.15,290348000,294666000,https://www.sec.gov/Archives/edgar/data/860730/000095017023003234/0000950170-23-003234-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000095017023003234/hca-20221231.htm
2021-12-31,HCA,USD,0000860730,2022-02-18,2022-02-18 17:01:34,2021,FY,58752000000,49074000000,9678000000,0.1647263072,0,0,0,0,0,0,49074000000,0,1529000000,2853000000,14215000000,0.2419492102,9678000000,0.1647263072,155000000,9833000000,0.1673645153,2112000000,6956000000,0.1183959695,21.51,21.16,323315000,328752000,https://www.sec.gov/Archives/edgar/data/860730/000119312522046707/0001193125-22-046707-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000119312522046707/d32297d10k.htm
2020-12-31,HCA,USD,0000860730,2021-02-19,2021-02-19 16:28:21,2020,FY,51533000000,44271000000,7262000000,0.1409194109,0,0,0,0,0,0,44271000000,0,1560000000,2721000000,9711000000,0.1884423573,7262000000,0.1409194109,-1832000000,5430000000,0.105369375,1043000000,3754000000,0.0728465255,11.1,10.93,338274000,343605000,https://www.sec.gov/Archives/edgar/data/860730/000119312521048994/0001193125-21-048994-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000119312521048994/d37951d10k.htm
2019-12-31,HCA,USD,0000860730,2020-02-20,2020-02-20 16:20:31,2019,FY,51336000000,43621000000,7715000000,0.1502844008,0,0,0,0,497000000,497000000,44118000000,0,1841000000,2596000000,9681000000,0.1885811127,7218000000,0.1406030856,-1974000000,5244000000,0.1021505376,1099000000,3505000000,0.068275674,10.27,10.07,341210000,348226000,https://www.sec.gov/Archives/edgar/data/860730/000119312520043524/0001193125-20-043524-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000119312520043524/d864235d10k.htm
2018-12-31,HCA,USD,0000860730,2019-02-21,2019-02-21 16:37:08,2018,FY,46677000000,39637000000,7040000000,0.1508237462,0,0,0,0,447000000,447000000,40084000000,0,1765000000,2278000000,9378000000,0.2009126551,6593000000,0.1412472952,-1258000000,5335000000,0.1142961201,946000000,3787000000,0.081132035,11.04,10.66,342895200,355303000,https://www.sec.gov/Archives/edgar/data/860730/000119312519047078/0001193125-19-047078-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000119312519047078/d676301d10k.htm
2017-12-31,HCA,USD,0000860730,2018-02-23,2018-02-23 16:41:25,2017,FY,43614000000,37091000000,6523000000,0.1495620672,0,0,0,0,466000000,466000000,37557000000,0,1670000000,2131000000,8182000000,0.1876003118,6057000000,0.1388774247,-1676000000,4381000000,0.100449397,1638000000,2216000000,0.0508093731,6.33,5.95,350091600,372221000,https://www.sec.gov/Archives/edgar/data/860730/000119312518056057/0001193125-18-056057-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000119312518056057/d490041d10k.htm
2016-12-31,HCA,USD,0000860730,2017-02-22,2017-02-22 17:15:27,2016,FY,41490000000,34874000000,6616000000,0.1594601109,0,0,0,0,430000000,430000000,35304000000,0,1598000000,1966000000,8374000000,0.2018317667,6186000000,0.1490961678,-1376000000,4810000000,0.1159315498,1378000000,2890000000,0.0696553386,7.8,7.3,370535900,395851000,https://www.sec.gov/Archives/edgar/data/860730/000119312517052253/0001193125-17-052253-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000119312517052253/d299981d10k.htm
2015-12-31,HCA,USD,0000860730,2016-02-26,2016-02-26 16:56:58,2015,FY,39678000000,33416000000,6262000000,0.1578204547,0,0,0,0,344000000,344000000,33760000000,0,1540000000,1904000000,7401000000,0.1865265386,5918000000,0.1491506628,-1961000000,3957000000,0.0997278089,1261000000,2129000000,0.0536569384,5.34,4.99,398738700,426721000,https://www.sec.gov/Archives/edgar/data/860730/000119312516482165/0001193125-16-482165-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000119312516482165/d93001d10k.htm
