date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2025-10-31,HPE,USD,0001645590,2025-12-18,2025-12-18 08:23:22,2025,FY,57000000,2737000000,-565000000,643000000,-2707000000,-853000000,1783000000,-3468000000,-169000000,2754000000,2919000000,-2292000000,-11688000000,-9000000,982000000,-183000000,-13190000000,2343000000,0,-202000000,-796000000,-299000000,1046000000,-21000000,-9246000000,5859000000,15105000000,2919000000,-2292000000,627000000,https://www.sec.gov/Archives/edgar/data/1645590/000164559025000130/0001645590-25-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000164559025000130/hpe-20251031.htm
2024-10-31,HPE,USD,0001645590,2024-12-19,2024-12-19 08:20:59,2024,FY,2579000000,2564000000,-64000000,430000000,-688000000,-992000000,-3358000000,3927000000,-265000000,-480000000,4341000000,-2367000000,-147000000,-16000000,2149000000,328000000,-53000000,5739000000,0,-150000000,-676000000,1370000000,6283000000,-47000000,10524000000,15105000000,4581000000,4341000000,-2367000000,1974000000,https://www.sec.gov/Archives/edgar/data/1645590/000164559024000139/0001645590-24-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000164559024000139/hpe-20241031.htm
2023-10-31,HPE,USD,0001645590,2023-12-22,2023-12-22 08:19:13,2023,FY,2025000000,2616000000,-67000000,428000000,-1032000000,-30000000,400000000,-1655000000,253000000,458000000,4428000000,-2828000000,-761000000,-15000000,9000000,311000000,-3284000000,-209000000,0,-421000000,-619000000,-113000000,-1362000000,36000000,-182000000,4581000000,4763000000,4428000000,-2828000000,1600000000,https://www.sec.gov/Archives/edgar/data/1645590/000164559023000117/0001645590-23-000117-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000164559023000117/hpe-20231031.htm
2022-10-31,HPE,USD,0001645590,2022-12-08,2022-12-08 17:02:05,2022,FY,868000000,2480000000,-249000000,391000000,-570000000,-186000000,-713000000,1707000000,-1378000000,1673000000,4593000000,-3122000000,602000000,-55000000,262000000,226000000,-2087000000,-596000000,0,-512000000,-621000000,-67000000,-1796000000,-279000000,431000000,4763000000,4332000000,4593000000,-3122000000,1471000000,https://www.sec.gov/Archives/edgar/data/1645590/000164559022000071/0001645590-22-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000164559022000071/hpe-20221031.htm
2021-10-31,HPE,USD,0001645590,2021-12-10,2021-12-10 07:41:42,2021,FY,3427000000,2597000000,-167000000,382000000,-1370000000,-591000000,-1959000000,1608000000,-428000000,1002000000,5871000000,-2502000000,-505000000,-60000000,15000000,256000000,-2796000000,-2479000000,0,-213000000,-625000000,-47000000,-3364000000,0,-289000000,4332000000,4621000000,5871000000,-2502000000,3369000000,https://www.sec.gov/Archives/edgar/data/1645590/000164559021000068/0001645590-21-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000164559021000068/hpe-20211031.htm
2020-10-31,HPE,USD,0001645590,2020-12-10,2020-12-10 17:09:38,2020,FY,-322000000,2625000000,-294000000,274000000,-2246000000,-461000000,-527000000,-225000000,-1033000000,2203000000,2240000000,-2383000000,-866000000,-101000000,48000000,724000000,-2578000000,1899000000,0,-355000000,-618000000,-43000000,883000000,0,545000000,4621000000,4076000000,2240000000,-2383000000,-143000000,https://www.sec.gov/Archives/edgar/data/1645590/000164559020000056/0001645590-20-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000164559020000056/hpe-20201031.htm
2019-10-31,HPE,USD,0001645590,2019-12-13,2019-12-12 17:49:10,2019,FY,1049000000,2535000000,1079000000,268000000,-1735000000,374000000,46000000,-525000000,-1630000000,801000000,3997000000,-2856000000,-1526000000,-39000000,26000000,938000000,-3457000000,1261000000,0,-2249000000,-608000000,48000000,-1548000000,0,-1008000000,4076000000,5084000000,3997000000,-2856000000,1141000000,https://www.sec.gov/Archives/edgar/data/1645590/000164559019000044/0001645590-19-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000164559019000044/hpe-10312019x10k.htm
2018-10-31,HPE,USD,0001645590,2018-12-12,2018-12-12 17:19:51,2018,FY,1908000000,2576000000,2229000000,286000000,-4839000000,-220000000,-260000000,-27000000,-4332000000,804000000,2964000000,-2956000000,-194000000,-33000000,98000000,1014000000,-2071000000,-1676000000,0,-3568000000,-570000000,222000000,-5592000000,0,-4699000000,4880000000,9579000000,2964000000,-2956000000,8000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/0001628280-18-015054-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000162828018015054/hpe-10312018x10k.htm
2017-10-31,HPE,USD,0001645590,2017-12-15,2017-12-15 16:40:03,2017,FY,344000000,3051000000,-1122000000,428000000,-3426000000,457000000,-542000000,992000000,-4333000000,1614000000,889000000,-3137000000,-2222000000,-45000000,38000000,459000000,-4907000000,-1524000000,0,-2556000000,-428000000,4672000000,610000000,0,-3408000000,9579000000,12987000000,889000000,-3137000000,-2248000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828017012383/0001628280-17-012383-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000162828017012383/hpe-10312017x10k.htm
2016-10-31,HPE,USD,0001645590,2016-12-15,2016-12-15 17:26:55,2016,FY,3161000000,3775000000,-1345000000,558000000,-490000000,991000000,34000000,66000000,-1581000000,-701000000,4958000000,-3280000000,3320000000,-656000000,585000000,450000000,419000000,170000000,119000000,-2662000000,-373000000,535000000,-2330000000,0,3145000000,12987000000,9842000000,4958000000,-3280000000,1678000000,https://www.sec.gov/Archives/edgar/data/1645590/000162828016022051/0001628280-16-022051-index.htm,https://www.sec.gov/Archives/edgar/data/1645590/000162828016022051/hpe-10312016x10k.htm
