date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2024-12-31,HWM,USD,0000004281,2025-02-14,2025-02-13 17:35:08,2024,FY,564000000,0,564000000,709000000,1840000000,249000000,3362000000,2541000000,4010000000,475000000,4485000000,0,35000000,96000000,7157000000,0,10519000000,948000000,43000000,60000000,0,498000000,1549000000,3428000000,0,0,988000000,4416000000,0,156000000,5965000000,55000000,405000000,2766000000,-1878000000,3206000000,4554000000,4554000000,10519000000,0,10519000000,0,3471000000,2907000000,https://www.sec.gov/Archives/edgar/data/4281/000000428125000011/0000004281-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428125000011/hwm-20241231.htm
2023-12-31,HWM,USD,0000004281,2024-02-13,2024-02-13 17:05:19,2023,FY,610000000,0,610000000,692000000,1765000000,249000000,3316000000,2456000000,4035000000,505000000,4540000000,0,46000000,70000000,7112000000,0,10428000000,982000000,238000000,68000000,0,496000000,1784000000,3597000000,0,0,1010000000,4607000000,0,129000000,6391000000,55000000,410000000,1720000000,-1830000000,3682000000,4037000000,4037000000,10428000000,0,10428000000,0,3835000000,3225000000,https://www.sec.gov/Archives/edgar/data/4281/000000428124000007/0000004281-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428124000007/hwm-20231231.htm
2022-12-31,HWM,USD,0000004281,2023-02-14,2023-02-14 17:10:40,2022,FY,791000000,0,791000000,537000000,1609000000,206000000,3143000000,2332000000,4013000000,521000000,4534000000,0,54000000,192000000,7112000000,0,10255000000,962000000,32000000,48000000,0,440000000,1482000000,4245000000,0,0,927000000,5172000000,0,115000000,6654000000,55000000,412000000,1028000000,-1841000000,3947000000,3601000000,3601000000,10255000000,0,10255000000,0,4277000000,3486000000,https://www.sec.gov/Archives/edgar/data/4281/000000428123000004/0000004281-23-000004-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428123000004/hwm-20221231.htm
2021-12-31,HWM,USD,0000004281,2022-02-14,2022-02-14 16:36:50,2021,FY,720000000,0,720000000,420000000,1402000000,195000000,2737000000,2467000000,4067000000,549000000,4616000000,0,184000000,215000000,7482000000,0,10219000000,732000000,38000000,61000000,0,422000000,1253000000,4308000000,0,0,1150000000,5458000000,0,114000000,6711000000,55000000,422000000,603000000,-1863000000,4291000000,3508000000,3508000000,10219000000,0,10219000000,0,4346000000,3626000000,https://www.sec.gov/Archives/edgar/data/4281/000000428122000004/0000004281-22-000004-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428122000004/hwm-20211231.htm
2020-12-31,HWM,USD,0000004281,2021-02-16,2021-02-16 16:44:06,2020,FY,1610000000,0,1610000000,357000000,1488000000,217000000,3672000000,2592000000,4102000000,571000000,4673000000,0,275000000,234000000,7774000000,0,11446000000,599000000,414000000,102000000,0,545000000,1660000000,4799000000,0,0,1407000000,6206000000,0,138000000,7866000000,55000000,433000000,364000000,-1943000000,4668000000,3580000000,3580000000,11446000000,0,11446000000,0,5213000000,3603000000,https://www.sec.gov/Archives/edgar/data/4281/000000428121000049/0000004281-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428121000049/arnc-20201231.htm
2019-12-31,HWM,USD,0000004281,2020-02-27,2020-02-26 17:48:56,2019,FY,1577000000,0,1577000000,932000000,1607000000,1727000000,5843000000,5463000000,4493000000,658000000,5151000000,0,608000000,514000000,11736000000,0,17578000000,976000000,1105000000,87000000,0,1957000000,4126000000,5100000000,0,0,3732000000,8832000000,0,265000000,12957000000,55000000,433000000,129000000,-3329000000,7319000000,4607000000,4621000000,17578000000,14000000,17578000000,0,6205000000,4628000000,https://www.sec.gov/Archives/edgar/data/4281/000000428120000038/0000004281-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428120000038/form10k4q19.htm
2018-12-31,HWM,USD,0000004281,2019-02-21,2019-02-21 17:24:56,2018,FY,2277000000,0,2277000000,1498000000,2492000000,314000000,6581000000,5704000000,4500000000,919000000,5419000000,0,573000000,416000000,12112000000,0,18693000000,2129000000,434000000,118000000,0,839000000,3520000000,5896000000,0,0,3692000000,9588000000,0,0,13108000000,55000000,483000000,-358000000,-2926000000,8319000000,5573000000,5585000000,18693000000,12000000,18693000000,0,6330000000,4053000000,https://www.sec.gov/Archives/edgar/data/4281/000000428119000031/0000004281-19-000031-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428119000031/form10k_4q18.htm
2017-12-31,HWM,USD,0000004281,2018-02-26,2018-02-23 17:34:24,2017,FY,2150000000,0,2150000000,1374000000,2480000000,374000000,6378000000,5594000000,4535000000,987000000,5522000000,0,743000000,481000000,12340000000,0,18718000000,1839000000,38000000,75000000,0,872000000,2824000000,6806000000,0,0,4164000000,10970000000,0,0,13794000000,55000000,481000000,-1248000000,-2644000000,8266000000,4910000000,4924000000,18718000000,14000000,18718000000,0,6844000000,4694000000,https://www.sec.gov/Archives/edgar/data/4281/000000428118000042/0000004281-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428118000042/form10k.htm
2016-12-31,HWM,USD,0000004281,2017-02-28,2017-02-28 17:15:08,2016,FY,1863000000,0,1863000000,1451000000,2253000000,802000000,5886000000,5494000000,5148000000,988000000,6136000000,1020000000,1249000000,1244000000,14155000000,0,20041000000,1744000000,40000000,85000000,0,880000000,2749000000,8044000000,0,0,4104000000,12148000000,0,0,14879000000,58000000,438000000,-1226000000,-2568000000,8214000000,5136000000,5162000000,20041000000,26000000,20041000000,1020000000,8084000000,6221000000,https://www.sec.gov/Archives/edgar/data/4281/000119312517062657/0001193125-17-062657-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312517062657/d293282d10k.htm
2015-12-31,HWM,USD,0000004281,2016-02-19,2016-02-19 17:27:57,2015,FY,1362000000,0,1362000000,1354000000,2284000000,2953000000,7953000000,5425000000,5249000000,1104000000,6353000000,193000000,1308000000,15245000000,28524000000,0,36477000000,1510000000,41000000,103000000,0,3557000000,5211000000,8786000000,0,0,8349000000,17135000000,0,0,22346000000,58000000,1391000000,8834000000,-5431000000,7194000000,12046000000,14131000000,36477000000,2085000000,36477000000,193000000,8827000000,7465000000,https://www.sec.gov/Archives/edgar/data/4281/000119312516470162/0001193125-16-470162-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000119312516470162/d216801d10k.htm
