date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2024-12-31,IBKR,USD,0001381197,2025-02-27,2025-02-27 17:02:30,2024,FY,9316000000,1021000000,8295000000,0.8904036067,0,353000000,0,353000000,101000000,454000000,1475000000,0,4191000000,101000000,7987000000,0.857342207,7841000000,0.8416702447,-4146000000,3695000000,0.3966294547,288000000,755000000,0.0810433663,1.75,1.73,432448000,436012000,https://www.sec.gov/Archives/edgar/data/1381197/000138119725000036/0001381197-25-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119725000036/ibkr-20241231x10k.htm
2023-12-31,IBKR,USD,0001381197,2023-12-31,2023-12-30 19:00:00,2023,FY,7787000000,913000000,6874000000,0.8827533068,0,252000000,0,252000000,99000000,351000000,1264000000,0,3436000000,99000000,6604000000,0.8480801336,6523000000,0.8376781816,-3454000000,3069000000,0.3941184025,257000000,600000000,0.0770514961,1.43,1.4175,419860000,423388000,https://www.sec.gov/Archives/edgar/data/1381197/000138119724000083/0001381197-24-000083-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119724000083/ibkr-20231231x10k.htm
2022-12-31,IBKR,USD,0001381197,2023-02-24,2023-02-24 16:05:50,2022,FY,4192000000,778000000,3414000000,0.8144083969,0,198000000,0,198000000,90000000,288000000,1066000000,0,1018000000,90000000,3106000000,0.7409351145,3126000000,0.7457061069,-1128000000,1998000000,0.4766221374,156000000,380000000,0.090648855,0.945,0.9375,401840000,405200000,https://www.sec.gov/Archives/edgar/data/1381197/000138119723000014/0001381197-23-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119723000014/ibkr-20221231x10k.htm
2021-12-31,IBKR,USD,0001381197,2022-02-25,2022-02-25 17:24:08,2021,FY,2940000000,635000000,2305000000,0.7840136054,0,209000000,0,209000000,80000000,289000000,924000000,0,224000000,80000000,2091000000,0.7112244898,2016000000,0.6857142857,-229000000,1787000000,0.6078231293,151000000,308000000,0.1047619048,0.8175,0.81,376672000,380040000,https://www.sec.gov/Archives/edgar/data/1381197/000138119722000010/0001381197-22-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119722000010/ibkr-20211231x10k.htm
2020-12-31,IBKR,USD,0001381197,2021-03-01,2021-03-01 06:23:58,2020,FY,2420000000,618000000,1802000000,0.7446280992,0,262000000,0,262000000,69000000,331000000,949000000,0,261000000,69000000,1586000000,0.6553719008,1471000000,0.6078512397,-215000000,1256000000,0.5190082645,77000000,195000000,0.0805785124,0.61,0.605,319756000,322556000,https://www.sec.gov/Archives/edgar/data/1381197/000138119721000008/0001381197-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119721000008/ibkr-20201231x10k.htm
2019-12-31,IBKR,USD,0001381197,2020-02-28,2020-02-28 16:15:11,2019,FY,2573000000,539000000,2034000000,0.7905169063,0,137000000,0,137000000,-7000000,130000000,669000000,0,643000000,60000000,1860000000,0.7228915663,1904000000,0.739992227,-747000000,1157000000,0.4496696463,68000000,161000000,0.0625728721,0.53,0.525,304488000,307304000,https://www.sec.gov/Archives/edgar/data/1381197/000138119720000006/0001381197-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000138119720000006/ibkr-20191231x10k.htm
2018-12-31,IBKR,USD,0001381197,2019-02-28,2019-02-28 16:24:25,2018,FY,2317000000,533000000,1784000000,0.7699611567,0,121000000,0,121000000,-19000000,102000000,635000000,0,463000000,49000000,1708000000,0.7371601208,1682000000,0.7259387139,-486000000,1196000000,0.5161847216,71000000,169000000,0.0729391454,0.575,0.57,293912000,297064000,https://www.sec.gov/Archives/edgar/data/1381197/000114036119004097/0001140361-19-004097-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000114036119004097/bp15115x1_10k.htm
2017-12-31,IBKR,USD,0001381197,2018-03-01,2018-02-28 19:54:54,2017,FY,1595000000,490000000,1105000000,0.6927899687,0,114000000,0,114000000,-174000000,-60000000,430000000,0,225000000,47000000,1321000000,0.8282131661,1165000000,0.7304075235,-116000000,1049000000,0.6576802508,256000000,76000000,0.0476489028,0.2725,0.2675,283620000,284112000,https://www.sec.gov/Archives/edgar/data/1381197/000104746918001166/0001047469-18-001166-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746918001166/a2234631z10-k.htm
2016-12-31,IBKR,USD,0001381197,2017-02-28,2017-02-28 17:15:47,2016,FY,1381000000,486000000,895000000,0.6480811007,0,92000000,0,92000000,-48000000,44000000,530000000,0,79000000,51000000,891000000,0.6451846488,851000000,0.6162201303,-90000000,761000000,0.5510499638,62000000,84000000,0.0608254888,0.3175,0.3125,268800000,269196000,https://www.sec.gov/Archives/edgar/data/1381197/000104746917001069/0001047469-17-001069-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746917001069/a2231013z10-k.htm
2015-12-31,IBKR,USD,0001381197,2016-02-29,2016-02-29 08:18:42,2015,FY,1378000000,458000000,920000000,0.6676342525,0,83000000,0,83000000,-58000000,25000000,483000000,0,67000000,44000000,569000000,0.4129172714,895000000,0.6494920174,-437000000,458000000,0.3323657475,43000000,49000000,0.0355587808,0.2,0.195,250040000,251284000,https://www.sec.gov/Archives/edgar/data/1381197/000104746916010549/0001047469-16-010549-index.htm,https://www.sec.gov/Archives/edgar/data/1381197/000104746916010549/a2227422z10-k.htm
