symbol,date,marketCap
INCY,2026-01-02,19844851400
INCY,2025-12-31,19326325900
INCY,2025-12-30,19353719700
INCY,2025-12-29,19428074300
INCY,2025-12-26,19588523700
INCY,2025-12-24,19653094800
INCY,2025-12-23,19745059700
INCY,2025-12-22,19705925700
INCY,2025-12-19,20093352300
INCY,2025-12-18,19040647700
INCY,2025-12-17,19103262100
INCY,2025-12-16,18985860100
INCY,2025-12-15,19300888800
INCY,2025-12-12,18668874700
INCY,2025-12-11,18803887000
INCY,2025-12-10,18621913900
INCY,2025-12-09,18619957200
INCY,2025-12-08,18921289000
INCY,2025-12-05,20060088400
INCY,2025-12-04,19657008200
INCY,2025-12-03,19860505000
INCY,2025-12-02,19848764800
INCY,2025-12-01,19966166800
INCY,2025-11-28,20439688200
INCY,2025-11-26,20672535500
INCY,2025-11-25,20652968500
INCY,2025-11-24,20787980800
INCY,2025-11-21,19970080200
INCY,2025-11-20,19911379200
INCY,2025-11-19,19825284400
INCY,2025-11-18,20328156300
INCY,2025-11-17,20382943900
INCY,2025-11-14,20379030500
INCY,2025-11-13,20625574700
INCY,2025-11-12,21183234200
INCY,2025-11-11,21163667200
INCY,2025-11-10,20737106600
INCY,2025-11-07,20737106600
INCY,2025-11-06,20584484000
INCY,2025-11-05,20682319000
INCY,2025-11-04,20138356400
INCY,2025-11-03,19874201900
INCY,2025-10-31,18291231600
INCY,2025-10-30,18117085300
INCY,2025-10-29,17645520600
INCY,2025-10-28,17933155500
INCY,2025-10-27,18212963600
INCY,2025-10-24,17694901840
INCY,2025-10-23,17313011430
INCY,2025-10-22,17070695180
INCY,2025-10-21,16923366900
INCY,2025-10-20,16704313010
INCY,2025-10-17,16975707209
INCY,2025-10-16,16925305430
INCY,2025-10-15,17088141950
INCY,2025-10-14,16663603879
INCY,2025-10-13,16425164690
INCY,2025-10-10,16244881400
INCY,2025-10-09,16429041750
INCY,2025-10-08,16551169140
INCY,2025-10-07,16898166010
INCY,2025-10-06,16909797190
INCY,2025-10-03,16836133049
INCY,2025-10-02,16725636840
INCY,2025-10-01,16807055100
INCY,2025-09-30,16440672930
INCY,2025-09-29,16262328170
INCY,2025-09-26,16031643100
INCY,2025-09-25,15830035980
INCY,2025-09-24,16314668480
INCY,2025-09-23,16388332620
INCY,2025-09-22,16425164690
INCY,2025-09-19,16774100090
INCY,2025-09-18,16671358000
INCY,2025-09-17,16438734400
INCY,2025-09-16,16264266700
INCY,2025-09-15,16116938420
INCY,2025-09-12,16109184299
INCY,2025-09-11,16704313010
INCY,2025-09-10,16719821250
INCY,2025-09-09,16593816799
INCY,2025-09-08,16779915680
INCY,2025-09-05,16795423920
INCY,2025-09-04,16562800320
INCY,2025-09-03,16857456879
INCY,2025-09-02,16667480940
INCY,2025-08-29,16401902330
INCY,2025-08-28,16225496100
INCY,2025-08-27,16446488520
INCY,2025-08-26,16283652000
INCY,2025-08-25,16430980280
INCY,2025-08-22,16485259120
INCY,2025-08-21,16774100090
INCY,2025-08-20,16710128600
INCY,2025-08-19,16566677379
INCY,2025-08-18,16461996760
INCY,2025-08-15,16849702760
INCY,2025-08-14,16702374480
INCY,2025-08-13,16642280049
INCY,2025-08-12,15820343330
INCY,2025-08-11,15351219070
INCY,2025-08-08,15196136670
INCY,2025-08-07,15159304600
INCY,2025-08-06,15052685450
INCY,2025-08-05,15066255160
INCY,2025-08-04,15128288120
INCY,2025-08-01,14653348270
INCY,2025-07-31,14517651170
INCY,2025-07-30,15033300150
INCY,2025-07-29,15000345140
INCY,2025-07-28,13600726480
INCY,2025-07-25,13608480600
INCY,2025-07-24,13664697969
INCY,2025-07-23,13703468570
INCY,2025-07-22,13356471700
INCY,2025-07-21,13061815140
INCY,2025-07-18,13154864580
INCY,2025-07-17,13364225820
INCY,2025-07-16,13420443190
INCY,2025-07-15,13230467250
INCY,2025-07-14,13565832940
INCY,2025-07-11,13296377270
INCY,2025-07-10,13635620020
INCY,2025-07-09,13321578160
INCY,2025-07-08,13118032510
INCY,2025-07-07,13040491310
INCY,2025-07-03,13269237850
INCY,2025-07-02,13214959010
INCY,2025-07-01,13323516690
INCY,2025-06-30,13201389299
INCY,2025-06-27,13253729610
INCY,2025-06-26,13726730930
INCY,2025-06-25,13094770150
INCY,2025-06-24,13377795530
INCY,2025-06-23,13038552780
INCY,2025-06-20,13271176379
INCY,2025-06-18,13234344310
INCY,2025-06-17,13339024930
INCY,2025-06-16,13806210660
INCY,2025-06-13,13133540750
INCY,2025-06-12,13418504660
INCY,2025-06-11,13346779049
INCY,2025-06-10,13583279709
INCY,2025-06-09,13548386170
INCY,2025-06-06,13331270810
INCY,2025-06-05,13034675719
INCY,2025-06-04,13069569260
INCY,2025-06-03,13009474830
INCY,2025-06-02,12660539430
INCY,2025-05-30,12612076180
INCY,2025-05-29,12802052120
INCY,2025-05-28,12586875290
INCY,2025-05-27,12668293549
INCY,2025-05-23,12455055250
INCY,2025-05-22,12505457030
INCY,2025-05-21,12557797340
INCY,2025-05-20,12658600900
INCY,2025-05-19,12369759930
INCY,2025-05-16,12272833430
INCY,2025-05-15,12166214280
INCY,2025-05-14,11856049480
INCY,2025-05-13,11788200930
INCY,2025-05-12,11795955050
INCY,2025-05-09,11433449940
INCY,2025-05-08,11578839690
INCY,2025-05-07,11543946150
INCY,2025-05-06,11555577330
INCY,2025-05-05,12040209830
INCY,2025-05-02,12121628090
INCY,2025-05-01,12024701590
INCY,2025-04-30,12146828980
INCY,2025-04-29,11714536790
INCY,2025-04-28,11538130560
INCY,2025-04-25,11468343480
INCY,2025-04-24,11431511410
INCY,2025-04-23,11243474000
INCY,2025-04-22,11123285140
INCY,2025-04-21,11010850400
INCY,2025-04-17,11284183130
INCY,2025-04-16,11191133690
INCY,2025-04-15,11332646380
INCY,2025-04-14,11479974660
INCY,2025-04-11,11024420110
INCY,2025-04-10,10694870010
INCY,2025-04-09,11410187580
INCY,2025-04-08,11043805410
INCY,2025-04-07,11687397370
INCY,2025-04-04,11743614740
INCY,2025-04-03,12108058380
INCY,2025-04-02,12082857490
INCY,2025-04-01,11807586230
INCY,2025-03-31,11737799150
INCY,2025-03-28,11738947200
INCY,2025-03-27,11754444160
INCY,2025-03-26,11866797120
INCY,2025-03-25,12025640960
INCY,2025-03-24,12161239360
INCY,2025-03-21,11994647040
INCY,2025-03-20,11735072960
INCY,2025-03-19,11688582080
INCY,2025-03-18,11622720000
INCY,2025-03-17,12012081120
INCY,2025-03-14,13145296320
INCY,2025-03-13,13116239519
INCY,2025-03-12,13120113760
INCY,2025-03-11,13185975839
INCY,2025-03-10,13778734560
INCY,2025-03-07,13712872480
INCY,2025-03-06,13577274080
INCY,2025-03-05,13523034720
INCY,2025-03-04,13497852160
INCY,2025-03-03,13610205120
INCY,2025-02-28,14237832000
INCY,2025-02-27,14175844160
INCY,2025-02-26,14392801600
INCY,2025-02-25,14412172800
INCY,2025-02-24,14336625120
INCY,2025-02-21,13968572320
INCY,2025-02-20,13827162560
INCY,2025-02-19,13590833920
INCY,2025-02-18,13805854240
INCY,2025-02-14,13641199040
INCY,2025-02-13,13561777120
INCY,2025-02-12,13375813600
INCY,2025-02-11,12848916960
INCY,2025-02-10,13230529600
INCY,2025-02-07,14359870560
INCY,2025-02-06,14518714400
INCY,2025-02-05,14578765120
INCY,2025-02-04,14357933440
INCY,2025-02-03,14284322879
INCY,2025-01-31,14365681920
INCY,2025-01-30,14290134240
INCY,2025-01-29,14280448640
INCY,2025-01-28,14170032800
INCY,2025-01-27,14071239680
INCY,2025-01-24,14061554080
INCY,2025-01-23,14049931360
INCY,2025-01-22,14026685920
INCY,2025-01-21,14232020640
INCY,2025-01-17,13933704160
INCY,2025-01-16,14038308640
INCY,2025-01-15,14036371519
INCY,2025-01-14,13933704160
INCY,2025-01-13,14018937440
INCY,2025-01-10,13664444480
INCY,2025-01-08,14166158560
INCY,2025-01-07,14177781280
INCY,2025-01-06,13929829920
INCY,2025-01-03,13488166560
INCY,2025-01-02,13468795360
INCY,2024-12-31,13379687839
INCY,2024-12-30,14170466200
INCY,2024-12-27,14338225300
INCY,2024-12-26,14406571600
INCY,2024-12-24,14479060100
INCY,2024-12-23,14464562400
INCY,2024-12-20,14257452400
INCY,2024-12-19,13888796600
INCY,2024-12-18,13990280500
INCY,2024-12-17,14373434000
INCY,2024-12-16,14456278000
INCY,2024-12-13,14197390500
INCY,2024-12-12,14669601300
INCY,2024-12-11,15013403899
INCY,2024-12-10,15011332800
INCY,2024-12-09,14934702100
INCY,2024-12-06,15723791200
INCY,2024-12-05,15516681200
INCY,2024-12-04,15454548200
INCY,2024-12-03,14918133300
INCY,2024-12-02,15168736399
INCY,2024-11-29,15448334900
INCY,2024-11-27,15626449500
INCY,2024-11-26,15491828000
INCY,2024-11-25,15226727200
