date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
2024-12-31,INVH,USD,0001687229,2025-02-27,2025-02-27 15:15:47,2024,FY,455365000,714326000,0,27918000,20892000,0,0,46502000,-25610000,-136696000,1081805000,-219394000,0,-4718000,0,-241758000,-465870000,-331474000,0,-10894000,-689244000,-62114000,-1093726000,0,-477791000,419693000,897484000,1081805000,-219394000,862411000,https://www.sec.gov/Archives/edgar/data/1687229/000168722925000008/0001687229-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1687229/000168722925000008/invh-20241231.htm
2023-12-31,INVH,USD,0001687229,2024-02-21,2024-02-21 14:22:18,2023,FY,521028000,674287000,0,29503000,11965000,0,0,24375000,-12410000,-129695000,1107088000,-251309000,0,-33927000,861000,-489177000,-773552000,769419000,0,-8148999,-638129000,-13120000,110021000,0,443557000,897484000,453927000,1107088000,-221102000,885986000,https://www.sec.gov/Archives/edgar/data/1687229/000168722924000013/0001687229-24-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1687229/000168722924000013/invh-20231231.htm
2022-12-31,INVH,USD,0001687229,2023-02-22,2023-02-22 16:32:00,2022,FY,384799000,638114000,0,28962000,-10387000,0,0,-5989000,-4398000,-17901000,1023587000,-208070000,-167728000,3939000,76308000,-518862000,-814413000,-88815000,98367000,0,-539033000,-44624000,-574105000,0,-364931000,453927000,818858000,1023587000,-208070000,815517000,https://www.sec.gov/Archives/edgar/data/1687229/000168722923000029/0001687229-23-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1687229/000168722923000029/invh-20221231.htm
2021-12-31,INVH,USD,0001687229,2022-02-22,2022-02-22 13:26:21,2021,FY,262776000,592135000,-33296000,27170000,24761000,0,0,32892000,-8131000,34114000,907660000,-162832000,-65000000,162832000,119920000,-1214478000,-1159558000,171171000,933790000,0,-393812000,-52161000,658988000,0,407090000,818858000,411768000,907660000,-162832000,744828000,https://www.sec.gov/Archives/edgar/data/1687229/000168722922000002/0001687229-22-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1687229/000168722922000002/invh-20211231.htm
2020-12-31,INVH,USD,0001687229,2021-02-19,2021-02-19 13:10:19,2020,FY,197449000,552530000,-70610000,17090000,-46054000,0,0,-27040000,-19014000,46307000,696712000,-172284000,-16345000,172284000,72106000,-480917000,-425156000,-434727000,686723000,0,-332151000,-65878000,-146033000,0,125523000,411768000,286245000,696712000,-172284000,524428000,https://www.sec.gov/Archives/edgar/data/1687229/000168722921000005/0001687229-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1687229/000168722921000005/invh-20201231.htm
2019-12-31,INVH,USD,0001687229,2020-02-19,2020-02-19 12:54:59,2019,FY,147111000,533719000,-80213000,18158000,-7299000,0,0,5207000,-12506000,50654000,662130000,-164244000,586075000,-586075000,49960000,216510000,102226000,-593957000,0,-8164000,-276681000,40700000,-838102000,0,-73746000,286245000,359991000,662130000,-164244000,497886000,https://www.sec.gov/Archives/edgar/data/1687229/000168722920000004/0001687229-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1687229/000168722920000004/a12312019ihinc10kdocum.htm
2018-12-31,INVH,USD,0001687229,2019-02-28,2019-02-27 19:10:17,2018,FY,-5013000,560541000,-30934000,29499000,-46767000,0,0,-26643000,-20124000,53915000,561241000,-145715000,192575000,-211737000,224035000,3835000,62993000,-380111000,0,-9245000,-230072000,-61377000,-680805000,0,-56571000,359991000,416562000,561241000,-145715000,415526000,https://www.sec.gov/Archives/edgar/data/1687229/000168722919000014/0001687229-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1687229/000168722919000014/a123118ihinc10kdocument.htm
2017-12-31,INVH,USD,0001687229,2018-03-29,2018-03-29 16:40:27,2017,FY,-105826000,309578000,-25820000,81203000,-32210000,0,0,-10294000,-21916000,32864000,259789000,-62542000,84952000,-95174000,79292000,46754000,53282000,-1876146000,0,-15884000,-68997000,1629715000,-331312000,0,-18241000,179878000,198119000,259789000,-62542000,197247000,https://www.sec.gov/Archives/edgar/data/1687229/000168722918000018/0001687229-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1687229/000168722918000018/a12312017ihallfs10k.htm
2016-12-31,INVH,USD,0001687229,2017-03-30,2017-03-30 17:19:33,2016,FY,-78239000,267681000,-7004000,10210000,-6271000,0,0,6936000,-13207000,63749000,250126000,-106595000,0,-300260000,146100000,5718000,-255037000,-196441000,135033000,0,-136000,-10244000,-71788000,0,-76699000,198119000,274818000,250126000,-49793000,200333000,https://www.sec.gov/Archives/edgar/data/1687229/000168722917000005/0001687229-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1687229/000168722917000005/a123116ihallfs10k.htm
2015-12-31,INVH,USD,0001687229,2015-12-31,2015-12-31 00:00:00,2015,FY,-160208000,340091000,0,27924000,-13209000,0,0,0,-13209000,2876000,197474000,-163064000,0,-909159000,212390000,0,-859833000,1139026000,246792000,0,-682606000,-51495000,651581000,0,-10778000,274818000,285596000,197474000,-51804000,145670000,,
