date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,dividend,adjDividend,recordDate,declarationDate
2026-01-02,27.67,27.84,27.55,27.72,27.72,3970911,3970911,0.05,0.1807,27.695,"January 02, 26",0.001807,,,,,
2025-12-31,27.98,28.03,27.77,27.79,27.79,3896500,3896500,-0.19,-0.67906,27.8925,"December 31, 25",-0.0067906,,,,,
2025-12-30,27.75,28,27.75,27.96,27.96,3290344,3290344,0.21,0.75676,27.865,"December 30, 25",0.0075676,,,,,
2025-12-29,27.46,27.75,27.42,27.74,27.74,3261866,3261866,0.28,1.02,27.5925,"December 29, 25",0.0102,,,,,
2025-12-26,27.29,27.47,27.19,27.45,27.45,2345527,2345527,0.16,0.5863,27.35,"December 26, 25",0.005863,,,,,
2025-12-24,26.95,27.43,26.94,27.32,27.32,2344501,2344501,0.37,1.37,27.16,"December 24, 25",0.0137,,,,,
2025-12-23,27.08,27.09,26.72,26.89,26.89,3170424,3170424,-0.19,-0.70162,26.945,"December 23, 25",-0.0070162,2026-01-16,0.3,0.3,2025-12-23,2025-12-12
2025-12-22,26.95,27.48,26.91,27.34,27.04,5694700,5694700,0.39,1.45,27.17,"December 22, 25",0.0145,,,,,
2025-12-19,27.41,27.45,27.02,27.05,26.75,9541435,9541435,-0.36,-1.31,27.2325,"December 19, 25",-0.0131,,,,,
2025-12-18,27.4,27.51,27.17,27.41,27.11,5384100,5384100,0.01,0.03649635,27.3725,"December 18, 25",0.0003649635,,,,,
2025-12-17,26.8,27.43,26.75,27.36,27.06,6837127,6837127,0.56,2.09,27.085,"December 17, 25",0.0209,,,,,
2025-12-16,26.87,26.98,26.58,26.84,26.55,8435400,8435400,-0.03,-0.11165,26.8175,"December 16, 25",-0.0011165,,,,,
2025-12-15,26.53,27.02,26.53,26.9,26.6,9924800,9924800,0.37,1.39,26.745,"December 15, 25",0.0139,,,,,
2025-12-12,26.71,26.71,26.19,26.35,26.06,6207000,6207000,-0.36,-1.35,26.49,"December 12, 25",-0.0135,,,,,
2025-12-11,26.62,26.85,26.48,26.55,26.26,6545257,6545257,-0.07,-0.26296,26.625,"December 11, 25",-0.0026296,,,,,
2025-12-10,26.22,26.59,26.2,26.48,26.19,5638700,5638700,0.26,0.99161,26.3725,"December 10, 25",0.0099161,,,,,
2025-12-09,26.67,26.93,26.02,26.09,25.8,5464800,5464800,-0.58,-2.17,26.4275,"December 09, 25",-0.0217,,,,,
2025-12-08,27.09,27.09,26.64,26.66,26.37,5477000,5477000,-0.43,-1.59,26.87,"December 08, 25",-0.0159,,,,,
2025-12-05,27.31,27.38,27.11,27.14,26.84,3526100,3526100,-0.17,-0.62248,27.235,"December 05, 25",-0.0062248,,,,,
2025-12-04,27.65,27.83,27.32,27.38,27.08,3566145,3566145,-0.27,-0.97649,27.545,"December 04, 25",-0.0097649,,,,,
2025-12-03,27.87,28.03,27.51,27.66,27.36,3338027,3338027,-0.21,-0.7535,27.7675,"December 03, 25",-0.007535,,,,,
2025-12-02,27.93,28.04,27.71,27.9,27.59,5481900,5481900,-0.03,-0.10741,27.895,"December 02, 25",-0.0010741,,,,,
2025-12-01,28.05,28.31,27.78,27.79,27.49,5665775,5665775,-0.26,-0.92692,27.9825,"December 01, 25",-0.0092692,,,,,
2025-11-28,27.9,28.33,27.84,28.2,27.89,2175532,2175532,0.3,1.08,28.0675,"November 28, 25",0.0108,,,,,
2025-11-26,27.92,28.29,27.79,27.93,27.62,3963500,3963500,0.01,0.03581662,27.9825,"November 26, 25",0.0003581662,,,,,
2025-11-25,28.16,28.45,28.03,28.04,27.73,4576389,4576389,-0.12,-0.42614,28.17,"November 25, 25",-0.0042614,,,,,
2025-11-24,28.21,28.33,28,28.14,27.83,5380229,5380229,-0.07,-0.24814,28.17,"November 24, 25",-0.0024814,,,,,
2025-11-21,27.99,28.42,27.9,28.19,27.88,5458343,5458343,0.2,0.71454,28.125,"November 21, 25",0.0071454,,,,,
2025-11-20,27.6,28.06,27.55,27.95,27.64,6194726,6194726,0.35,1.27,27.79,"November 20, 25",0.0127,,,,,
2025-11-19,27.55,27.59,27.32,27.45,27.15,5301100,5301100,-0.1,-0.36298,27.4775,"November 19, 25",-0.0036298,,,,,
2025-11-18,27.94,28.02,27.46,27.54,27.24,7156910,7156910,-0.4,-1.43,27.74,"November 18, 25",-0.0143,,,,,
2025-11-17,28.38,28.52,28,28.04,27.73,5504386,5504386,-0.34,-1.2,28.235,"November 17, 25",-0.012,,,,,
2025-11-14,28.44,28.67,28.24,28.39,28.08,3457722,3457722,-0.05,-0.17581,28.435,"November 14, 25",-0.0017581,,,,,
2025-11-13,28.89,28.89,28.21,28.26,27.95,5080249,5080249,-0.63,-2.18,28.5625,"November 13, 25",-0.0218,,,,,
2025-11-12,28.67,29.14,28.64,28.91,28.59,5173243,5173243,0.24,0.83711,28.84,"November 12, 25",0.0083711,,,,,
2025-11-11,28.17,28.66,28.15,28.64,28.33,3915337,3915337,0.47,1.67,28.405,"November 11, 25",0.0167,,,,,
2025-11-10,27.9,28.15,27.69,28.04,27.73,4685562,4685562,0.14,0.50179,27.945,"November 10, 25",0.0050179,,,,,
2025-11-07,27.89,28.21,27.85,28.01,27.7,5508126,5508126,0.12,0.43026,27.99,"November 07, 25",0.0043026,,,,,
2025-11-06,28.3,28.45,27.81,27.81,27.5,3237900,3237900,-0.49,-1.73,28.0925,"November 06, 25",-0.0173,,,,,
2025-11-05,28.76,28.86,28.32,28.38,28.07,3967400,3967400,-0.38,-1.32,28.58,"November 05, 25",-0.0132,,,,,
2025-11-04,28.52,28.67,28.11,28.62,28.31,4057561,4057561,0.1,0.35063,28.48,"November 04, 25",0.0035063,,,,,
2025-11-03,27.86,28.37,27.67,28.36,28.05,4822239,4822239,0.5,1.79,28.065,"November 03, 25",0.0179,,,,,
2025-10-31,28.28,28.48,27.92,28.15,27.84,7257051,7257051,-0.13,-0.45969,28.2075,"October 31, 25",-0.0045969,,,,,
2025-10-30,27.54,28.72,27.38,28.41,28.1,8331493,8331493,0.87,3.16,28.0125,"October 30, 25",0.0316,,,,,
2025-10-29,27.95,27.97,27.39,27.47,27.17,8057357,8057357,-0.48,-1.72,27.695,"October 29, 25",-0.0172,,,,,
2025-10-28,28.74,28.79,28.16,28.19,27.88,3675200,3675200,-0.545,-1.91,28.47,"October 28, 25",-0.0191,,,,,
2025-10-27,28.86,28.88,28.61,28.88,28.56,4840641,4840641,0.02,0.06930007,28.8075,"October 27, 25",0.0006930007,,,,,
2025-10-24,28.92,28.98,28.79,28.87,28.55,4100900,4100900,-0.05,-0.17289,28.89,"October 24, 25",-0.0017289,,,,,
2025-10-23,28.95,29.04,28.52,28.91,28.59,2626398,2626398,-0.04,-0.13817,28.855,"October 23, 25",-0.0013817,,,,,
2025-10-22,28.81,29.1,28.56,28.89,28.57,3504536,3504536,0.08,0.27768,28.84,"October 22, 25",0.0027768,,,,,
2025-10-21,28.6,28.99,28.5,28.69,28.38,4045858,4045858,0.09,0.31469,28.695,"October 21, 25",0.0031469,,,,,
2025-10-20,28.58,28.86,28.39,28.6,28.29,4073700,4073700,0.02,0.06997901,28.6075,"October 20, 25",0.0006997901,,,,,
2025-10-17,28.57,28.62,28.3,28.52,28.21,4989800,4989800,-0.05,-0.17501,28.5025,"October 17, 25",-0.0017501,,,,,
2025-10-16,28.48,28.64,28.22,28.45,28.14,4389121,4389121,-0.03,-0.10534,28.4475,"October 16, 25",-0.0010534,,,,,
2025-10-15,28.56,28.76,28.24,28.42,28.11,4684600,4684600,-0.14,-0.4902,28.495,"October 15, 25",-0.004902,,,,,
2025-10-14,28.27,28.64,28.27,28.51,28.2,6749422,6749422,0.24,0.84896,28.4225,"October 14, 25",0.0084896,,,,,
2025-10-13,27.9,28.32,27.82,28.25,27.94,5102488,5102488,0.35,1.25,28.0725,"October 13, 25",0.0125,,,,,
2025-10-10,28.05,28.14,27.71,27.94,27.63,7090860,7090860,-0.11,-0.39216,27.96,"October 10, 25",-0.0039216,,,,,
2025-10-09,28.27,28.42,27.97,28,27.69,4182287,4182287,-0.27,-0.95508,28.165,"October 09, 25",-0.0095508,,,,,
2025-10-08,28.03,28.31,27.96,28.18,27.87,4990800,4990800,0.15,0.53514,28.12,"October 08, 25",0.0053514,,,,,
2025-10-07,28.32,28.49,28.03,28.14,27.83,4571770,4571770,-0.18,-0.63559,28.245,"October 07, 25",-0.0063559,,,,,
2025-10-06,28.75,28.75,28.17,28.22,27.91,5859600,5859600,-0.53,-1.84,28.4725,"October 06, 25",-0.0184,,,,,
2025-10-03,28.71,28.94,28.62,28.64,28.33,3691633,3691633,-0.07,-0.24382,28.7275,"October 03, 25",-0.0024382,,,,,
2025-10-02,28.91,29.02,28.57,28.7,28.39,3497473,3497473,-0.21,-0.72639,28.8,"October 02, 25",-0.0072639,,,,,
2025-10-01,29.3,29.45,28.96,29.01,28.69,3743300,3743300,-0.29,-0.98976,29.18,"October 01, 25",-0.0098976,,,,,
2025-09-30,28.94,29.33,28.94,29.33,29.01,4282648,4282648,0.39,1.35,29.135,"September 30, 25",0.0135,,,,,
2025-09-29,29.22,29.22,28.92,29.04,28.72,3762089,3762089,-0.18,-0.61602,29.1,"September 29, 25",-0.0061602,,,,,
2025-09-26,29.01,29.25,28.82,29.18,28.86,4684100,4684100,0.17,0.586,29.065,"September 26, 25",0.00586,,,,,
2025-09-25,29.08,29.15,28.76,28.9,28.58,4361778,4361778,-0.18,-0.61898,28.9725,"September 25, 25",-0.0061898,2025-10-17,0.29,0.29,2025-09-25,2025-09-12
2025-09-24,29.67,29.77,29.19,29.21,28.6,5066219,5066219,-0.46,-1.55,29.46,"September 24, 25",-0.0155,,,,,
2025-09-23,29.71,29.81,29.49,29.69,29.07,4398117,4398117,-0.02,-0.0673174,29.675,"September 23, 25",-0.000673174,,,,,
2025-09-22,29.65,29.8,29.44,29.69,29.07,4959900,4959900,0.04,0.13491,29.645,"September 22, 25",0.0013491,,,,,
2025-09-19,29.4,29.83,29.28,29.64,29.02,9721307,9721307,0.24,0.81633,29.5375,"September 19, 25",0.0081633,,,,,
2025-09-18,29.51,29.87,29.47,29.52,28.9,4334800,4334800,0.01,0.03388682,29.5925,"September 18, 25",0.0003388682,,,,,
2025-09-17,29.42,30.02,29.38,29.64,29.02,6400200,6400200,0.22,0.74779,29.615,"September 17, 25",0.0074779,,,,,
2025-09-16,29.7,29.83,29.45,29.53,28.91,4659100,4659100,-0.17,-0.57239,29.6275,"September 16, 25",-0.0057239,,,,,
2025-09-15,30.16,30.3,29.61,29.65,29.03,5131745,5131745,-0.51,-1.69,29.93,"September 15, 25",-0.0169,,,,,
2025-09-12,30.59,30.65,30.17,30.21,29.58,4652631,4652631,-0.38,-1.24,30.405,"September 12, 25",-0.0124,,,,,
2025-09-11,30.05,30.64,29.97,30.62,29.98,2803400,2803400,0.57,1.9,30.32,"September 11, 25",0.019,,,,,
2025-09-10,30.2,30.41,29.91,30.01,29.38,3726800,3726800,-0.19,-0.62914,30.1325,"September 10, 25",-0.0062914,,,,,
2025-09-09,30.06,30.48,29.99,30.29,29.66,2836600,2836600,0.23,0.76514,30.205,"September 09, 25",0.0076514,,,,,
2025-09-08,30,30.27,29.88,30.1,29.47,3903983,3903983,0.1,0.33333,30.0625,"September 08, 25",0.0033333,,,,,
2025-09-05,30.52,30.71,30.12,30.25,29.62,5423800,5423800,-0.27,-0.88467,30.4,"September 05, 25",-0.0088467,,,,,
2025-09-04,30.37,30.41,29.99,30.35,29.72,5014886,5014886,-0.02,-0.06585446,30.28,"September 04, 25",-0.0006585446,,,,,
2025-09-03,30.21,30.48,30.12,30.23,29.6,3467018,3467018,0.02,0.06620324,30.26,"September 03, 25",0.0006620324,,,,,
2025-09-02,31.03,31.16,30.19,30.33,29.7,3426068,3426068,-0.7,-2.26,30.6775,"September 02, 25",-0.0226,,,,,
2025-08-29,30.94,31.33,30.83,31.29,30.64,3686700,3686700,0.35,1.13,31.0975,"August 29, 25",0.0113,,,,,
2025-08-28,31.16,31.18,30.76,30.94,30.29,2483010,2483010,-0.22,-0.70603,31.01,"August 28, 25",-0.0070603,,,,,
2025-08-27,30.74,31.25,30.65,31.13,30.48,2835700,2835700,0.39,1.27,30.9425,"August 27, 25",0.0127,,,,,
2025-08-26,30.87,30.92,30.48,30.68,30.04,3486142,3486142,-0.19,-0.61548,30.7375,"August 26, 25",-0.0061548,,,,,
2025-08-25,31.26,31.38,30.65,30.8,30.16,2860705,2860705,-0.46,-1.47,31.0225,"August 25, 25",-0.0147,,,,,
2025-08-22,30.86,31.32,30.78,31.26,30.61,3909100,3909100,0.4,1.3,31.055,"August 22, 25",0.013,,,,,
2025-08-21,30.51,30.79,30.46,30.58,29.94,2984047,2984047,0.07,0.22943,30.585,"August 21, 25",0.0022943,,,,,
2025-08-20,30.63,31.02,30.51,30.55,29.91,2901857,2901857,-0.08,-0.26118,30.6775,"August 20, 25",-0.0026118,,,,,
2025-08-19,30.1,30.64,30.05,30.5,29.86,4484024,4484024,0.4,1.33,30.3225,"August 19, 25",0.0133,,,,,
2025-08-18,30.49,30.59,29.95,29.95,29.32,3452063,3452063,-0.54,-1.77,30.245,"August 18, 25",-0.0177,,,,,
2025-08-15,30.29,30.59,30.19,30.54,29.9,4871125,4871125,0.25,0.82535,30.4025,"August 15, 25",0.0082535,,,,,
2025-08-14,30.22,30.33,30.03,30.25,29.62,3000900,3000900,0.03,0.09927201,30.2075,"August 14, 25",0.0009927201,,,,,
2025-08-13,30.14,30.63,29.98,30.56,29.92,4726100,4726100,0.415,1.39,30.3275,"August 13, 25",0.0139,,,,,
2025-08-12,29.88,30.07,29.72,30.03,29.4,3074400,3074400,0.15,0.50201,29.925,"August 12, 25",0.0050201,,,,,
2025-08-11,29.84,30.1,29.82,29.9,29.28,3658900,3658900,0.06,0.20107,29.915,"August 11, 25",0.0020107,,,,,
2025-08-08,30.3,30.41,29.91,29.95,29.32,2972332,2972332,-0.35,-1.16,30.1425,"August 08, 25",-0.0116,,,,,
2025-08-07,30.4,30.48,30.15,30.22,29.59,2773200,2773200,-0.18,-0.59211,30.3125,"August 07, 25",-0.0059211,,,,,
2025-08-06,30.48,30.58,30.01,30.26,29.63,4426000,4426000,-0.22,-0.72178,30.3325,"August 06, 25",-0.0072178,,,,,
2025-08-05,30.28,30.79,30.25,30.46,29.82,3911903,3911903,0.18,0.59445,30.445,"August 05, 25",0.0059445,,,,,
2025-08-04,30.31,30.54,30.13,30.19,29.56,5081300,5081300,-0.12,-0.39591,30.2925,"August 04, 25",-0.0039591,,,,,
2025-08-01,31.08,31.08,30.07,30.34,29.71,5313135,5313135,-0.74,-2.38,30.6425,"August 01, 25",-0.0238,,,,,
2025-07-31,29.98,31.22,29.86,30.65,30.01,7070800,7070800,0.67,2.23,30.4275,"July 31, 25",0.0223,,,,,
2025-07-30,31.96,31.96,31.14,31.38,30.72,5228200,5228200,-0.58,-1.81,31.61,"July 30, 25",-0.0181,,,,,
2025-07-29,31.3,32.05,31.16,32,31.33,4527494,4527494,0.7,2.24,31.6275,"July 29, 25",0.0224,,,,,
2025-07-28,31.81,31.88,31.2,31.22,30.57,3722400,3722400,-0.59,-1.85,31.5275,"July 28, 25",-0.0185,,,,,
2025-07-25,32.1,32.27,31.8,31.91,31.24,3960000,3960000,-0.19,-0.5919,32.02,"July 25, 25",-0.005919,,,,,
2025-07-24,32.33,32.45,32.1,32.12,31.45,2923827,2923827,-0.21,-0.64955,32.25,"July 24, 25",-0.0064955,,,,,
2025-07-23,32.58,32.67,32.28,32.48,31.8,2216141,2216141,-0.1,-0.30694,32.5025,"July 23, 25",-0.0030694,,,,,
2025-07-22,32.11,32.63,32.07,32.6,31.92,2943932,2943932,0.49,1.53,32.3525,"July 22, 25",0.0153,,,,,
2025-07-21,32.26,32.54,32.03,32.06,31.39,2362743,2362743,-0.2,-0.61996,32.2225,"July 21, 25",-0.0061996,,,,,
2025-07-18,32.28,32.49,32.14,32.24,31.57,2459011,2459011,-0.04,-0.12392,32.2875,"July 18, 25",-0.0012392,,,,,
2025-07-17,32.23,32.37,32.07,32.26,31.59,3141310,3141310,0.03,0.09308098,32.2325,"July 17, 25",0.0009308098,,,,,
2025-07-16,31.91,32.23,31.84,32.21,31.54,3364812,3364812,0.3,0.94014,32.0475,"July 16, 25",0.0094014,,,,,
2025-07-15,32.25,32.36,31.73,31.86,31.19,4100898,4100898,-0.39,-1.21,32.05,"July 15, 25",-0.0121,,,,,
2025-07-14,32.35,32.58,32.22,32.31,31.64,2457200,2457200,-0.04,-0.12365,32.365,"July 14, 25",-0.0012365,,,,,
2025-07-11,32.01,32.53,32.01,32.35,31.67,2395063,2395063,0.34,1.06,32.225,"July 11, 25",0.0106,,,,,
2025-07-10,32.18,32.6,32.15,32.38,31.7,2555000,2555000,0.2,0.6215,32.3275,"July 10, 25",0.006215,,,,,
2025-07-09,32.26,32.47,32.14,32.27,31.6,2603000,2603000,0.01,0.03099814,32.285,"July 09, 25",0.0003099814,,,,,
2025-07-08,32.09,32.44,32.01,32.23,31.56,2761048,2761048,0.14,0.43627,32.1925,"July 08, 25",0.0043627,,,,,
2025-07-07,32.63,32.81,32.16,32.31,31.64,2968323,2968323,-0.32,-0.98069,32.4775,"July 07, 25",-0.0098069,,,,,
2025-07-03,32.52,32.71,32.33,32.62,31.94,1808219,1808219,0.1,0.3075,32.545,"July 03, 25",0.003075,,,,,
2025-07-02,32.71,32.86,32.02,32.51,31.83,3609221,3609221,-0.2,-0.61143,32.525,"July 02, 25",-0.0061143,,,,,
2025-07-01,32.85,33.21,32.64,32.78,32.1,4900500,4900500,-0.07,-0.21309,32.87,"July 01, 25",-0.0021309,,,,,
2025-06-30,32.59,32.83,32.17,32.8,32.12,4107610,4107610,0.21,0.64437,32.5975,"June 30, 25",0.0064437,,,,,
2025-06-27,33,33.07,32.56,32.72,32.04,4362000,4362000,-0.28,-0.84848,32.8375,"June 27, 25",-0.0084848,,,,,
2025-06-26,32.84,32.96,32.61,32.92,32.23,3407800,3407800,0.08,0.24361,32.8325,"June 26, 25",0.0024361,2025-07-18,0.29,0.29,2025-06-26,2025-06-13
2025-06-25,33.6,33.94,32.93,32.96,31.99,5981214,5981214,-0.64,-1.9,33.3575,"June 25, 25",-0.019,,,,,
2025-06-24,34.13,34.17,33.82,33.83,32.83,4045700,4045700,-0.3,-0.87899,33.9875,"June 24, 25",-0.0087899,,,,,
