date,symbol,calendarYear,period,growthNetIncome,growthDepreciationAndAmortization,growthDeferredIncomeTax,growthStockBasedCompensation,growthChangeInWorkingCapital,growthAccountsReceivables,growthInventory,growthAccountsPayables,growthOtherWorkingCapital,growthOtherNonCashItems,growthNetCashProvidedByOperatingActivites,growthInvestmentsInPropertyPlantAndEquipment,growthAcquisitionsNet,growthPurchasesOfInvestments,growthSalesMaturitiesOfInvestments,growthOtherInvestingActivites,growthNetCashUsedForInvestingActivites,growthDebtRepayment,growthCommonStockIssued,growthCommonStockRepurchased,growthDividendsPaid,growthOtherFinancingActivites,growthNetCashUsedProvidedByFinancingActivities,growthEffectOfForexChangesOnCash,growthNetChangeInCash,growthCashAtEndOfPeriod,growthCashAtBeginningOfPeriod,growthOperatingCashFlow,growthCapitalExpenditure,growthFreeCashFlow
2025-06-30,JKHY,2025,FY,0.19363253504305739,0.024246638386425483,-2.845984598459846,-0.016659162539396668,-0.008200685955500836,-0.4664587689145611,0,-0.5131554737810488,0.19685865197503097,-0.4881541265295496,0.12932693238692278,0.005408242729850316,-0.9966814159292036,0.768679157992135,0,0,0.0333187600191535,0.2,-0.05819639278557114,-0.24936731420424166,-0.056243063441046466,-0.43659352919300853,-0.1452349793761492,0,1.4449521907760838,1.6630707345105005,2.1270113534264476,0.12932693238692278,0.08190233662548609,0.15340159200506742
2024-06-30,JKHY,2024,FY,0.041375059321525395,0.048121388798590646,0.981140687566132,0.009157317115794624,0.7001872017296386,3.338526560039778,0,1.8658594870160905,0.4066014816592184,1.8503431481071508,0.4887369974237274,-0.12290321957252734,1.0044821482579616,-7.646,0,0,0.41376414847939696,-0.21845692134550457,0.008325250565793727,-0.1222,-0.058680902218871615,0.3676660787771899,-34.80486358244365,0,1.7125930385288968,2.1270113534264476,-0.7490520015577921,0.4887369974237274,-0.4833967176293423,0.4893480927624277
2023-06-30,JKHY,2023,FY,0.01027786044153468,0.07376255460973742,-2.5122678212851404,0.15460048426150122,-0.6319531846688397,0.7092849571167004,0,-1.9444778814324406,-1.2954611955455344,-12.2925,-0.24388513587155763,-0.08148326183845467,-4482.977777777778,0.8,0,0,-1.086506335818767,11.7537147851812,0.050879130213199696,0.8710781988077312,-0.05872582152872654,-1.0484104046242775,0.9728495420171857,0,-15.573242630385488,-0.7490520015577921,-0.0432420771885786,-0.24388513587155763,-0.13041345682218183,-0.27148851420935716
2022-06-30,JKHY,2022,FY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,0,0,0,0,0,0,0,0,0,0,0.8189080877166399,0.500347973771078
2021-06-30,JKHY,2021,FY,0.2233068615421953,0.03386979424347371,0.2966112037752736,0.46774862287508145,-21.454347826086956,-4.938140417457306,0,142.40425531914894,-2.9704093487323173,-0.9155227032734953,-0.011558531100890836,-0.07818714438623175,1,-3.347826086956522,0,-0.9959568733153639,0.007892635897850494,451.6969696969697,0.1972948235533408,-1.7102545108946317,-0.09142135126862919,-0.11045734153516983,-0.6095257349320146,0,-1.0184184368134852,-0.7713234432491973,-0.4553765967445636,-0.011558531100890836,-0.07818714438623175,-0.059395475373999314
2020-06-30,JKHY,2020,FY,0.09115250933299004,-0.36726366070409205,2.2326407154129404,0.34109142902533957,0.8096026490066225,1.894964761823894,0,0.9937549827265479,-4.994674313805818,28.40993788819876,0.18417732088846003,-0.03952307611222703,-0.5299687720358618,0,0,557.5278263913195,-0.03814094998295171,0.9990571428571429,0.05993316805001617,-0.3041156313794109,-0.07306412901595857,0.7324125098404065,-0.08190460166568521,0,0.9250820093908793,1.2786452770538728,1.9779898218829517,0.18417732088846003,-2.311877308854808,-0.11789261780520753
2019-06-30,JKHY,2019,FY,-0.25517896963022624,0.10232093633156465,1.1015437209550771,0.07067528491240006,0.4670326976812589,-1.5480478384289638,0,-2.0872580179138978,0.9647300206620526,1.1687631027253669,0.04606664693236797,-0.1390141408751334,0.854980789738945,1,0,0,0.34675114623097325,0.8,0.2049616833354981,-0.11999346752133262,-0.130678626179526,-0.9054957043501978,0.12441502447935338,0,1.7463306330633064,1.9779898218829517,-0.7260488824990198,0.04606664693236797,-0.33544288027905816,0.014846494824022128
2018-06-30,JKHY,2018,FY,0.4851277294308626,0.7621435623023765,-3.4202973497091143,0.05651900440291131,0.45672929677616947,1.9551091159607095,0,1.8860727086533537,-0.5453266645826821,-1.0310183378852906,0.15341904500702447,-0.011701510264127515,-21.743333333333332,0,0,0,-1.0611218623310215,-4.7947019867549665,0.23262888248479027,0.6235899771291684,-0.14517975727043736,-0.33813868613138687,-0.18892930330859814,0,-2.8743673377572825,-0.7260488824990198,0.6322713696486986,0.15341904500702447,0.04319736810737359,0.17957035275465716
2017-06-30,JKHY,2017,FY,-0.012351979169596612,0.07819634703196347,-0.17546103826884127,0.03815298507462687,-0.7283942093028608,-0.6380779031670913,0,-2.6753163199656873,-0.3027896558745673,2.690447400241838,-0.02134664051972524,0.09951264568977042,-0.7692227000944089,0,0,0,-0.04135683972845554,0.801967213114754,-0.025280898876404494,0.2591454099349888,-0.09021850257970945,-3.2679127725856696,0.4423647918321635,0,1.5699139776675257,0.6322713696486986,-0.5259350158111561,-0.02134664051972524,0.2552685308477585,0.02132186495072719
2016-06-30,JKHY,2016,FY,0.1782303842894409,0.08951561397021748,0.27446252080290734,0.060126582278481014,-4.240769747147013,0.3565539211093413,0,8.99828473413379,-1.9728605388272584,-0.9377995526680157,-0.023205543219454772,-0.13255930791942244,2.4386196946014187,0,0,0,0.007453425217543655,-2.0029734359923594,0.16023900054318305,-0.43174315964496174,-0.1008768485800288,0.6441241685144125,-0.9333794926669604,0,-2.0008596797372205,-0.5259350158111561,1.1074072495275444,-0.023205543219454772,-0.03521476226359609,-0.03315788979306847
