date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink
2025-01-03,LDOS,USD,0001336920,2025-02-11,2025-02-11 13:19:36,2024,FY,943000000,0,943000000,2645000000,315000000,525000000,4428000000,1551000000,6084000000,517000000,6601000000,4000000,203000000,317000000,8676000000,0,13104000000,705000000,618000000,0,333000000,1998000000,3654000000,4673000000,0,2000000,317000000,4990000000,0,621000000,8644000000,0,0,3410000000,-110000000,1112000000,4412000000,4460000000,13104000000,48000000,13104000000,4000000,5291000000,4348000000,https://www.sec.gov/Archives/edgar/data/1336920/000133692025000006/0001336920-25-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1336920/000133692025000006/ldos-20250103.htm
2023-12-29,LDOS,USD,0001336920,2024-02-13,2024-02-13 12:10:34,2023,FY,777000000,0,777000000,2429000000,310000000,489000000,4005000000,1473000000,6112000000,667000000,6779000000,0,102000000,336000000,8690000000,0,12695000000,736000000,18000000,3000000,442000000,1791000000,2990000000,5180000000,0,3000000,264000000,5447000000,0,516000000,8437000000,0,0,2364000000,-48000000,1885000000,4201000000,4258000000,12695000000,57000000,12695000000,0,5198000000,4421000000,https://www.sec.gov/Archives/edgar/data/1336920/000133692024000008/0001336920-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1336920/000133692024000008/ldos-20231229.htm
2022-12-30,LDOS,USD,0001336920,2023-02-14,2023-02-14 12:19:03,2022,FY,516000000,0,516000000,2350000000,287000000,490000000,3643000000,1392000000,6696000000,952000000,7648000000,18000000,28000000,342000000,9428000000,0,13071000000,733000000,992000000,135000000,380000000,1707000000,3947000000,4498000000,0,40000000,233000000,4771000000,0,570000000,8718000000,0,0,2367000000,-73000000,2005000000,4299000000,4353000000,13071000000,54000000,13071000000,18000000,5490000000,4974000000,https://www.sec.gov/Archives/edgar/data/1336920/000133692023000015/0001336920-23-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1336920/000133692023000015/ldos-20221230.htm
2021-12-31,LDOS,USD,0001336920,2022-02-15,2022-02-15 12:06:38,2021,FY,727000000,0,727000000,2189000000,274000000,429000000,3619000000,1282000000,6744000000,1177000000,7921000000,25000000,0,414000000,9642000000,0,13261000000,692000000,483000000,29000000,364000000,1661000000,3229000000,5182000000,0,239000000,267000000,5688000000,0,589000000,8917000000,0,0,1880000000,-12000000,2423000000,4291000000,4344000000,13261000000,53000000,13261000000,25000000,5665000000,4938000000,https://www.sec.gov/Archives/edgar/data/1336920/000133692022000007/0001336920-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1336920/000133692022000007/ldos-20211231.htm
2021-01-01,LDOS,USD,0001336920,2021-02-23,2021-02-23 15:38:44,2020,FY,524000000,0,524000000,2137000000,276000000,402000000,3339000000,1185000000,6313000000,1216000000,7529000000,15000000,0,443000000,9172000000,0,12511000000,731000000,100000000,21000000,481000000,1574000000,2907000000,5208000000,0,234000000,291000000,5733000000,0,564000000,8640000000,0,0,1328000000,-46000000,2580000000,3862000000,3871000000,12511000000,9000000,12511000000,15000000,5308000000,4784000000,https://www.sec.gov/Archives/edgar/data/1336920/000133692021000010/0001336920-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1336920/000133692021000010/ldos-20210101.htm
2020-01-03,LDOS,USD,0001336920,2020-02-18,2020-02-18 14:36:02,2019,FY,668000000,0,668000000,1734000000,72000000,338000000,2812000000,687000000,4912000000,530000000,5442000000,19000000,0,407000000,6555000000,0,9367000000,592000000,61000000,19000000,400000000,1261000000,2333000000,3251000000,0,184000000,182000000,3617000000,0,326000000,5950000000,0,0,896000000,-70000000,2587000000,3413000000,3417000000,9367000000,4000000,9367000000,19000000,3312000000,2644000000,https://www.sec.gov/Archives/edgar/data/1336920/000133692020000023/0001336920-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1336920/000133692020000023/ldos01032020form10-k.htm
2018-12-28,LDOS,USD,0001336920,2019-02-19,2019-02-19 17:15:32,2018,FY,327000000,0,327000000,1877000000,0,635000000,2839000000,237000000,4860000000,652000000,5512000000,26000000,0,156000000,5931000000,0,8770000000,547000000,72000000,3000000,276000000,493000000,2059000000,3052000000,0,170000000,178000000,3400000000,0,0,5459000000,0,0,372000000,-30000000,2966000000,3308000000,3311000000,8770000000,3000000,8770000000,26000000,3124000000,2797000000,https://www.sec.gov/Archives/edgar/data/1336920/000133692019000004/0001336920-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1336920/000133692019000004/ldos12282018form10-k.htm
2017-12-29,LDOS,USD,0001336920,2018-02-23,2018-02-23 15:20:22,2017,FY,390000000,0,390000000,1831000000,76000000,377000000,2674000000,232000000,4974000000,856000000,5830000000,37000000,0,217000000,6316000000,0,8990000000,557000000,55000000,4000000,293000000,1293000000,2202000000,3089000000,17000000,220000000,79000000,3405000000,0,33000000,5607000000,0,0,-7000000,33000000,3344000000,3370000000,3383000000,8990000000,13000000,8990000000,37000000,3144000000,2754000000,https://www.sec.gov/Archives/edgar/data/1336920/000133692018000008/0001336920-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1336920/000133692018000008/ldos12292017form10-k.htm
2016-12-30,LDOS,USD,0001336920,2017-02-24,2017-02-24 15:04:47,2016,FY,376000000,0,376000000,1668000000,67000000,278000000,2381000000,259000000,4622000000,1589000000,6211000000,68000000,16000000,197000000,6751000000,0,9132000000,591000000,62000000,21000000,246000000,387000000,2016000000,3228000000,20000000,540000000,147000000,3969000000,0,3000000,5985000000,0,0,-177000000,-4000000,3316000000,3135000000,3147000000,9132000000,12000000,9132000000,68000000,3324000000,2948000000,https://www.sec.gov/Archives/edgar/data/1336920/000133692017000014/0001336920-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1336920/000133692017000014/ldos12302016form10-k.htm
2015-12-31,LDOS,USD,0001336920,2015-12-31,2015-12-31 00:00:00,2015,FY,656000000,0,656000000,977000000,216000000,73000000,1793000000,142000000,1232000000,0,1232000000,0,8000000,202000000,1584000000,0,3377000000,769000000,2000000,0,0,-768000000,1040000000,1086000000,0,0,183000000,1269000000,0,0,2309000000,0,0,-277000000,-8000000,1353000000,1068000000,1068000000,3377000000,0,3377000000,0,1088000000,432000000,,
