symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
LDOS,2025-01-03,147.15,134000000,19718100000,943000000,5291000000,24066100000
LDOS,2023-12-29,108.24,137000000,14828880000,777000000,5198000000,19249880000
LDOS,2022-12-30,105.19,137000000,14411030000,516000000,5490000000,19385030000
LDOS,2021-12-31,88.9,141000000,12534900000,727000000,5665000000,17472900000
LDOS,2021-01-01,105.12,142000000,14927040000,524000000,5308000000,19711040000
LDOS,2020-01-03,99.48,143000000,14225640000,668000000,3312000000,16869640000
LDOS,2018-12-28,52.4,151000000,7912400000,327000000,3124000000,10709400000
LDOS,2017-12-29,64.57,152000000,9814639999,390000000,3144000000,12568639999
LDOS,2016-12-30,51.14,102000000,5216280000,376000000,3324000000,8164280000
LDOS,2015-12-31,56.26,73000000,4106980000,656000000,1088000000,4538980000
LDOS,2015-01-31,41.4,74000000,3063600000,443000000,1197000000,3817600000
LDOS,2014-01-31,45.34,83000000,3763220000,430000000,1366000000,4699220000
LDOS,2013-01-31,33.24,83061232,2760955351,736000000,1297000000,3321955351
LDOS,2012-01-31,35.32,84000000,2966880000,1592000000,1852000000,3226880000
LDOS,2011-01-31,45.51,91000000,4141410000,1367000000,1852000000,4626410000
LDOS,2010-01-31,51.09,96500000,4930185000,861000000,1106000000,5175185000
LDOS,2009-01-31,54.22,98750000,5354225000,936000000,1116000000,5534225000
LDOS,2008-01-31,51.91,101000000,5242910000,1096000000,1228000000,5374910000
LDOS,2007-01-31,50.95,88000000,4483600000,1113000000,1228000000,4598600000
LDOS,2006-01-31,49.94,87000000,4344780000,1035000000,1239000000,4548780000
LDOS,2005-01-31,49.94,91250000,4557025000,0,1206000000,5763025000
LDOS,2004-01-31,49.94,92500000,4619450000,0,1217000000,5836450000
LDOS,2003-01-31,49.94,98000000,4894120000,0,897000000,5791120000
