date,symbol,calendarYear,period,growthCashAndCashEquivalents,growthShortTermInvestments,growthCashAndShortTermInvestments,growthNetReceivables,growthInventory,growthOtherCurrentAssets,growthTotalCurrentAssets,growthPropertyPlantEquipmentNet,growthGoodwill,growthIntangibleAssets,growthGoodwillAndIntangibleAssets,growthLongTermInvestments,growthTaxAssets,growthOtherNonCurrentAssets,growthTotalNonCurrentAssets,growthOtherAssets,growthTotalAssets,growthAccountPayables,growthShortTermDebt,growthTaxPayables,growthDeferredRevenue,growthOtherCurrentLiabilities,growthTotalCurrentLiabilities,growthLongTermDebt,growthDeferredRevenueNonCurrent,growthDeferrredTaxLiabilitiesNonCurrent,growthOtherNonCurrentLiabilities,growthTotalNonCurrentLiabilities,growthOtherLiabilities,growthTotalLiabilities,growthCommonStock,growthRetainedEarnings,growthAccumulatedOtherComprehensiveIncomeLoss,growthOthertotalStockholdersEquity,growthTotalStockholdersEquity,growthTotalLiabilitiesAndStockholdersEquity,growthTotalInvestments,growthTotalDebt,growthNetDebt
2024-12-31,LNT,2024,FY,0.3064516129032258,0,0.3064516129032258,0.019305019305019305,-0.13994169096209913,-0.10526315789473684,-0.06918238993710692,0.08999242291775951,0,0,0,0.061461794019933555,0,-0.007252946509519492,0.07838717756073128,0,0.06954842962753685,-0.12929623567921442,0.34657320872274144,-1,0,0.1100244498777506,0.17838541666666666,0.05495440729483283,0,0.07149853085210578,0.01694017998941239,0.06901941428101349,0,0.08644536652835408,0,0.052715654952076675,0,-0.07692307692307693,0.03349564704146377,0.06954842962753685,0.061461794019933555,0.09433168577137449,0.09293955753149148
2023-12-31,LNT,2023,FY,2.1,0,2.1,-0.2175226586102719,0.055384615384615386,0.059233449477351915,0.0176,0.056010340370529946,0,0,0,0.07692307692307693,0,0.04698623635500712,0.05562311637498017,0,0.053265883053117094,-0.1917989417989418,0.22285714285714286,0,0,-0.26570915619389585,-0.02496826068556919,0.0726395409494001,0,0.050952135872362324,-0.012545739675901725,0.054842068726136756,0,0.04126161157917477,0,0.07039042462239954,0,0,0.07982791586998088,0.053265883053117094,0.07692307692307693,0.0907318192245928,0.08611174982754656
2022-12-31,LNT,2022,FY,-0.48717948717948717,0,-0.48717948717948717,0.4646017699115044,0.32113821138211385,0.02867383512544803,0.16931711880261927,0.08407286314806166,0,0,0,0.08123791102514506,0,0.06414141414141414,0.08173186913749714,0,0.08677841858459548,0.7339449541284404,-0.08536585365853659,-1,0,0.1851063829787234,0.1504381694255112,0.13853006681514476,0,0.008303061754021795,0.035733622089875475,0.09658388048339518,0,0.10538884024516437,0,0.07969230769230769,0,0,0.047746243739565944,0.08677841858459548,0.08123791102514506,0.10592414055562603,0.10887302396736359
2021-12-31,LNT,2021,FY,-0.2777777777777778,0,-0.2777777777777778,0.008928571428571428,0.1336405529953917,0.42346938775510207,0.20518602029312288,0.04541015625,0,0,0,0.06597938144329897,0,-0.01098901098901099,0.03929144623432206,0,0.04760022586109543,0.15649867374005305,1.8916876574307304,-0.13432835820895522,0,0.03070175438596491,0.5836545875096376,-0.005022898507903679,0,0.06229327453142227,-0.04891864057672503,-0.001520190023752969,0,0.06267974961935374,0.5,0.08550434201736808,1,0,0.05309423347398031,0.04760022586109543,0.06597938144329897,0.10005581914596706,0.10292463442069741
2020-12-31,LNT,2020,FY,2.375,0,2.375,0.04672897196261682,-0.04405286343612335,0.03896103896103896,0.012557077625570776,0.05980631329932727,0,0,0,0.03632478632478633,0,0.09398907103825137,0.06306477093206951,0,0.06041554397940243,-0.1066350710900474,-0.6006036217303823,8.710144927536232,0,-0.19718309859154928,-0.3685491723466407,0.22338695102114586,0,0.058343057176196034,-0.026566416040100252,0.1388227656351439,0,0.04656515580736544,0,0.0824295010845987,-2,0,0.09279538904899136,0.06041554397940243,0.03632478632478633,0.09790102650528573,0.09230532944248196
2019-12-31,LNT,2019,FY,-0.23444976076555024,0,-0.23444976076555024,-0.0735930735930736,0.07176581680830972,0.35136103151862463,0.1157814291173099,0.08542495827448966,0,0,0,0.08509158358451194,0,0.04739010989010989,0.08087617564493986,0,0.08265266433294438,-0.22326523099576662,0.4246810950265157,1.2899159663865547,0,0.4090796328454478,0.24931573505261237,0.05464803766463984,0,0.06917846672072858,-0.07070989379541644,0.027322647339987995,0,0.06162420232512241,-0.16666666666666666,0.08645272791547194,-0.4117647058823529,0,0.13505026495409644,0.08265266433294438,0.08509158358451194,0.0980820995962315,0.0992554574462697
2018-12-31,LNT,2018,FY,-0.25089605734767023,0,-0.25089605734767023,-0.11392405063291139,-0.047661870503597124,-0.20861678004535147,-0.1325820351342393,0.10929725399439227,0,0,0,0.08886644786670032,0,0.05756310150717269,0.10225330693307837,0,0.08727216340799843,0.13827781269641734,-0.45101896293964905,-1.1061946902654867,0,0.005738522954091816,-0.23494648673801768,0.30810851244202864,0,0.08434794372294373,-0.009595866396014025,0.17496016508633075,0,0.085124826629681,0.043478260869565216,0.08520886615515771,4.4,0,0.0964803213619626,0.08727216340799843,0.08886644786670032,0.12543784909590078,0.12743642454697732
2017-12-31,LNT,2017,FY,2.402439024390244,0,2.402439024390244,-0.07618710134656272,0.000449842555105713,-0.031833150384193196,0.03192338387869114,0.0929352478792124,0,0,0,0.173281990521327,0,-0.12117665833289004,0.06289660470364176,0,0.06086527389373252,0.07186166629238716,4.110172899075191,-1.1899159663865546,0,-0.14358974358974358,0.8493975903614458,-0.07067383446102511,0,-0.4247918449926076,0.714873417721519,-0.060516822498711625,0,0.053029489464979915,0,0.07762976573265962,-0.25,0,0.08291040911444847,0.06086527389373252,0.173281990521327,0.15713252853668688,0.15309145980114572
2016-12-31,LNT,2016,FY,0.41379310344827586,0,0.41379310344827586,0.250886524822695,-0.005369127516778523,-0.02016671148158107,0.06083696178035801,0.079849985817987,0,0,0,-0.02512272596015016,0,0.04265113699389906,0.07098659627712454,0,0.07031500096036879,0.106610337972167,-0.47442941673710903,0,0,0.08710801393728224,-0.14514823806370927,0.22525694168417465,0,0.0793717453384848,-0.03393457658208499,0.130064616323248,0,0.08641831270198691,0,0.05224998791628402,0,0,0.03702908085174941,0.07031500096036879,-0.02512272596015016,0.142388747059118,0.1419941848806898
2015-12-31,LNT,2015,FY,-0.8980667838312829,0,-0.8980667838312829,-0.09796081567373051,-0.0013404825737265416,-0.2740581690415772,-0.20736266896750072,0.06496688445359348,0,0,0,0.004059147579008408,0,0.037936791203730356,0.05880004355558782,0,0.03578563435155635,-0.05959336293526525,0.4591427690410114,0,0,-0.06918918918918919,0.11904173870091381,-0.017325558686493877,0,0.025892895609840164,0.004221352367794919,0.0004855513782722695,0,0.017582808975424434,1.0909090909090908,0.06754385964912281,0.3333333333333333,0,0.08299648122837118,0.03578563435155635,0.004059147579008408,0.022207440004093536,0.035802372978165485
