date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2025-05-25,LW,USD,0001679273,2025-07-23,2025-07-23 13:42:11,2025,FY,6451300000,5052700000,1398600000,0.2167935145,22000000,0,0,633500000,78000000,733500000,5786200000,0,180000000,407500000,1072600000,0.1662610637,665100000,0.1030955001,-164800000,500300000,0.0775502612,143100000,357200000,0.0553686854,2.51,2.5,142200000,142700000,https://www.sec.gov/Archives/edgar/data/1679273/000167927325000049/0001679273-25-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000167927325000049/lw-20250525.htm
2024-05-26,LW,USD,0001679273,2024-07-24,2024-07-24 13:29:21,2024,FY,6467600000,4700900000,1766700000,0.2731616055,26400000,0,0,701400000,-26400000,701400000,5402300000,0,135800000,306800000,1372100000,0.2121497928,1065300000,0.1647133403,-109800000,955500000,0.1477364092,230000000,725500000,0.1121745315,5.01,4.98,144900000,145600000,https://www.sec.gov/Archives/edgar/data/1679273/000167927324000036/0001679273-24-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000167927324000036/lw-20240526.htm
2023-05-28,LW,USD,0001679273,2023-07-25,2023-07-25 14:13:42,2023,FY,5350600000,3918500000,1432100000,0.2676522259,17200000,0,0,550000000,-17200000,550000000,4468500000,0,109200000,222800000,1104900000,0.2065002056,882100000,0.1648600157,351400000,1233500000,0.2305348933,224600000,1008900000,0.1885582925,6.98,6.95,144500000,145200000,https://www.sec.gov/Archives/edgar/data/1679273/000155837023012203/0001558370-23-012203-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837023012203/lw-20230528x10k.htm
2022-05-29,LW,USD,0001679273,2022-07-27,2022-07-27 14:09:53,2022,FY,4098900000,3266900000,832000000,0.2029812877,16200000,0,0,387600000,-16200000,387600000,3654500000,0,161000000,192100000,636500000,0.1552855644,444400000,0.108419332,-171700000,272700000,0.0665300446,71800000,200900000,0.0490131499,1.38,1.38,145500000,145900000,https://www.sec.gov/Archives/edgar/data/1679273/000155837022011121/0001558370-22-011121-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837022011121/lw-20220529x10k.htm
2021-05-30,LW,USD,0001679273,2021-07-27,2021-07-27 13:36:37,2021,FY,3670900000,2838900000,832000000,0.2266474162,12900000,0,0,357200000,-12900000,357200000,3196100000,0,118300000,187800000,662600000,0.1805006947,474800000,0.1293415784,-66500000,408300000,0.1112261298,90500000,317800000,0.0865727751,2.17,2.16,146400000,147100000,https://www.sec.gov/Archives/edgar/data/1679273/000155837021009330/0001558370-21-009330-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837021009330/lw-20210530x10k.htm
2020-05-31,LW,USD,0001679273,2020-07-28,2020-07-28 15:23:45,2020,FY,3792400000,2897200000,895200000,0.2360510495,0,0,0,338300000,0,338300000,3235500000,0,108000000,182300000,739200000,0.1949161481,556900000,0.1468463242,-78700000,478200000,0.1260942939,112300000,365900000,0.0964824386,2.5,2.49,146200000,147100000,https://www.sec.gov/Archives/edgar/data/1679273/000155837020008501/0001558370-20-008501-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837020008501/lw-20200531x10k.htm
2019-05-31,LW,USD,0001679273,2019-07-25,2019-07-25 13:44:43,2019,FY,3756500000,2753000000,1003500000,0.2671369626,0,0,0,335100000,0,335100000,3088100000,0,107100000,162400000,830800000,0.2211633169,668400000,0.1779315853,-47600000,620800000,0.1652602156,133600000,478600000,0.1274058299,3.19,3.18,146500000,147300000,https://www.sec.gov/Archives/edgar/data/1679273/000155837019006311/0001558370-19-006311-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837019006311/lw-20190526x10k.htm
2018-05-31,LW,USD,0001679273,2018-07-26,2018-07-25 17:59:46,2018,FY,3423700000,2544200000,879500000,0.2568858253,0,0,0,299400000,0,299400000,2843600000,0,108800000,143300000,723400000,0.2112918772,580100000,0.1694365745,-25200000,554900000,0.1620761165,121200000,416800000,0.1217396384,2.83,2.82,146300000,147000000,https://www.sec.gov/Archives/edgar/data/1679273/000155837018005726/0001558370-18-005726-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837018005726/lw-20180527x10k.htm
2017-05-31,LW,USD,0001679273,2017-07-25,2017-07-25 15:35:50,2017,FY,3168000000,2389200000,778800000,0.2458333333,0,0,0,260500000,0,260500000,2649700000,0,61200000,109100000,627400000,0.1980429293,518300000,0.163604798,-7900000,510400000,0.1611111111,170200000,326900000,0.1031881313,2.22,2.22,146100000,146600000,https://www.sec.gov/Archives/edgar/data/1679273/000155837017005308/0001558370-17-005308-index.htm,https://www.sec.gov/Archives/edgar/data/1679273/000155837017005308/lw-20170528x10k.htm
2016-05-31,LW,USD,0001679273,2016-05-31,2016-05-30 20:00:00,2016,FY,2993800000,2332000000,661800000,0.2210568508,0,0,0,288500000,0,288500000,2620500000,200000,6100000,95900000,469200000,0.1567238961,373300000,0.1246910281,65800000,439100000,0.1466697842,144500000,285300000,0.095296947,1.92,1.92,146300000,146400000,,
